Cultivar,Block,Plant,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits,Weight of fruit (g),Disease development time (days) (growing phase),Youngest leaf spotted (growing phase),Leaf emission rate (new leaves/week) (growing phase),Number of functional leaves (shooting),Number of functional leaves (harvest),Infection index at 6 months after planting,Infection index at shooting,Infection index at harvest
FHIA01,B,156,8/13/2002,8/6/2003,11/27/2003,237,57,98,17.2,8,111,138.7,114.333333333333,15.3333333333333,0.793103448275862,16,5,1.85185185185185,NA,NA
FHIA01,B,157,8/13/2002,7/28/2003,11/19/2003,263,55,92,7.4,5,64,101.6,NA,NA,0.740740740740741,16,5,0,16.6666666666667,30
FHIA01,B,158,8/13/2002,8/1/2003,11/6/2003,259,58,120,13.2,8,120,100,140,15,0.470588235294118,16,4,1.66666666666667,8.88888888888889,20
FHIA01,B,159,8/13/2002,7/15/2003,11/5/2003,260,59,105,22.4,9,136,148.5,140,15.5,0.352941176470588,15,5,5.12820512820513,10.7142857142857,37.5
FHIA01,B,160,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangCeylan,C,161,8/13/2002,7/16/2003,10/1/2003,293,48,103,14.8,11,171,73.6,NA,NA,0.5,15,9,8.33333333333333,19.4444444444444,29.1666666666667
PisangCeylan,C,162,8/13/2002,6/25/2003,9/19/2003,272,45,137,17.2,8,159,89,NA,NA,0.565217391304348,15,7,18.3333333333333,25.7575757575758,28.5714285714286
PisangCeylan,C,163,8/13/2002,8/28/2003,10/1/2003,290,45,189,15.2,10,121,110.7,NA,NA,0.555555555555556,15,7,14.8148148148148,21.2121212121212,27.7777777777778
PisangCeylan,C,164,8/13/2002,7/16/2003,10/1/2003,208,45,140,11.2,9,139,69,NA,NA,0.388888888888889,13,7,10.4166666666667,21.2121212121212,28.5714285714286
PisangCeylan,C,165,8/13/2002,6/22/2003,9/18/2003,286,49,145,16.4,11,181,81,NA,NA,0.266666666666667,16,5,9.25925925925926,29.1666666666667,31.4814814814815
PisangJariBuaya,C,166,8/13/2002,8/13/2003,10/22/2003,290,38,112,5,NA,156,25.6,85.5,9.75,0.684210526315789,12,8,30.5555555555556,46.2962962962963,66.6666666666667
PisangJariBuaya,C,167,8/13/2002,11/12/2003,2/21/2004,292,40,100,6,7,102,49,67.625,9.625,0.52,9,1,26.6666666666667,31.4814814814815,83.3333333333333
PisangJariBuaya,C,168,8/13/2002,8/31/2003,9/16/2003,245,45,119,3.7,6,86,30.2,75.1428571428571,7.71428571428571,0.583333333333333,9,0,21.6666666666667,23.8095238095238,NA
PisangJariBuaya,C,169,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.6,8.4,0.333333333333333,NA,NA,21.4285714285714,NA,NA
PisangJariBuaya,C,170,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,8.66666666666667,0.222222222222222,NA,NA,25,NA,NA
FHIA01,C,171,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09375,NA,NA,0,NA,NA
FHIA01,C,172,8/13/2002,8/19/2003,11/26/2003,223,56,110,17.1,8,115,133.9,NA,NA,0.555555555555556,16,7,3.84615384615385,11.9047619047619,25
FHIA01,C,173,8/13/2002,7/29/2003,11/13/2003,234,56,108,21.4,8,113,187.6,NA,NA,0.620689655172414,16,6,2.38095238095238,16.6666666666667,30.5555555555556
FHIA01,C,174,8/13/2002,8/12/2003,11/26/2003,243,53,129,19.2,8,103,157.3,NA,NA,0.594771241830065,16,7,2.38095238095238,10.7142857142857,27.7777777777778
FHIA01,C,175,8/13/2002,7/6/2003,9/30/2003,234,57,100,19.1,9,131,127.4,NA,NA,0.388888888888889,16,7,1.11111111111111,14.4444444444444,30.952380952381
BITA3,C,176,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5,6.5,0.538461538461538,NA,NA,0,NA,NA
BITA3,C,177,8/13/2002,9/16/2003,11/19/2003,236,36,63,4.2,4,35,108.6,NA,NA,0.434782608695652,11,7,4.16666666666667,23.3333333333333,33.3333333333333
BITA3,C,178,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623287671232877,NA,NA,0,NA,NA
BITA3,C,179,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4,0.5,NA,NA,0,NA,NA
BITA3,C,180,8/13/2002,7/15/2003,9/30/2003,248,46,100,17.2,6,71,219.7,112.5,11,0.721649484536082,11,8,1.85185185185185,15,33.3333333333333
PITA16,C,181,8/13/2002,7/15/2003,9/30/2003,245,57,128,11.2,6,109,82.5,103,12.25,0.310344827586207,13,6,25,34.6153846153846,41.6666666666667
PITA16,C,182,8/13/2002,8/5/2003,10/21/2003,250,57,192,14.4,7,128,98.4,95.6666666666667,13,0.695652173913043,14,4,25,26.1904761904762,33.3333333333333
PITA16,C,183,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.3333333333333,10,0.325581395348837,NA,NA,16.6666666666667,NA,NA
PITA16,C,184,8/13/2002,8/19/2003,12/9/2003,239,57,169,18,7,129,119.4,81.3333333333333,10.8333333333333,0.549019607843137,12,1,11.1111111111111,31.9444444444444,50
PITA16,C,185,8/13/2002,7/27/2003,10/21/2003,247,56,138,14.6,7,119,105.9,94.5,12,0.645161290322581,13,3,25.7575757575758,28.2051282051282,27.7777777777778
FHIA25,C,186,8/13/2002,11/15/2003,1/21/2004,292,78,125,31.2,14,254,107.1,NA,NA,0.588235294117647,16,8,3.7037037037037,18.75,37.5
FHIA25,C,187,8/13/2002,12/24/2003,3/20/2004,288,79,138,27.2,12,227,105.7,NA,NA,0.785714285714286,19,9,0,12.5,14.8148148148148
FHIA25,C,188,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,7,0.285714285714286,NA,NA,0,NA,NA
FHIA25,C,189,8/13/2002,10/1/2003,1/7/2004,276,78,180,27.8,12,210,127.6,NA,NA,0.35,16,10,18.1818181818182,17.7083333333333,36.3636363636364
FHIA25,C,190,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5,3.5,0.285714285714286,NA,NA,2.08333333333333,NA,NA
CRBP39,C,191,8/13/2002,7/30/2003,11/5/2003,290,56,140,9.8,5,61,137.7,90,9,0.577319587628866,15,8,9.25925925925926,23.0769230769231,37.5
CRBP39,C,192,8/13/2002,8/6/2003,11/5/2003,295,47,112,10.2,6,79,115.9,94,10,0.388888888888889,14,8,0,25.9259259259259,39.5833333333333
CRBP39,C,193,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,0,NA,NA
CRBP39,C,194,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416666666666667,NA,NA,0,NA,NA
CRBP39,C,195,8/13/2002,8/25/2003,10/22/2003,280,53,91,11,6,74,135.1,70,6,0.62962962962963,16,9,4.16666666666667,10,35.1851851851852
Cardaba,C,196,8/13/2002,10/22/2003,2/21/2004,385,78,178,13,8,123,NA,NA,NA,0.466666666666667,15,5,0,4.16666666666667,6.66666666666667
Cardaba,C,197,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,0,NA,NA
Cardaba,C,198,8/13/2002,9/17/2003,1/7/2004,360,NA,180,10.8,6,111,88.2,NA,NA,NA,13,5,0,14.2857142857143,6.66666666666667
Cardaba,C,199,8/13/2002,9/25/2003,1/7/2004,338,NA,137,12,7,119,90.8,NA,NA,0.755395683453237,10,4,0,6.94444444444444,6.66666666666667
Cardaba,C,200,8/13/2002,9/3/2003,NA,224,70,177,NA,NA,NA,NA,NA,NA,0.666666666666667,11,NA,0,14.1025641025641,NA
FHIA02,C,201,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
FHIA02,C,202,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
FHIA02,C,203,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
FHIA02,C,204,8/13/2002,10/15/2003,NA,242,42,84,NA,NA,NA,NA,NA,NA,0.157894736842105,11,NA,0,20,25
FHIA02,C,205,8/13/2002,10/15/2003,NA,212,39,68,NA,NA,NA,NA,156,13.3333333333333,0.277777777777778,12,NA,0,16.6666666666667,36.6666666666667
FHIA21,C,206,8/13/2002,8/28/2003,11/27/2003,286,56,156,19.6,9,141,122.7,190.5,16.5,0.705882352941177,11,8,0,10.6060606060606,33.3333333333333
FHIA21,C,207,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA21,C,208,8/13/2002,9/20/2003,11/19/2003,270,49,115,10.6,6,76,123.7,112.666666666667,15.3333333333333,0.55,9,4,0,20.3703703703704,20.8333333333333
FHIA21,C,209,8/13/2002,9/10/2003,11/13/2003,234,49,46,8,6,65,104.6,106,15,0.417218543046358,10,6,0,16.6666666666667,38.8888888888889
FHIA21,C,210,8/13/2002,11/12/2003,1/21/2004,265,68,86,13,8,122,93.4,78,14.1666666666667,0.42,11,4,0,16.6666666666667,41.6666666666667
FHIA18,C,211,8/13/2002,10/15/2003,1/21/2004,243,50,143,12.4,8,130,81.5,122.5,13.5,0.666666666666667,11,6,0,22.7272727272727,30.5555555555556
FHIA18,C,212,8/13/2002,6/18/2003,9/25/2003,230,52,120,13,9,131,88.5,NA,15,NA,16,7,1.66666666666667,10.7142857142857,23.8095238095238
FHIA18,C,213,8/13/2002,7/13/2003,11/27/2003,209,50,108,15.2,8,116,102.3,129.2,16.2,0.684210526315789,16,5,1.51515151515152,21.4285714285714,20
FHIA18,C,214,8/13/2002,8/28/2003,11/27/2003,228,50,143,14.8,7,104,142.3,163.666666666667,15.6666666666667,0.577319587628866,16,5,0,22.2222222222222,23.3333333333333
FHIA18,C,215,8/13/2002,6/4/2003,9/19/2003,226,50,156,15,8,118,115.2,NA,NA,0.152173913043478,15,9,3.84615384615385,1.51515151515152,29.6296296296296
