Cultivar,Block,Plant,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits,Weight of fruit (g),Disease development time (days) (growing phase),Youngest leaf spotted (growing phase),Leaf emission rate (new leaves/week) (growing phase),Number of functional leaves (shooting),Number of functional leaves (harvest),Infection index at 6 months after planting,Infection index at shooting,Infection index at harvest
PisangCeylan,B,107,8/13/2002,6/25/2003,9/9/2003,279,52,130,17.2,8,169,89,125,9.07692307692308,0.392857142857143,12,11,33.3333333333333,30.7692307692308,33.3333333333333
PisangCeylan,B,108,8/13/2002,7/2/2003,9/19/2003,279,50,130,13.6,10,150,81.3,106.75,12,0.655172413793103,14,6,33.3333333333333,25.6410256410256,33.3333333333333
PisangCeylan,B,109,8/13/2002,6/25/2003,9/19/2003,279,47,125,15.4,10,156,87.8,104.4,12,0.521739130434783,15,8,16.6666666666667,14.2857142857143,27.0833333333333
PisangCeylan,B,110,8/13/2002,6/25/2003,9/19/2003,287,49,200,19.2,11,183,95.8,NA,NA,0.541666666666667,15,9,7.14285714285714,16.6666666666667,35.1851851851852
Lakatan,B,111,8/13/2002,9/17/2003,11/19/2003,252,43,170,8.8,6,93,79.6,69.4285714285714,8.21428571428571,0.333333333333333,8,3,38.0952380952381,41.6666666666667,66.6666666666667
Lakatan,B,112,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.4,8.4,0.612903225806452,NA,NA,37.5,NA,NA
Lakatan,B,113,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lakatan,B,114,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5,6.25,0.521739130434783,NA,NA,11.1111111111111,NA,NA
Lakatan,B,115,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,4,0.25,NA,NA,38.8888888888889,NA,NA
FHIA02,B,116,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,4.5,0.5,NA,NA,0,NA,NA
FHIA02,B,117,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,20.8333333333333,NA,NA
FHIA02,B,118,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,4,0.619047619047619,NA,NA,5.55555555555556,NA,NA
FHIA02,B,119,8/13/2002,6/26/2003,9/11/2003,240,40,98,13,9,138,86.9,77,6.5,0.333333333333333,12,6,16.6666666666667,NA,NA
FHIA02,B,120,8/13/2002,6/22/2003,9/11/2003,207,49,190,13.2,9,141,83.7,NA,NA,0.678571428571429,14,7,24.0740740740741,15,20.8333333333333
Cardaba,B,121,8/13/2002,9/10/2003,1/7/2004,295,59,120,12,7,116,89.66,NA,NA,0.666666666666667,11,5,0,9.09090909090909,6.66666666666667
Cardaba,B,122,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,5.5,0.625,NA,NA,0,NA,NA
Cardaba,B,123,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.8,12.2,0.466666666666667,NA,NA,0,NA,NA
Cardaba,B,124,8/13/2002,9/10/2003,12/21/2003,325,64,160,14,8,115,107.8,NA,NA,0.784,10,7,0,8.33333333333333,6.66666666666667
Cardaba,B,125,8/13/2002,11/5/2003,1/7/2004,315,64,150,5.6,5,78,59,94.5,7.5,0.652173913043478,11,5,0,6.06060606060606,NA
PisangJariBuaya,B,126,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,6.14285714285714,0.434782608695652,NA,NA,9.52380952380952,NA,NA
PisangJariBuaya,B,127,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.5,5,0.567567567567568,NA,NA,0,NA,NA
PisangJariBuaya,B,128,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangJariBuaya,B,129,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
PisangJariBuaya,B,130,8/13/2002,2/4/2004,NA,295,40,125,NA,NA,NA,NA,89.2,8.6,0.214285714285714,NA,NA,0,16.6666666666667,NA
YangambiKm5,B,131,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.551724137931034,NA,NA,0,0,0
YangambiKm5,B,132,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.6,2.5,0.566666666666667,NA,NA,NA,NA,NA
YangambiKm5,B,133,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653846153846154,NA,NA,0,NA,NA
YangambiKm5,B,134,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,4.75,0.592592592592593,NA,NA,0,NA,NA
YangambiKm5,B,135,8/13/2002,10/22/2003,NA,224,51,115,NA,NA,NA,NA,NA,NA,0.142857142857143,13,NA,0,NA,NA
FHIA21,B,136,8/13/2002,9/10/2003,11/13/2003,255,56,188,15.8,8,95,151.5,NA,NA,0.666666666666667,10,3,19.4444444444444,25,33.3333333333333
FHIA21,B,137,8/13/2002,1/11/2004,3/20/2004,268,56,120,7.4,6,67,101.5,79,9.33333333333333,0.375,10,3,16.6666666666667,NA,NA
