"","id","pdate","end_date","country","location_name","study","trial","x","y","id_2","temp","prec","rhum"
"1","imtp_1566_c1","1/1/1990","12/2/1990","Honduras","La Lima","IMTP-1","1",-87.9333333,15.4166667,1,24.4235232035319,166.4137840271,86.8926224708557
"2","imtp_1683","10/10/1991","10/11/1992","Colombia","Zabaletas","IMTP-1","2",-76.5166667,3.8166667,2,19.403389231364,407.447814941406,88.9865078926086
"3","imtp_1924","7/4/1991","3/19/1992","Cameroon","Njombe","IMTP-2","3",9.65,4.5833333,3,25.8264734903972,217.318534851074,87.4610587755839
"5","imtp_2937_c1","2/12/1996","10/24/1996","Costa Rica","La Rita","IMTP-2","5",-83.45,10.2666667,4,25.0092102050781,275.986194610596,85.9122064908345
"7","imtp_2939_c1","8/8/1995","9/24/1996","Nigeria","Abuja","IMTP-2","7",7.3333333,9.2666667,5,26.4533999125163,134.079456329346,64.0368002255758
"8","imtp_2940_mono_c1","6/20/1995","7/7/1996","Nigeria","Onne","IMTP-2","8",7.1666667,4.7666667,6,26.195240910848,251.584053039551,87.4319316546122
"9","imtp_2941_c1","8/14/1995","9/17/1996","Nigeria","Ibadan","IMTP-2","9",3.9,7.4333333,7,26.0886099497477,119.724273681641,80.7889866828918
"10","imtp_2942","6/20/1996","5/2/1997","Philippines","Davao","IMTP-2","10",125.6,7.0833333,8,26.6459225972494,147.478580474854,80.2706735928853
"11","imtp_2957","1/9/1996","11/13/1996","Tonga","Vaini","IMTP-2","11",-175.166667,-21.1666667,9,24.1411497751872,142.257213592529,76.8048971494039
"12","imtp_16166_mother_A","4/7/2002","2/7/2003","Bangladesh","Ishurdi","IMTP-3","12",89.03333333,24.13333333,10,25.5655145009359,146.377086639404,77.0407274564107
"16","imtp_16177_mother_A","6/29/2002","6/17/2003","Nicaragua","Rivas","IMTP-4","16",-85.7994444,11.3560417,11,26.3503890991211,122.652053833008,80.9706152280172
"17","imtp_16178_mother_A","1/4/2002","9/17/2002","Philippines","Kidapawan","IMTP-3","17",125.1538278,7.01415,12,25.2691595713298,239.500999450684,83.59858751297
"18","imtp_16181_mother","8/17/2002","9/18/2003","Vietnam","Ha Tay","IMTP-3","18",105.9833333,21.3,13,24.2012070973714,157.396793365479,78.9539933204651
"19","3191","11/1/2003","7/31/2004","Ecuador","Pichilingue","Narvaez","19",-79.4833333,-1.1,14,23.83956934611,508.65650177002,90.2689855893453
"20","3193","2/1/2003","5/31/2004","Ecuador","El Carmen","Narvaez","20",-79.3166667,-0.2333333,15,23.3246074676514,232.441425323486,87.612877368927
"21","3194","2/1/2003","5/31/2004","Ecuador","Pagua","Narvaez","21",-79.769084,-3.074353,16,22.0407806396485,548.462867736816,89.2712457974752
"22","mgis_20_c1","8/1/2014","8/5/2015","Puerto Rico","Isabela","MGIS_20","22",-67.0511806,18.4717722,17,25.7499436696371,93.8272476196289,80.9166652361552
"24","Ka_fp_1","5/4/2016","9/11/2017","Uganda","Kawanda","BBB","24",32.6,0.41666667,18,21.0816290537517,150.446891784668,86.9892964363098
"25","Mb_fp_1","5/15/2016","12/13/2017","Uganda","Mbarara","BBB","25",30.61666667,-0.933333,19,20.9058846791586,70.9629058837891,72.7448544502258
"26","Mt_fp_1","4/9/2016","1/24/2018","Tanzania","Mitalula","BBB","26",33,-8.5,20,24.5682280222575,51.1837005615234,55.5899192492167
"27","Ma_fp_1","4/7/2016","2/24/2018","Tanzania","Maruku","BBB","27",31.5,-1.333333,21,20.9335088094076,91.2618637084961,82.0713295936584
"28","Ta_fp_1","4/14/2016","12/4/2017","Tanzania","TaCRI","BBB","28",37.24647,-3.24372,22,17.4114465077718,200.531482696533,79.4233555793762
