,lat,lon,pdate,end_date,eval_time,eval_time_months,blsd_metric,blsd_moment,cycle
imtp_16167_mother_B,4.583333333,9.65,11/17/1999,7/19/2000,245.7307692,8,YLS,shooting,mother
imtp_16167_mother_C,4.583333333,9.65,11/17/1999,7/8/2000,234.24,8,YLS,shooting,mother
imtp_16167_mother_D,4.583333333,9.65,11/17/1999,7/19/2000,245.7037037,8,YLS,shooting,mother
imtp_16167_mother_E,4.583333333,9.65,11/17/1999,7/10/2000,236.56,8,YLS,shooting,mother
imtp_16170_mother_A,7.531833333,125.8350667,8/13/2002,9/8/2003,391.0460002,13,YLS,shooting,mother
imtp_16170_mother_B,7.531833333,125.8350667,8/13/2002,8/29/2003,381.3295577,13,YLS,shooting,mother
imtp_16170_mother_C,7.531833333,125.8350667,8/13/2002,8/17/2003,369.9171651,12,YLS,shooting,mother
imtp_16170_mother_D,7.531833333,125.8350667,8/13/2002,8/7/2003,359.9105179,12,YLS,shooting,mother
imtp_16170_mother_E,7.531833333,125.8350667,8/13/2002,8/17/2003,369.0568073,12,YLS,shooting,mother
imtp_16176_mother_A,15.4166667,-87.9333333,2/1/2002,11/8/2002,280.6336406,9,YLS,shooting,mother
imtp_16176_mother_B,15.4166667,-87.9333333,2/1/2002,11/20/2002,292.242923,10,YLS,shooting,mother
imtp_16176_mother_C,15.4166667,-87.9333333,2/1/2002,11/6/2002,278.6785714,9,YLS,shooting,mother
imtp_16176_mother_D,15.4166667,-87.9333333,2/1/2002,11/15/2002,287.0225564,10,YLS,shooting,mother
imtp_16177_mother_A,11.3560417,-85.7994444,6/29/2002,6/17/2003,352.5575,12,NFL,shooting,mother
imtp_16177_mother_B,11.3560417,-85.7994444,7/1/2002,6/17/2003,351.1308176,12,NFL,shooting,mother
imtp_16177_mother_C,11.3560417,-85.7994444,6/29/2002,8/1/2003,398.5,13,NFL,shooting,mother
imtp_16178_mother_A,7.01415,125.1538278,1/4/2002,9/17/2002,256.8640227,9,NFL,shooting,mother
imtp_16178_mother_B,7.01415,125.1538278,1/4/2002,9/18/2002,257.9760961,9,NFL,shooting,mother
imtp_16178_mother_C,7.01415,125.1538278,1/4/2002,9/19/2002,258.2171717,9,NFL,shooting,mother
imtp_16178_mother_D,7.01415,125.1538278,1/4/2002,9/19/2002,258.8306305,9,NFL,shooting,mother
imtp_16181_mother,21.3,105.9833333,8/17/2002,9/18/2003,397.78,13,NFL,shooting,mother
imtp_16181_ratoon,21.3,105.9833333,9/18/2003,9/23/2004,371,12,NFL,shooting,ratoon
3191,-1.1,-79.4833333,11/1/2003,7/31/2004,273,9,YLS,shooting,mother
3193,-0.2333333,-79.3166667,2/1/2003,5/31/2004,485,16,YLS,shooting,mother
3194,-3.074353,-79.769084,2/1/2003,5/31/2004,485,16,YLS,shooting,mother
mgis_20_c1,18.4717722,-67.0511806,8/1/2014,8/5/2015,369.2666667,12,DI,harvest,mother
mgis_20_c2,18.4717722,-67.0511806,8/5/2015,4/17/2016,255.8871795,9,DI,harvest,ratoon
mgis_6_c1,18.4717722,-67.0511806,2/20/2008,2/1/2009,347.1526316,12,DI,harvest,mother
mgis_6_c2,18.4717722,-67.0511806,2/1/2009,10/15/2009,256.5473684,9,DI,harvest,ratoon
Ka_fp_1,0.41666667,32.6,5/4/2016,9/11/2017,495.2764571,17,DI,harvest,mother
Ka_fp_2,0.41666667,32.6,5/4/2016,10/14/2017,528.2703542,18,DI,harvest,mother
Ka_fp_3,0.41666667,32.6,5/4/2016,11/1/2017,546.2717908,18,DI,harvest,mother
Ka_fp_4,0.41666667,32.6,5/4/2016,11/21/2017,566.3914076,19,DI,harvest,mother
Ka_rt1_1,0.41666667,32.6,9/11/2017,3/9/2018,178.8807469,6,DI,harvest,ratoon
Ka_rt1_2,0.41666667,32.6,10/14/2017,4/21/2018,188.896554,6,DI,harvest,ratoon
Ka_rt1_3,0.41666667,32.6,11/1/2017,4/27/2018,177.5225379,6,DI,harvest,ratoon
Ka_rt1_4,0.41666667,32.6,11/21/2017,5/12/2018,172.5828889,6,DI,harvest,ratoon
Ka_rt2_1,0.41666667,32.6,3/9/2018,9/1/2018,175.8776398,6,DI,harvest,ratoon
Ka_rt2_2,0.41666667,32.6,4/21/2018,10/14/2018,176.4731925,6,DI,harvest,ratoon
Ka_rt2_3,0.41666667,32.6,4/27/2018,10/24/2018,180.0960423,6,DI,harvest,ratoon
Ka_rt2_4,0.41666667,32.6,5/12/2018,11/6/2018,177.7792749,6,DI,harvest,ratoon
Mb_fp_1,-0.933333,30.61666667,5/15/2016,12/13/2017,577.274713,19,NSL,harvest,mother
Mb_fp_2,-0.933333,30.61666667,5/15/2016,1/7/2018,602.3236088,20,NSL,harvest,mother
Mb_fp_3,-0.933333,30.61666667,5/15/2016,12/30/2017,594.3758078,20,NSL,harvest,mother
