"","Calcutta 4","FHIA-01","FHIA-02","FHIA-03","FHIA-04","FHIA-05","FHIA-06","FHIA-07","Grande Naine","Niyarma Yik","Pahang","Pisang Berlin","Pisang Lilin","Pisang Mas","SF 215 / NBA 14","Tani","Tuu Gia","Agbagba","EMB 403","FHIA-18","FHIA-23","French Sombre","Lakatan","PA 03-22","Pisang Ceylan","PV 03-44","Saba","SH-3436-9","Valery","Williams","Yangambi Km5","B7925","BITA-2","BITA-3","Burro Cemsa","Cachaco","Cardaba","CRBP-39","Currare Enano","EcuadorDwarf","Falso Cuerno","FHIA-17","FHIA-20","FHIA-21","FHIA-25","GCTCV-119","GCTCV-215","Gros Michel","Pisang Jari Buaya","PITA-16","Rose","SH-3640","Chuoi Tieu Lun","Foconah","Pisang Lemak Manis","Selangor","TMB2x 9128-3","Barraganete","Dominico","Maricongo","PA 12-03","PV 42-320","PV 42-53","PV 42-81","FLHORBAN 916","FLHORBAN 920","Formosana","GCTCV-105","IBP 12","IBP 5-61","IBP 5-B","P. Klutuk Wulung","Kisansa","Mbwazirume","Nakitembe","NARITA 10","NARITA 11","NARITA 12","NARITA 13","NARITA 14","NARITA 15","NARITA 16","NARITA 18","NARITA 19","NARITA 2","NARITA 20","NARITA 21","NARITA 22","NARITA 23","NARITA 24","NARITA 25","NARITA 26","NARITA 27","NARITA 4","NARITA 6","NARITA 7","NARITA 8","NARITA 9","Ndizi Uganda","Enyoya"
"imtp_16167_mother_A",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16167_mother_B",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16167_mother_C",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16167_mother_D",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16167_mother_E",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16170_mother_A",0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,0,2,0,0,0,0,0,15,0,13,4,0,0,10,1,0,0,0,0,0,12,3,0,0,0,8,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16170_mother_B",0,1,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,4,0,0,0,0,0,15,0,0,8,0,0,9,12,0,0,0,0,0,13,5,0,0,0,11,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16170_mother_C",0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,11,0,5,12,0,0,0,10,0,0,0,0,0,1,13,0,0,0,9,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16170_mother_D",0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,0,4,0,0,0,0,0,15,0,6,12,0,0,11,3,0,0,0,0,0,5,1,0,0,0,14,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16170_mother_E",0,2,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,4,0,0,0,0,0,0,0,6,9,0,0,13,3,0,0,0,0,0,5,7,0,0,0,14,15,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16176_mother_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,2,0,0,0,0,12,4,0,0,0,0,0,0,6,7,0,9,10,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16176_mother_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,2,0,0,0,0,12,3,0,0,0,0,0,0,6,10,0,11,9,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16176_mother_C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,2,0,0,0,0,12,3,0,0,0,0,0,0,5,7,0,9,11,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16176_mother_D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,5,8,0,7,10,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16177_mother_A",0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,4,11,0,0,0,8,0,0,0,13,6,7,12,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16177_mother_B",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,8,9,0,0,0,9,0,0,0,10,5,6,7,0,0,0,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16177_mother_C",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,0,0,0,2,0,0,0,5,8,3,4,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16178_mother_A",0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,4,0,0,12,0,17,14,0,10,5,0,15,0,3,0,16,0,6,0,8,4,18,0,18,8,16,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16178_mother_B",0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,0,10,0,0,12,0,18,0,0,9,13,0,14,0,5,0,16,0,4,0,8,3,20,0,21,19,17,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16178_mother_C",0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,10,0,0,12,0,19,0,0,13,5,0,17,0,9,0,21,0,4,0,11,3,20,0,18,14,22,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16178_mother_D",0,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,0,0,14,0,0,7,0,22,18,0,12,3,0,16,0,3,0,20,0,6,0,10,11,19,0,21,13,5,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16181_mother",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,1,3,5,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"imtp_16181_ratoon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,5,4,7,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
