"","lat","lon","pdate","end_date","eval_time","eval_time_months"
"Mb_rt2_1",-0.933333,30.61666667,2018-06-15,2019-02-08,237.793985752378,8
"Mb_rt2_2",-0.933333,30.61666667,2018-06-18,2019-02-02,228.619477803677,8
"Mb_rt2_3",-0.933333,30.61666667,2018-06-26,2019-01-20,207.924902271016,7
"Mb_rt2_4",-0.933333,30.61666667,2018-07-02,2019-02-07,220.226919376053,7
"Mt_fp_1",-8.5,33,2016-04-09,2018-01-24,655.671739130434,22
"Mt_fp_2",-8.5,33,2016-04-09,2018-01-07,638.905797100001,21
"Mt_fp_3",-8.5,33,2016-04-09,2018-01-18,649.824206354544,22
"Mt_fp_4",-8.5,33,2016-04-09,2017-12-19,619.342204509093,21
"Mt_rt1_1",-8.5,33,2018-01-24,2018-09-06,224.803197732068,7
"Mt_rt1_2",-8.5,33,2018-01-07,2018-08-03,207.737933682609,7
"Mt_rt1_3",-8.5,33,2018-01-18,2018-08-25,218.850232840912,7
"Mt_rt1_4",-8.5,33,2017-12-19,2018-06-13,176.622361960469,6
"Mt_rt2_1",-8.5,33,2018-09-06,2019-02-26,172.819427615757,6
"Mt_rt2_2",-8.5,33,2018-08-03,2019-02-15,195.387638026481,7
"Mt_rt2_3",-8.5,33,2018-08-25,2019-01-14,141.579533986364,5
"Mt_rt2_4",-8.5,33,2018-06-13,2018-12-18,187.842522275895,6
"Ma_fp_1",-1.333333,31.5,2016-04-07,2018-02-24,688.25,23
"Ma_fp_2",-1.333333,31.5,2016-04-07,2018-03-02,694.016666660003,23
"Ma_fp_3",-1.333333,31.5,2016-04-07,2017-11-27,599.178571435713,20
"Ma_fp_4",-1.333333,31.5,2016-04-07,2017-11-04,576.923498965218,19
"Ma_rt1_1",-1.333333,31.5,2018-02-24,2018-08-24,181.5625,6
"Ma_rt1_2",-1.333333,31.5,2018-03-02,2018-10-21,233.283333339997,8
"Ma_rt1_3",-1.333333,31.5,2017-11-27,2018-06-22,206.821428564287,7
"Ma_rt1_4",-1.333333,31.5,2017-11-04,2018-06-24,231.275331445309,8
"Ma_rt2_1",-1.333333,31.5,2018-08-24,2019-04-09,227.8125,8
"Ma_rt2_2",-1.333333,31.5,2018-10-21,2019-05-06,197.433333399999,7
"Ma_rt2_4",-1.333333,31.5,2018-06-24,2018-12-25,183.856725139474,6
"Ma_rt3_4",-1.333333,31.5,2018-12-25,2019-04-06,102.673611074998,3
"Ta_fp_1",-3.24372,37.24647,2016-04-14,2017-12-04,599.315476200001,20
"Ta_fp_2",-3.24372,37.24647,2016-04-14,2017-11-11,576.450680276189,19
"Ta_fp_3",-3.24372,37.24647,2016-04-14,2017-11-26,591.566450218183,20
"Ta_fp_4",-3.24372,37.24647,2016-04-14,2017-11-16,581.378786379165,19
"Ta_rt1_1",-3.24372,37.24647,2017-12-04,2018-07-26,234.529978345453,8
"Ta_rt1_2",-3.24372,37.24647,2017-11-11,2018-07-10,240.804582881707,8
"Ta_rt1_3",-3.24372,37.24647,2017-11-26,2018-08-26,272.641874918179,9
"Ta_rt1_4",-3.24372,37.24647,2017-11-16,2018-07-17,242.875677905836,8
"Ta_rt2_1",-3.24372,37.24647,2018-07-26,2019-02-07,195.833434361211,7
"Ta_rt2_2",-3.24372,37.24647,2018-07-10,2018-12-10,153.345614052633,5
"Ta_rt2_3",-3.24372,37.24647,2018-08-26,2018-12-26,122.039920511008,4
"Ta_rt2_4",-3.24372,37.24647,2018-07-17,2019-01-18,185.032837286429,6
