"items","estimate","SE","Z_value","p_value","quasiSE","quasiVar","reliability","rel_se"
"Saba",0.0362149404335965,1.39427521754301,0.0259740257719093,0.979278055890876,0.67690427929263,0.458199403324674,0.509052745723828,0.163962015693631
"Calcutta 4",0,0,NA,NA,1.28495851701086,1.65111839043874,0.5,0.283292643530263
"FHIA-03",-0.0600926925350782,1.58616351025872,-0.0378855598092004,0.969778926387023,0.964042518669473,0.929377977802582,0.484981346122331,0.22075865155403
"NARITA 24",-0.117477612086663,1.34994829307224,-0.0870237865328197,0.930652604910778,0.341292754318369,0.116480744150218,0.470664327662257,0.0833867600282676
"FHIA-01",-0.293869450211623,1.45548732160864,-0.201904507066974,0.839991378511505,0.72857374357891,0.530819699832587,0.427056826604134,0.162505057314742
"FHIA-02",-0.322332091052214,1.70457099394358,-0.189098660130599,0.850015491602618,1.14591168585137,1.31311359177072,0.420107504768574,0.232897806768912
"FHIA-21",-0.324872346514512,1.41265569411364,-0.229972772465515,0.818112927133143,0.705187626361782,0.497289588373764,0.419488780774092,0.15641630343531
"FHIA-18",-0.411218420236085,1.49639138032614,-0.274806728802769,0.783464728228468,0.812998552995698,0.660966647173099,0.398620002851291,0.171424809705119
"Rose",-0.679936627854672,1.58888901971408,-0.427932108170164,0.668700549862175,0.961985518948982,0.925416138667541,0.336275446748646,0.174071761342823
"Pisang Ceylan",-0.684553563927555,1.29891757684662,-0.527018477638471,0.598180757008385,0.257744380568186,0.0664321657144781,0.335245753249533,0.054809350957631
