GENOTYPES,Time from planting to shooting (days),Time from shooting to harvest (days),Time from planting to harvest (days),Height of pseudostem at shooting (cm),Bunch weight (kg),Number of hands per bunch (hands),Total number of fingers per bunch (fingers),Youngest leaf spotted
EMB 402,238.50,119.00,,308.50,5.20,6.50,10.00,9.60
EMB 403,252.00,142.50,,226.50,10.10,8.00,13.50,8.90
FHIA-23,435.50,103.50,,356.00,21.90,10.50,17.50,5.90
Yangambi Km 5,302.50,119.00,,261.00,6.70,7.50,11.50,6.60
Pisang Ceylan,397.00,102.50,,410.00,9.10,10.00,11.50,6.20
Saba,426.00,124.50,,402.00,9.10,7.00,19.50,6.80
SH-3436-9,357.50,107.00,,295.50,15.90,9.50,18.00,7.20
Agbagba (control),469.50,81.00,,397.50,9.80,6.00,22.50,5.30
Valery (control),323.50,97.00,,229.00,9.40,8.50,15.50,7.40
