GENOTYPES,Time from planting to shooting (days),Time from shooting to harvest (days),Time from planting to harvest (days),Height of pseudostem at shooting (cm),Bunch weight (kg),Number of hands per bunch (hands),Total number of fingers per bunch (fingers),Youngest leaf spotted
EMB 402,272.5,114,,213.5,1.9,5,57.5,9.4
EMB 403,259,112,,144.5,1.6,5.5,57,10
FHIA-23,501,109,,262.5,8.8,8,109.5,4.7
Yangambi Km 5,302,140,,178.5,2.9,5,64.5,9.2
Pisang Ceylan,361.5,103,,293.5,9.1,9,138.5,7.3
Saba,487,132,,274.5,4.9,5,66.5,3.5
SH-3436-9,411.5,107.5,,195,6.6,7,84.5,5.4
Agbagba (control),517,86,,276,5.2,6.5,24,5.6
Valery (control),343,99,,197.5,5.9,7,79.5,5.6
