GENOTYPES,Time from planting to shooting (days),Time from shooting to harvest (days),Time from planting to harvest (days),Height of pseudostem at shooting (cm),Bunch weight (kg),Number of hands per bunch (hands),Total number of fingers per bunch (fingers),Youngest leaf spotted
EMB 402,495.5,124,,471.5,14,7.5,124,9.4
EMB 403,473.5,184.5,,313,11.4,8.5,121,7.8
FHIA-23,753.5,100.5,,382,24,12,216.5,5.8
Yangambi Km 5,446.5,226.5,,422.5,11.7,7.5,129.5,7.4
Pisang Ceylan,547.5,99,,461.5,16.8,14,230.5,6.4
Saba,674.5,118.5,,462.5,8.5,7.5,20,7.2
SH-3436-9,636.5,103.5,,342.5,21.9,12,1.9,6.4
Agbagba (control),671,81,,399,9.5,7,58,5.3
Valery (control),569,133.5,,273.5,13.6,9,128,6.2
