GENOTYPES,Time from planting to shooting (days),Time from shooting to harvest (days),Time from planting to harvest (days),Height of pseudostem at shooting (cm),Bunch weight (kg),Number of hands per bunch (hands),Total number of fingers per bunch (fingers),Youngest leaf spotted
EMB 402,281.5,184,465.5,267.5,7.3,6,75.5,8.2
EMB 403,300,177,477,196,6.5,5.5,79.5,7
FHIA-23,492,113,605,306,23,12,181.5,7.8
Yangambi Km 5,523,140,663,317,6.9,6.5,106.5,7.7
Pisang Ceylan,372.5,151.5,524,349,18.2,11,175.5,11.8
Saba,347.5,152.5,500,344.5,17.1,7,96,12.5
SH-3436-9,410,137,547,274.5,26.3,10,164.5,10.2
Agbagba (control),454,101,555,341,10.1,7,63.5,6.2
Valery (control),541,122,663,200,8.8,7.5,88,5.9
