GENOTYPES,Time from planting to shooting (days),Time from shooting to harvest (days),Time from planting to harvest (days),Height of pseudostem at shooting (cm),Bunch weight (kg),Number of hands per bunch (hands),Total number of fingers per bunch (fingers),Youngest leaf spotted
EMB 402,238.5,119,357.5,308.5,5.2,6.5,10,9.6
EMB 403,252,142.5,394.5,226.5,10.1,8,13.5,8.9
FHIA-23,435.5,103.5,539,356,21.9,10.5,17.5,5.9
Yangambi Km 5,302.5,119,421.5,261,6.7,7.5,11.5,6.6
Pisang Ceylan,397,102.5,499.5,410,9.1,10,11.5,6.2
Saba,426,124.5,550.5,402,9.1,7,19.5,6.8
SH-3436-9,357.5,107,464.5,295.5,15.9,9.5,18,7.2
Agbagba,469.5,81,550.5,397.5,9.8,6,22.5,5.3
Valery,323.5,97,420.5,229,9.4,8.5,15.5,7.4
