GENOTYPES,Time from planting to shooting (days),Time from shooting to harvest (days),Time from planting to harvest (days),Height of pseudostem at shooting (cm),Bunch weight (kg),Number of hands per bunch (hands),Total number of fingers per bunch (fingers),Youngest leaf spotted
EMB 402,376.5,141,517.5,310.5,5,6,81,7.6
EMB 403,439.5,154,593.5,248,6.7,7,84,6.6
FHIA-23,398,119,517,317.5,13.9,9,135,6.8
Yangambi Km 5,341.5,92.5,434,262.5,3.4,6.5,110,7.1
Pisang Ceylan,479,150.5,629.5,302.5,6.4,10,144,8.6
Saba,484.5,68.5,553,332,15.3,7.5,97,8.3
SH-3436-9,350,102.5,452.5,245.5,8.6,7.5,92.5,7.4
Agbagba,365,92,457,270,4.5,5,24,7.3
Valery,367,104,471,209,5,7,83,7
