Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Number of functional leaves (shooting),Number of functional leaves (harvest),Disease development time (days),Average youngest leaf spotted (between weeks 17 to 21),Data for YLS are averaged per replication (per block)
PITA16,D,9,PITA16D9,ratoon,NA,NA,NA,NA,NA,NA,37.9,11,NA,3.37,NA,5,NA,NA,
PITA16,D,10,PITA16D10,ratoon,NA,NA,NA,NA,NA,NA,37.9,11,NA,3.37,NA,5,NA,NA,
FHIA17,A,1,FHIA17A1,ratoon,NA,NA,NA,NA,NA,NA,55.17708333,16,NA,3.604375,NA,7.666666667,NA,NA,
FHIA17,A,2,FHIA17A2,ratoon,NA,NA,NA,NA,NA,NA,55.17708333,16,NA,3.604375,NA,7.666666667,NA,NA,
FHIA17,A,3,FHIA17A3,ratoon,NA,NA,NA,NA,NA,NA,55.17708333,16,NA,3.604375,NA,7.666666667,NA,NA,
FHIA17,A,4,FHIA17A4,ratoon,NA,NA,NA,NA,NA,NA,55.17708333,16,NA,3.604375,NA,7.666666667,NA,NA,
FHIA17,A,5,FHIA17A5,ratoon,NA,NA,NA,NA,NA,NA,55.17708333,16,NA,3.604375,NA,7.666666667,NA,NA,
FHIA17,A,6,FHIA17A6,ratoon,NA,NA,NA,NA,NA,NA,55.17708333,16,NA,3.604375,NA,7.666666667,NA,NA,
FHIA17,A,7,FHIA17A7,ratoon,NA,NA,NA,NA,NA,NA,55.17708333,16,NA,3.604375,NA,7.666666667,NA,NA,
FHIA17,A,8,FHIA17A8,ratoon,NA,NA,NA,NA,NA,NA,55.17708333,16,NA,3.604375,NA,7.666666667,NA,NA,
FHIA17,A,9,FHIA17A9,ratoon,NA,NA,NA,NA,NA,NA,55.17708333,16,NA,3.604375,NA,7.666666667,NA,NA,
FHIA17,A,10,FHIA17A10,ratoon,NA,NA,NA,NA,NA,NA,55.17708333,16,NA,3.604375,NA,7.666666667,NA,NA,
FHIA17,B,1,FHIA17B1,ratoon,NA,NA,NA,NA,NA,NA,50.4137931,14.5,NA,3.053448276,NA,6,NA,NA,
FHIA17,B,2,FHIA17B2,ratoon,NA,NA,NA,NA,NA,NA,50.4137931,14.5,NA,3.053448276,NA,6,NA,NA,
FHIA17,B,3,FHIA17B3,ratoon,NA,NA,NA,NA,NA,NA,50.4137931,14.5,NA,3.053448276,NA,6,NA,NA,
FHIA17,B,4,FHIA17B4,ratoon,NA,NA,NA,NA,NA,NA,50.4137931,14.5,NA,3.053448276,NA,6,NA,NA,
FHIA17,B,5,FHIA17B5,ratoon,NA,NA,NA,NA,NA,NA,50.4137931,14.5,NA,3.053448276,NA,6,NA,NA,
FHIA17,B,6,FHIA17B6,ratoon,NA,NA,NA,NA,NA,NA,50.4137931,14.5,NA,3.053448276,NA,6,NA,NA,
