Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Number of functional leaves (shooting),Number of functional leaves (harvest),Disease development time (days),Average youngest leaf spotted (between weeks 17 to 21),Data for YLS are averaged per replication (per block)
PITA16,A,1,PITA16A1,mother,1/4/2002,9/10/2002,12/27/2002,336,104,350,27.5,8,168,25.35,8,3,42,8,
PITA16,A,2,PITA16A2,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
PITA16,A,3,PITA16A3,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,8,
PITA16,A,4,PITA16A4,mother,1/4/2002,11/11/2002,3/14/2003,338,109,300,38.15,9,192,35.2,9,3,46,8,
PITA16,A,5,PITA16A5,mother,1/4/2002,9/7/2002,NA,369,115,285,NA,NA,NA,NA,8,NA,42,8,
PITA16,A,6,PITA16A6,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,8,
PITA16,A,7,PITA16A7,mother,1/4/2002,NA,4/4/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
PITA16,A,8,PITA16A8,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,8,
PITA16,A,9,PITA16A9,mother,1/4/2002,1/23/2003,NA,375,118,264,20.5,13,256,19.25,9,4,46,8,
PITA16,A,10,PITA16A10,mother,1/4/2002,1/20/2003,NA,370,116,250,NA,NA,NA,NA,NA,NA,37,8,
PITA16,B,1,PITA16B1,mother,1/4/2002,11/9/2002,3/14/2003,391,87,240,11.35,8,158,8.95,8,4,41,8.685,
PITA16,B,2,PITA16B2,mother,1/4/2002,9/20/2002,1/15/2003,400,95,235,14.45,10,178,12.7,9,2,41,8.685,
PITA16,B,3,PITA16B3,mother,1/4/2002,2/22/2003,6/11/2003,365,80,352,21.6,9,161,19.7,9,6,49,8.685,
PITA16,B,4,PITA16B4,mother,1/4/2002,9/2/2002,12/24/2002,384,108,345,25.7,10,174,23.7,9,2,54,8.685,
PITA16,B,5,PITA16B5,mother,1/4/2002,1/8/2003,4/26/2003,375,86,352,19.3,11,208,17.8,9,4,52,8.685,
PITA16,B,6,PITA16B6,mother,1/4/2002,9/21/2002,1/15/2003,373,82,342,8.6,9,140,8,9,2,52,8.685,
PITA16,B,7,PITA16B7,mother,1/4/2002,10/24/2002,3/14/2003,372,82,200,18.5,9,173,17,9,3,45,8.685,
PITA16,B,8,PITA16B8,mother,1/4/2002,1/29/2003,6/11/2003,384,79,215,22,9,163,19.9,8,5,36,8.685,
PITA16,B,9,PITA16B9,mother,1/4/2002,9/17/2002,12/27/2002,358,110,319,25.35,9,185,22.9,10,3,45,8.685,
PITA16,B,10,PITA16B10,mother,1/4/2002,11/12/2002,3/14/2003,360,98,282,14.7,10,196,13.33,8,1,45,8.685,
PITA16,C,1,PITA16C1,mother,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,7.195555556,
PITA16,C,2,PITA16C2,mother,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,7.195555556,
PITA16,C,3,PITA16C3,mother,1/4/2002,11/10/2002,4/26/2003,320,96.5,274,20.3,9,159,18.7,8,1,43,7.195555556,
PITA16,C,4,PITA16C4,mother,1/4/2002,10/25/2002,1/29/2003,380,115,308,15.2,10,187,13.95,8,3,52,7.195555556,
