Cultivar,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Crop cycle (days),Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Bunch weight (kg),Number of fruits in hand,Weight of fruit (g),Number of functional leaves (shooting)
YangambiKm5,1,YangambiKm51,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,2,YangambiKm52,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,3,YangambiKm53,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,4,YangambiKm54,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,5,YangambiKm55,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,6,YangambiKm56,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,7,YangambiKm57,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,8,YangambiKm58,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,9,YangambiKm59,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,10,YangambiKm510,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA
PITA16,1,PITA161,ratoon,NA,NA,352,125,48.5,10.5,NA,66,8
PITA16,2,PITA162,ratoon,NA,NA,357,121,49,10.1,NA,64.5,8
PITA16,3,PITA163,ratoon,NA,NA,356,124,50,9.4,NA,65,8
PITA16,4,PITA164,ratoon,NA,NA,354,122,52,9.6,NA,65,8
PITA16,5,PITA165,ratoon,NA,NA,346,115,50.5,9.8,NA,65.5,8
PITA16,6,PITA166,ratoon,NA,NA,356,113,51,10.6,NA,64.5,8
PITA16,7,PITA167,ratoon,NA,NA,346,119,51,9.2,NA,64.5,8
PITA16,8,PITA168,ratoon,NA,NA,346,121,51,10,NA,65,8
PITA16,9,PITA169,ratoon,NA,NA,346,124,50,10.3,NA,66.5,9
