Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Bunch weight (kg),Number of hands,Number of functional leaves (shooting),Number of Meloidogyne spp. per 30 g fresh root (harvest),Number of Helicotylenchus multicinctus per 30 g fresh root (harvest),Number of Pratylenchus coffea per 30 g fresh root (harvest),Number of Radopholus similis per 30 g fresh root (harvest)
PisangJariBuaya,C,7,PisangJariBuayaC7,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,36.66666667,1.666666667,15,0
PisangJariBuaya,C,21,PisangJariBuayaC21,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangJariBuaya,C,58,PisangJariBuayaC58,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangJariBuaya,D,8,PisangJariBuayaD8,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangJariBuaya,D,30,PisangJariBuayaD30,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangJariBuaya,D,44,PisangJariBuayaD44,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangJariBuaya,D,62,PisangJariBuayaD62,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangJariBuaya,E,5,PisangJariBuayaE5,ratoon2,NA,NA,NA,380,114,33.3,11,13,NA,NA,NA,NA
PisangJariBuaya,E,11,PisangJariBuayaE11,ratoon2,NA,NA,NA,NA,NA,18.9,10,NA,NA,NA,NA,NA
PisangJariBuaya,E,37,PisangJariBuayaE37,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangJariBuaya,E,50,PisangJariBuayaE50,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangJariBuaya,F,56,PisangJariBuayaF56,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangJariBuaya,G,40,PisangJariBuayaG40,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangJariBuaya,G,55,PisangJariBuayaG55,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangJariBuaya,G,74,PisangJariBuayaG74,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,A,8,PisangMasA8,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,A,32,PisangMasA32,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,B,39,PisangMasB39,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,B,53,PisangMasB53,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,C,1,PisangMasC1,ratoon2,NA,NA,NA,350,64,7,8,11,NA,NA,NA,NA
PisangMas,C,40,PisangMasC40,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,C,63,PisangMasC63,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,C,68,PisangMasC68,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,D,10,PisangMasD10,ratoon2,NA,NA,NA,367,61,4.6,7,12,NA,NA,NA,NA
PisangMas,D,29,PisangMasD29,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,D,43,PisangMasD43,ratoon2,NA,NA,NA,384,67,9,8,15,158.3333333,0,0,0
PisangMas,D,66,PisangMasD66,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,E,1,PisangMasE1,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,E,12,PisangMasE12,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,E,39,PisangMasE39,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,E,54,PisangMasE54,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,E,70,PisangMasE70,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,F,46,PisangMasF46,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,F,48,PisangMasF48,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,G,47,PisangMasG47,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangMas,G,51,PisangMasG51,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saba,B,10,SabaB10,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saba,B,19,SabaB19,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saba,C,19,SabaC19,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saba,C,55,SabaC55,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saba,D,15,SabaD15,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saba,D,46,SabaD46,ratoon2,NA,NA,NA,256,76,NA,NA,8,NA,NA,NA,NA
Saba,D,59,SabaD59,ratoon2,NA,NA,NA,364,111,35.1,15,13,NA,NA,NA,NA
Saba,D,76,SabaD76,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saba,E,15,SabaE15,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saba,E,43,SabaE43,ratoon2,NA,NA,NA,310,87,NA,NA,12,NA,NA,NA,NA
Saba,E,65,SabaE65,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saba,E,74,SabaE74,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saba,F,58,SabaF58,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saba,G,46,SabaG46,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saba,G,69,SabaG69,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saba,G,71,SabaG71,ratoon2,NA,NA,NA,274,74,7.1,10,10,NA,NA,NA,NA
Selangor,A,10,SelangorA10,ratoon2,NA,NA,NA,290,90,14.6,10,12,NA,NA,NA,NA
Selangor,A,21,SelangorA21,ratoon2,NA,NA,NA,285,83,21.3,8,10,NA,NA,NA,NA
Selangor,A,46,SelangorA46,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selangor,B,13,SelangorB13,ratoon2,NA,NA,NA,263,74,11.4,7,7,NA,NA,NA,NA
Selangor,B,54,SelangorB54,ratoon2,NA,NA,NA,285,81,NA,NA,13,NA,NA,NA,NA
Selangor,C,8,SelangorC8,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selangor,C,45,SelangorC45,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selangor,C,51,SelangorC51,ratoon2,NA,NA,NA,292,88,39.1,11,10,NA,NA,NA,NA
Selangor,C,73,SelangorC73,ratoon2,NA,NA,NA,265,79,NA,NA,7,NA,NA,NA,NA
Selangor,D,4,SelangorD4,ratoon2,NA,NA,NA,366,107,19.3,10,11,100,0,0,0
Selangor,D,31,SelangorD31,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selangor,D,55,SelangorD55,ratoon2,NA,NA,NA,330,90,NA,NA,12,65,0,31.66666667,0
Selangor,D,57,SelangorD57,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selangor,D,58,SelangorD58,ratoon2,NA,NA,NA,386,116,23.2,11,15,25,0,36.66666667,0
Selangor,E,8,SelangorE8,ratoon2,NA,NA,NA,NA,109,29,11,15,240,0,0,0
Selangor,E,24,SelangorE24,ratoon2,NA,NA,NA,300,85,NA,NA,9,NA,NA,NA,NA
Selangor,E,42,SelangorE42,ratoon2,NA,NA,NA,200,58,NA,NA,6,NA,NA,NA,NA
Selangor,E,67,SelangorE67,ratoon2,NA,NA,NA,310,95,19,9,7,NA,NA,NA,NA
Selangor,F,37,SelangorF37,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selangor,F,61,SelangorF61,ratoon2,NA,NA,NA,370,102,22.7,9,14,100,0,11.66666667,0
Selangor,G,43,SelangorG43,ratoon2,NA,NA,NA,228,69,4.1,5,5,NA,NA,NA,NA
Selangor,G,52,SelangorG52,ratoon2,NA,NA,NA,259,71,7.3,5,7,0,0,0,0
PITA16,C,12,PITA16C12,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PITA16,C,17,PITA16C17,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PITA16,C,62,PITA16C62,ratoon2,NA,NA,NA,300,64,NA,NA,9,NA,NA,NA,NA
PITA16,D,6,PITA16D6,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PITA16,D,28,PITA16D28,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PITA16,D,41,PITA16D41,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PITA16,D,63,PITA16D63,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PITA16,E,28,PITA16E28,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PITA16,E,32,PITA16E32,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PITA16,E,56,PITA16E56,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PITA16,F,34,PITA16F34,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PITA16,F,55,PITA16F55,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PITA16,F,72,PITA16F72,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PITA16,G,38,PITA16G38,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PITA16,G,54,PITA16G54,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,A,12,YangambiKm5A12,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,A,23,YangambiKm5A23,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,A,48,YangambiKm5A48,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,B,8,YangambiKm5B8,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,B,37,YangambiKm5B37,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,B,44,YangambiKm5B44,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,C,14,YangambiKm5C14,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,C,18,YangambiKm5C18,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,C,56,YangambiKm5C56,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,D,13,YangambiKm5D13,ratoon2,NA,NA,NA,390,76,4.5,4,15,NA,NA,NA,NA
YangambiKm5,D,51,YangambiKm5D51,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,D,74,YangambiKm5D74,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,E,19,YangambiKm5E19,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,E,31,YangambiKm5E31,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,E,61,YangambiKm5E61,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,E,73,YangambiKm5E73,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,F,35,YangambiKm5F35,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,F,65,YangambiKm5F65,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,F,69,YangambiKm5F69,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,G,45,YangambiKm5G45,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,G,67,YangambiKm5G67,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
