Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Number of standing leaves (shooting),Height of following sucker (cm) (harvest),Number of standing leaves (harvest),Bunch weight (kg),Number of hands,Number of fruits in the bunch,Weight of fruit (g),Disease development time (growing phase),Youngest leaf spotted (shooting),Youngest leaf spotted (harvest),Leaf emission rate (new leaves/week) (growing phase),Index of non-spotted leaves (shooting)
NyarmaYik,E,1,NyarmaYikE1,mother,11/17/1999,6/27/2000,8/8/2000,310,69,125,11,NA,9,7,7,90,64.22,53.47368421,6.052631579,6,1.087037037,45.45454545
NyarmaYik,E,2,NyarmaYikE2,mother,11/17/1999,8/28/2000,10/10/2000,300,67,40,10,NA,6,5,6,88,55.92,38.05,4.85,6,1.065350877,50
NyarmaYik,E,3,NyarmaYikE3,mother,11/17/1999,6/13/2000,7/20/2000,305,67,125,15,NA,8,6,8,102,56.48,52.14285714,5.928571429,6,1.013293651,33.33333333
NyarmaYik,E,4,NyarmaYikE4,mother,11/17/1999,7/8/2000,8/22/2000,320,62,125,10,NA,6,5.6,7,90,59.73,51.9,6.15,5,1.077083333,40
FrenchSombre,A,1,FrenchSombreA1,mother,11/17/1999,8/8/2000,11/7/2000,350,69,180,8,NA,0,15,6,83,162.65,62.09090909,6.590909091,6,1.027116402,62.5
FrenchSombre,A,2,FrenchSombreA2,mother,11/17/1999,7/31/2000,10/26/2000,335,69,195,9,NA,0,15,7,74,172.7,65.76190476,7,6,1.043055556,55.55555556
FrenchSombre,A,3,FrenchSombreA3,mother,11/17/1999,7/7/2000,9/22/2000,350,69,215,8,NA,0,13,6,76,153.15,72.4,7.55,7,1.15497076,75
FrenchSombre,A,4,FrenchSombreA4,mother,11/17/1999,7/11/2000,9/25/2000,365,72,205,10,NA,0,14,7,93,144.94,72.5,7.55,8,1.121052632,70
FrenchSombre,B,1,FrenchSombreB1,mother,11/17/1999,7/13/2000,9/25/2000,340,68,175,9,NA,0,13,7,84,141.1,64.95238095,7.047619048,7,1.13,66.66666667
FrenchSombre,B,2,FrenchSombreB2,mother,11/17/1999,7/3/2000,9/19/2000,330,65,220,8,NA,0,13,7,84,145.95,67.72222222,6.5,7,1.064215686,75
FrenchSombre,B,3,FrenchSombreB3,mother,11/17/1999,7/3/2000,9/19/2000,340,68,230,9,NA,0,13,7,96,127.7,69.68421053,6.842105263,7,1.068209877,66.66666667
FrenchSombre,B,4,FrenchSombreB4,mother,11/17/1999,6/26/2000,9/13/2000,365,77,250,11,NA,NA,18.5,7,101,160.52,76.94444444,7.888888889,9,1.120261438,72.72727273
FrenchSombre,C,1,FrenchSombreC1,mother,11/17/1999,6/30/2000,9/15/2000,360,75,215,9,NA,0,17.5,7,100,153.6,74.94444444,7.388888889,6,1.200980392,55.55555556
FrenchSombre,C,2,FrenchSombreC2,mother,11/17/1999,6/26/2000,9/14/2000,350,78,230,10,NA,0,18.5,8,111,149.1,78.16666667,7.722222222,7,1.148039216,60
FrenchSombre,C,3,FrenchSombreC3,mother,11/17/1999,6/27/2000,9/15/2000,375,77,230,10,NA,0,16,7,96,139.79,77.27777778,7.666666667,8,1.147058824,70
FrenchSombre,C,4,FrenchSombreC4,mother,11/17/1999,6/21/2000,9/14/2000,370,73,240,9,NA,0,18,7,99,164.71,79.05882353,8,7,1.111979167,66.66666667
FrenchSombre,D,1,FrenchSombreD1,mother,11/17/1999,7/18/2000,10/10/2000,360,71,250,10,NA,0,15,7,98,136.63,69.9,6.7,9,1.062719298,80
FrenchSombre,D,2,FrenchSombreD2,mother,11/17/1999,7/21/2000,9/25/2000,380,79,275,10,NA,0,16.5,7,100,151.2,72.0952381,7.428571429,6,1.134166667,50
FrenchSombre,D,3,FrenchSombreD3,mother,11/17/1999,7/10/2000,10/14/2000,370,73,265,10,NA,0,15.5,7,97,128.06,68.17391304,7.304347826,8,1.157954545,70
FrenchSombre,D,4,FrenchSombreD4,mother,11/17/1999,7/17/2000,10/9/2000,355,69,225,9,NA,0,15,7,92,146.08,64.28571429,6.619047619,8,1.074166667,77.77777778
FrenchSombre,E,1,FrenchSombreE1,mother,11/17/1999,7/12/2000,10/2/2000,360,75,235,9,NA,0,16,8,104,140.67,69.05,7.05,8,1.094736842,77.77777778
FrenchSombre,E,2,FrenchSombreE2,mother,11/17/1999,7/5/2000,9/20/2000,385,75,255,10,NA,0,18,7,107,141.4,73.89473684,7.157894737,8,1.099074074,70
FrenchSombre,E,3,FrenchSombreE3,mother,11/17/1999,7/5/2000,9/20/2000,385,75,240,10,NA,0,18,7,100,156.7,77.21052632,7.421052632,8,1.099228395,70
FrenchSombre,E,4,FrenchSombreE4,mother,11/17/1999,7/30/2000,10/12/2000,370,68,160,10,NA,0,13.5,7,89,136.4,66.36363636,6.909090909,6,1.092063492,62.5
