Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Girth at 1m of following sucker (cm) (shooting),Height of following sucker (cm) (harvest),Bunch weight (kg),Number of hands,Number of fruits in hand,Number of dead roots,Number of functional roots
Calcutta4,A,1,Calcutta4A1,ratoon,2/12/2003,7/12/2003,10/16/2003,230,37,245,37,288,2.8,7,17,NA,NA
Calcutta4,A,2,Calcutta4A2,ratoon,2/12/2003,7/14/2003,10/16/2003,215,33,161,23,243,1.5,6,19,NA,NA
Calcutta4,A,3,Calcutta4A3,ratoon,2/12/2003,7/22/2003,10/23/2003,223,35,228,32,267,1.2,8,19,NA,NA
Calcutta4,A,4,Calcutta4A4,ratoon,2/12/2003,7/25/2003,10/23/2003,220,38,195,28,243,1.8,8,18,5,94
Calcutta4,A,5,Calcutta4A5,ratoon,2/12/2003,7/17/2003,10/16/2003,230,37,225,30,290,1.8,8,22,8,47
Calcutta4,A,6,Calcutta4A6,ratoon,2/12/2003,7/25/2003,10/23/2003,212,34,205,26,260,1.2,7,13,NA,NA
Calcutta4,B,7,Calcutta4B7,ratoon,2/12/2003,NA,10/23/2003,215,35,145,20,234,1.2,6,18,NA,NA
Calcutta4,B,8,Calcutta4B8,ratoon,2/12/2003,7/25/2003,10/23/2003,240,36,225,33,294,2.5,7,16,NA,NA
Calcutta4,B,9,Calcutta4B9,ratoon,2/12/2003,7/14/2003,10/16/2003,210,33,230,32,288,1.8,7,24,NA,NA
Calcutta4,B,10,Calcutta4B10,ratoon,2/12/2003,7/22/2003,10/23/2003,225,37,225,36,304,1.5,7,18,18,40
Calcutta4,B,11,Calcutta4B11,ratoon,2/12/2003,8/1/2003,10/30/2003,235,36,205,29,243,2,8,18,1,62
Calcutta4,B,12,Calcutta4B12,ratoon,2/12/2003,7/12/2003,10/16/2003,230,39,225,33,304,1.8,6,NA,NA,NA
Calcutta4,C,13,Calcutta4C13,ratoon,2/12/2003,7/22/2003,10/23/2003,250,39,245,35,193,1.5,7,22,NA,NA
Calcutta4,C,14,Calcutta4C14,ratoon,2/12/2003,7/30/2003,10/30/2003,270,41,240,36,250,1.2,7,17,NA,NA
Calcutta4,C,15,Calcutta4C15,ratoon,2/12/2003,7/17/2003,10/16/2003,235,42,195,22,170,1.8,6,22,NA,NA
Calcutta4,C,16,Calcutta4C16,ratoon,2/12/2003,7/21/2003,10/23/2003,233,42,170,25,180,2,8,18,6,53
Calcutta4,C,17,Calcutta4C17,ratoon,2/12/2003,7/30/2003,10/30/2003,220,37,115,18,242,2,7,20,3,15
Calcutta4,C,18,Calcutta4C18,ratoon,2/12/2003,7/28/2003,10/30/2003,235,35,155,23,238,1.3,7,16,NA,NA
Calcutta4,D,19,Calcutta4D19,ratoon,2/12/2003,7/15/2003,10/16/2003,230,40,155,24,290,1.5,6,23,NA,NA
Calcutta4,D,20,Calcutta4D20,ratoon,2/12/2003,7/13/2003,10/16/2003,230,38,185,32,280,2.8,7,18,NA,NA
Calcutta4,D,21,Calcutta4D21,ratoon,2/12/2003,7/17/2003,10/16/2003,210,38,145,23,240,1.8,6,24,NA,NA
Calcutta4,D,22,Calcutta4D22,ratoon,2/12/2003,7/20/2003,NA,210,35,142,25,NA,NA,NA,NA,2,39
Calcutta4,D,23,Calcutta4D23,ratoon,2/12/2003,7/22/2003,10/23/2003,215,34,180,32,196,1.7,6,19,1,25
Calcutta4,D,24,Calcutta4D24,ratoon,2/12/2003,7/22/2003,10/23/2003,205,35,170,27,253,1.8,7,18,NA,NA
FHIA01,A,1,FHIA01A1,ratoon,2/12/2003,5/16/2004,8/18/2004,292,58,164,62,245,12,8,16,NA,NA
FHIA01,A,2,FHIA01A2,ratoon,2/12/2003,3/18/2004,6/16/2004,253,69,159,69,225,8.2,11,18,NA,NA
FHIA01,A,3,FHIA01A3,ratoon,2/12/2003,10/6/2003,1/8/2004,300,NA,166,50,220,24.2,10,16,NA,NA
FHIA01,A,4,FHIA01A4,ratoon,2/12/2003,1/3/2004,4/7/2004,256,53,147,54,230,7.5,7,14,0,72
FHIA01,A,5,FHIA01A5,ratoon,2/12/2003,6/9/2004,9/8/2004,254,58,140,56,200,4,12,16,0,31
FHIA01,A,6,FHIA01A6,ratoon,2/12/2003,11/10/2003,2/11/2004,275,59,162,54,230,12,8,14,NA,NA
FHIA01,B,7,FHIA01B7,ratoon,2/12/2003,12/20/2003,3/24/2004,270,69,190,70,250,16,9,16,NA,NA
FHIA01,B,8,FHIA01B8,ratoon,2/12/2003,12/1/2003,3/3/2004,280,59,125,41,190,8.8,7,14,NA,NA
FHIA01,B,9,FHIA01B9,ratoon,2/12/2003,3/28/2004,7/28/2004,275,55,104,31,220,11.5,7,14,NA,NA
FHIA01,B,10,FHIA01B10,ratoon,2/12/2003,12/3/2003,3/3/2004,236,68,144,52,210,7.4,10,15,0,16
