Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Number of standing leaves (shooting),Height of following sucker (cm) (harvest),Number of standing leaves (harvest),Bunch weight (kg),Number of hands,Number of fruits in the bunch,Weight of fruit (g),Disease development time (growing phase),Youngest leaf spotted (shooting),Youngest leaf spotted (harvest),Leaf emission rate (new leaves/week) (growing phase),Index of non-spotted leaves (shooting)
BurroCemsa,E,1,BurroCemsaE1,ratoon,NA,NA,NA,357,87,150,12,248,6,22,8,112,180,NA,8,4,NA,58.33333333
BurroCemsa,E,2,BurroCemsaE2,ratoon,NA,NA,NA,382,82,260,12,385,5,30,7,104,269.2,NA,11,2,NA,76.92307692
BurroCemsa,E,3,BurroCemsaE3,ratoon,NA,NA,NA,350,80,205,11,335,7,24.5,7,95,245.2,NA,9,4,NA,61.53846154
BurroCemsa,E,4,BurroCemsaE4,ratoon,NA,NA,NA,340,77,217,12,341,6,23,6,84,244.3,NA,9,4,NA,66.66666667
FHIA18,A,1,FHIA18A1,ratoon,NA,NA,NA,322,98,17,16,220,8,33,10,163,190.1,NA,14,NA,NA,100
FHIA18,A,2,FHIA18A2,ratoon,NA,NA,NA,290,87,195,15,270,9,24,10,144,149.3,NA,NA,NA,NA,100
FHIA18,A,3,FHIA18A3,ratoon,NA,NA,NA,345,104,170,16,260,9,28.7,10,171,153.5,NA,16,NA,NA,93.75
FHIA18,A,4,FHIA18A4,ratoon,NA,NA,NA,348,105,202,17,291,10,38,11,183,188,NA,17,NA,NA,100
FHIA18,B,1,FHIA18B1,ratoon,NA,NA,NA,310,88,202,17,305,10,25,10,157,144.5,NA,NA,NA,NA,100
FHIA18,B,2,FHIA18B2,ratoon,NA,NA,NA,300,87,190,13,290,7,20.5,10,156,117.9,NA,NA,NA,NA,100
FHIA18,B,3,FHIA18B3,ratoon,NA,NA,NA,320,97,205,14,295,7,33,11,178,168.5,NA,NA,NA,NA,100
FHIA18,B,4,FHIA18B4,ratoon,NA,NA,NA,350,102,210,18,330,9,33,11,194,155.6,NA,14,NA,NA,86.66666667
FHIA18,C,1,FHIA18C1,ratoon,NA,NA,NA,320,96,145,15,170,9,28.5,11,176,144.9,NA,NA,NA,NA,100
FHIA18,C,2,FHIA18C2,ratoon,NA,NA,NA,315,96,168,15,240,8,30,10,175,154.3,NA,14,NA,NA,100
FHIA18,C,3,FHIA18C3,ratoon,NA,NA,NA,340,79,165,15,340,7,18,7,102,161.7,NA,13,NA,NA,92.30769231
FHIA18,C,4,FHIA18C4,ratoon,NA,NA,NA,335,95,225,16,280,8,30,11,177,151.4,NA,14,NA,NA,92.85714286
FHIA18,D,1,FHIA18D1,ratoon,NA,NA,NA,357,106,185,15,275,9,30,10,176,157.4,NA,16,NA,NA,93.75
FHIA18,D,2,FHIA18D2,ratoon,NA,NA,NA,369,100,210,14,315,7,35,11,185,172.9,NA,15,NA,NA,82.35294118
FHIA18,D,3,FHIA18D3,ratoon,NA,NA,NA,372,104,110,15,180,10,34,10,180,172.2,NA,16,NA,NA,93.75
FHIA18,D,4,FHIA18D4,ratoon,NA,NA,NA,362,101,210,13,300,10,30,10,161,167.7,NA,15,NA,NA,87.5
FHIA18,E,1,FHIA18E1,ratoon,NA,NA,NA,315,82,190,15,295,6,18,9,134,113.4,NA,14,5,NA,86.66666667
FHIA18,E,2,FHIA18E2,ratoon,NA,NA,NA,325,102,180,14,265,7,31,11,188,144.6,NA,15,NA,NA,93.33333333
FHIA18,E,3,FHIA18E3,ratoon,NA,NA,NA,325,100,185,14,270,8,29,10,177,146.9,NA,NA,NA,NA,100
FHIA18,E,4,FHIA18E4,ratoon,NA,NA,NA,320,97,170,14,260,6,29,10,168,155.9,NA,17,NA,NA,100
PV42320,A,1,PV42320A1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV42320,A,2,PV42320A2,ratoon,NA,NA,NA,420,88,180,14,365,9,26,8,127,181.1,NA,13,NA,NA,85.71428571
PV42320,A,3,PV42320A3,ratoon,NA,NA,NA,410,85,190,15,325,9,31,8,121,231.4,NA,14,6,NA,92.85714286
PV42320,A,4,PV42320A4,ratoon,NA,NA,NA,450,NA,150,15,330,7,32,8,129,218.6,NA,14,NA,NA,92.85714286
PV42320,B,1,PV42320B1,ratoon,NA,NA,NA,402,93,240,13,405,4,24,8,127,171.6,NA,12,NA,NA,110
PV42320,B,2,PV42320B2,ratoon,NA,NA,NA,340,76,135,13,300,7,20,7,94,196.8,NA,12,NA,NA,100
PV42320,B,3,PV42320B3,ratoon,NA,NA,NA,365,83,215,14,380,8,24,8,120,175.8,NA,NA,NA,NA,100
PV42320,B,4,PV42320B4,ratoon,NA,NA,NA,383,89,180,14,340,5,29,9,132,204.5,NA,12,NA,NA,91.66666667
PV42320,C,1,PV42320C1,ratoon,NA,NA,NA,412,91,203,16,375,6,31,8,130,215,NA,15,NA,NA,100
PV42320,C,2,PV42320C2,ratoon,NA,NA,NA,412,89,195,13,400,7,28,7,109,229.4,NA,NA,NA,NA,100
PV42320,C,3,PV42320C3,ratoon,NA,NA,NA,480,NA,285,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
PV42320,C,4,PV42320C4,ratoon,NA,NA,NA,408,92,215,14,380,6,34,8,130,234.6,NA,14,NA,NA,100
PV42320,D,1,PV42320D1,ratoon,NA,NA,NA,427,84,150,15,339,8,25,8,126,181.9,NA,13,NA,NA,75
PV42320,D,2,PV42320D2,ratoon,NA,NA,NA,435,89,205,16,380,8,26,7,108,219.4,NA,14,NA,NA,76.47058824
PV42320,D,3,PV42320D3,ratoon,NA,NA,NA,455,103,215,12,390,7,30,8,137,188.3,NA,12,NA,NA,78.57142857
PV42320,D,4,PV42320D4,ratoon,NA,NA,NA,405,86,220,14,350,7,25,8,122,182,NA,15,NA,NA,82.35294118
PV42320,E,1,PV42320E1,ratoon,NA,NA,NA,412,NA,260,14,NA,NA,NA,10,162,NA,NA,NA,NA,NA,100
PV42320,E,2,PV42320E2,ratoon,NA,NA,NA,382,NA,165,12,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,92.30769231
PV42320,E,3,PV42320E3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV42320,E,4,PV42320E4,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3640,A,1,SH3640A1,ratoon,NA,NA,NA,310,87,135,10,195,4,21,9,123,154.5,NA,8,1,NA,63.63636364
SH3640,A,2,SH3640A2,ratoon,NA,NA,NA,325,95,112,12,190,4,26,10,136,179,NA,8,1,NA,58.33333333
SH3640,A,3,SH3640A3,ratoon,NA,NA,NA,315,95,135,10,220,3,28,9,133,195.4,NA,7,1,NA,54.54545455
SH3640,A,4,SH3640A4,ratoon,NA,NA,NA,300,88,35,11,75,2,NA,NA,NA,NA,NA,6,1,NA,45.45454545
SH3640,B,1,SH3640B1,ratoon,NA,NA,NA,275,83,50,9,63,3,23,8,111,191.2,NA,6,1,NA,50
SH3640,B,2,SH3640B2,ratoon,NA,NA,NA,300,96,125,10,90,4,23,9,124,169.4,NA,7,1,NA,54.54545455
SH3640,B,3,SH3640B3,ratoon,NA,NA,NA,280,83,125,10,185,4,17.5,8,106,154.7,NA,7,1,NA,54.54545455
SH3640,B,4,SH3640B4,ratoon,NA,NA,NA,310,101,115,11,160,5,25,9,128,175.7,NA,8,2,NA,58.33333333
SH3640,C,1,SH3640C1,ratoon,NA,NA,NA,330,103,155,10,210,4,29,10,144,181.9,NA,6,1,NA,41.66666667
SH3640,C,2,SH3640C2,ratoon,NA,NA,NA,320,102,125,11,212,2,32,10,147,192.5,NA,7,1,NA,46.15384615
SH3640,C,3,SH3640C3,ratoon,NA,NA,NA,305,NA,150,9,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,50
SH3640,C,4,SH3640C4,ratoon,NA,NA,NA,330,102,135,11,245,2,31.6,9,141,201.4,NA,7,1,NA,50
SH3640,D,1,SH3640D1,ratoon,NA,NA,NA,305,80,115,10,165,4,21.5,8,108,183.3,NA,7,1,NA,50
SH3640,D,2,SH3640D2,ratoon,NA,NA,NA,312,94,160,11,225,4,28,10,145,177.9,NA,7,1,NA,50
SH3640,D,3,SH3640D3,ratoon,NA,NA,NA,305,90,180,10,245,5,26,9,138,172.5,NA,7,1,NA,54.54545455
SH3640,D,4,SH3640D4,ratoon,NA,NA,NA,330,100,120,10,205,4,35,9,136,236,NA,8,1,NA,58.33333333
SH3640,E,1,SH3640E1,ratoon,NA,NA,NA,320,96,130,9,240,2,25,10,134,175.3,NA,7,1,NA,54.54545455
SH3640,E,2,SH3640E2,ratoon,NA,NA,NA,320,97,145,NA,203,3,29,9,132,200.7,NA,6,1,NA,41.66666667
SH3640,E,3,SH3640E3,ratoon,NA,NA,NA,300,94,160,10,236,3,25,9,142,161.8,NA,7,1,NA,54.54545455
SH3640,E,4,SH3640E4,ratoon,NA,NA,NA,300,90,150,9,220,3,26,10,132,183.3,NA,7,1,NA,54.54545455
TMBx52951,A,1,TMBx52951A1,ratoon,NA,NA,NA,365,88,215,10,300,4,27,8,120,243,NA,10,2,NA,81.81818182
TMBx52951,A,2,TMBx52951A2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMBx52951,A,3,TMBx52951A3,ratoon,NA,NA,NA,365,NA,170,10,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,80
TMBx52951,A,4,TMBx52951A4,ratoon,NA,NA,NA,345,83,135,11,240,4,27,8,114,221,NA,10,2,NA,81.81818182
TMBx52951,B,1,TMBx52951B1,ratoon,NA,NA,NA,332,81,110,10,205,5,23,8,113,189.3,NA,9,3,NA,80
TMBx52951,B,2,TMBx52951B2,ratoon,NA,NA,NA,345,82,155,10,235,6,25,8,126,182.6,NA,10,4,NA,81.81818182
TMBx52951,B,3,TMBx52951B3,ratoon,NA,NA,NA,350,NA,165,11,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,81.81818182
TMBx52951,B,4,TMBx52951B4,ratoon,NA,NA,NA,325,NA,100,10,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,90
TMBx52951,C,1,TMBx52951C1,ratoon,NA,NA,NA,358,85,200,10,311,3,30,8,120,231.6,NA,9,2,NA,72.72727273
TMBx52951,C,2,TMBx52951C2,ratoon,NA,NA,NA,360,NA,145,10,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,81.81818182
TMBx52951,C,3,TMBx52951C3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMBx52951,C,4,TMBx52951C4,ratoon,NA,NA,NA,370,83,150,10,260,4,29,8,109,254.1,NA,10,3,NA,81.81818182
TMBx52951,D,1,TMBx52951D1,ratoon,NA,NA,NA,362,89,10,10,244,8,29,9,125,222.4,NA,9,1,NA,80
TMBx52951,D,2,TMBx52951D2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMBx52951,D,3,TMBx52951D3,ratoon,NA,NA,NA,357,89,180,10,270,5,24,8,115,194,NA,10,3,NA,90
TMBx52951,D,4,TMBx52951D4,ratoon,NA,NA,NA,355,86,NA,9,263,4,24,7,102,220.3,NA,9,1,NA,80
TMBx52951,E,1,TMBx52951E1,ratoon,NA,NA,NA,350,89,195,10,275,2,29,8,114,233.3,NA,9,1,NA,66.66666667
TMBx52951,E,2,TMBx52951E2,ratoon,NA,NA,NA,340,82,145,10,250,4,25,8,117,200.5,NA,9,2,NA,72.72727273
TMBx52951,E,3,TMBx52951E3,ratoon,NA,NA,NA,356,85,180,9,275,5,26,8,118,203.3,NA,8,4,NA,70
TMBx52951,E,4,TMBx52951E4,ratoon,NA,NA,NA,348,83,210,10,285,3,28,9,130,196.9,NA,10,2,NA,81.81818182
TMBx1378,A,1,TMBx1378A1,ratoon,NA,NA,NA,385,117,335,14,445,7,33,13,226,126.5,NA,NA,NA,NA,100
TMBx1378,A,2,TMBx1378A2,ratoon,NA,NA,NA,420,NA,370,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
TMBx1378,A,3,TMBx1378A3,ratoon,NA,NA,NA,382,102,340,15,426,9,28,12,204,123.5,NA,NA,NA,NA,100
TMBx1378,A,4,TMBx1378A4,ratoon,NA,NA,NA,367,95,290,13,400,9,24.5,12,216,102.3,NA,NA,NA,NA,100
TMBx1378,B,1,TMBx1378B1,ratoon,NA,NA,NA,410,NA,390,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
TMBx1378,B,2,TMBx1378B2,ratoon,NA,NA,NA,400,NA,335,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
TMBx1378,B,3,TMBx1378B3,ratoon,NA,NA,NA,415,NA,400,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
TMBx1378,B,4,TMBx1378B4,ratoon,NA,NA,NA,390,NA,370,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
TMBx1378,C,1,TMBx1378C1,ratoon,NA,NA,NA,337,NA,155,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
TMBx1378,C,2,TMBx1378C2,ratoon,NA,NA,NA,365,NA,405,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
TMBx1378,C,3,TMBx1378C3,ratoon,NA,NA,NA,410,NA,370,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
TMBx1378,C,4,TMBx1378C4,ratoon,NA,NA,NA,340,88,210,13,350,9,21,8,108,183.3,NA,NA,NA,NA,100
TMBx1378,D,1,TMBx1378D1,ratoon,NA,NA,NA,370,NA,370,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
TMBx1378,D,2,TMBx1378D2,ratoon,NA,NA,NA,410,NA,405,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
TMBx1378,D,3,TMBx1378D3,ratoon,NA,NA,NA,390,NA,290,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
TMBx1378,D,4,TMBx1378D4,ratoon,NA,NA,NA,395,NA,130,10,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,80
TMBx1378,E,1,TMBx1378E1,ratoon,NA,NA,NA,392,108,260,11,440,8,25.5,12,225,97.7,NA,NA,NA,NA,100
TMBx1378,E,2,TMBx1378E2,ratoon,NA,NA,NA,380,103,345,14,450,13,29,11,205,NA,NA,NA,NA,NA,100
TMBx1378,E,3,TMBx1378E3,ratoon,NA,NA,NA,395,NA,345,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
TMBx1378,E,4,TMBx1378E4,ratoon,NA,NA,NA,375,106,320,11,415,8,32.5,12,200,140.5,NA,NA,NA,NA,100
GCTCV215,A,1,GCTCV215A1,ratoon,NA,NA,NA,230,NA,106,10,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,63.63636364
GCTCV215,A,2,GCTCV215A2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,A,3,GCTCV215A3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,A,4,GCTCV215A4,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,B,1,GCTCV215B1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,B,2,GCTCV215B2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,B,3,GCTCV215B3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,B,4,GCTCV215B4,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,C,1,GCTCV215C1,ratoon,NA,NA,NA,245,58,105,6,165,0,10,8,103,82.7,NA,4,1,NA,42.85714286
GCTCV215,C,2,GCTCV215C2,ratoon,NA,NA,NA,265,70,145,6,205,0,11,8,126,79.4,NA,5,NA,NA,50
GCTCV215,C,3,GCTCV215C3,ratoon,NA,NA,NA,250,71,135,6,205,0,11,8,112,84.8,NA,4,NA,NA,37.5
GCTCV215,C,4,GCTCV215C4,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,D,1,GCTCV215D1,ratoon,NA,NA,NA,255,NA,120,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,50
GCTCV215,D,2,GCTCV215D2,ratoon,NA,NA,NA,245,NA,145,5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,42.85714286
GCTCV215,D,3,GCTCV215D3,ratoon,NA,NA,NA,265,NA,74,6,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,37.5
GCTCV215,D,4,GCTCV215D4,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,E,1,GCTCV215E1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,E,2,GCTCV215E2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,E,3,GCTCV215E3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,E,4,GCTCV215E4,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRBP39,A,1,CRBP39A1,ratoon,NA,NA,NA,332,89,335,12,275,7,20,7,107,177.6,NA,NA,NA,NA,100
CRBP39,A,2,CRBP39A2,ratoon,NA,NA,NA,315,72,164,12,285,4,20,7,86,218.7,NA,12,NA,NA,100
CRBP39,A,3,CRBP39A3,ratoon,NA,NA,NA,360,87,90,12,225,3,22,7,109,179.3,NA,NA,NA,NA,100
CRBP39,A,4,CRBP39A4,ratoon,NA,NA,NA,365,75,190,11,260,5,20,8,111,169.8,NA,NA,NA,NA,100
CRBP39,B,1,CRBP39B1,ratoon,NA,NA,NA,335,78,150,10,225,5,19,8,112,159.8,NA,NA,NA,NA,100
CRBP39,B,2,CRBP39B2,ratoon,NA,NA,NA,330,84,140,13,240,NA,21,8,117,167.5,NA,NA,NA,NA,100
CRBP39,B,3,CRBP39B3,ratoon,NA,NA,NA,330,NA,240,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
CRBP39,B,4,CRBP39B4,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRBP39,C,1,CRBP39C1,ratoon,NA,NA,NA,367,88,210,13,320,4,30,9,138,195.6,NA,NA,NA,NA,100
CRBP39,C,2,CRBP39C2,ratoon,NA,NA,NA,362,76,205,14,270,6,18.5,6,86,NA,NA,NA,NA,NA,100
CRBP39,C,3,CRBP39C3,ratoon,NA,NA,NA,365,92,155,11,285,5,26.5,8,124,199.1,NA,NA,NA,NA,100
CRBP39,C,4,CRBP39C4,ratoon,NA,NA,NA,335,82,170,11,240,5,27,8,125,192,NA,NA,NA,NA,100
CRBP39,D,1,CRBP39D1,ratoon,NA,NA,NA,375,NA,240,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
CRBP39,D,2,CRBP39D2,ratoon,NA,NA,NA,380,85,190,11,295,5,27,8,123,207.3,NA,NA,NA,NA,100
CRBP39,D,3,CRBP39D3,ratoon,NA,NA,NA,380,91,245,14,334,6,24,7,109,199.1,NA,NA,NA,NA,100
CRBP39,D,4,CRBP39D4,ratoon,NA,NA,NA,372,NA,260,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
CRBP39,E,1,CRBP39E1,ratoon,NA,NA,NA,300,NA,165,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
CRBP39,E,2,CRBP39E2,ratoon,NA,NA,NA,325,86,180,12,270,5,19.5,8,132,138.6,NA,NA,NA,NA,100
CRBP39,E,3,CRBP39E3,ratoon,NA,NA,NA,270,NA,135,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
CRBP39,E,4,CRBP39E4,ratoon,NA,NA,NA,330,NA,175,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
NyarmaYik,A,1,NyarmaYikA1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NyarmaYik,A,2,NyarmaYikA2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NyarmaYik,A,3,NyarmaYikA3,ratoon,NA,NA,NA,265,NA,60,9,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,70
NyarmaYik,A,4,NyarmaYikA4,ratoon,NA,NA,NA,290,69,70,9,116,5,4,6,70,53.1,NA,6,1,NA,50
NyarmaYik,B,1,NyarmaYikB1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NyarmaYik,B,2,NyarmaYikB2,ratoon,NA,NA,NA,376,67,45,9,65,7,6.5,7,94,62.8,NA,6,4,NA,50
NyarmaYik,B,3,NyarmaYikB3,ratoon,NA,NA,NA,376,NA,53,7,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,62.5
NyarmaYik,B,4,NyarmaYikB4,ratoon,NA,NA,NA,376,63,75,8,120,6,6,7,86,64,NA,5,3,NA,44.44444444
NyarmaYik,C,1,NyarmaYikC1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NyarmaYik,C,2,NyarmaYikC2,ratoon,NA,NA,NA,266,NA,40,6,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,25
NyarmaYik,C,3,NyarmaYikC3,ratoon,NA,NA,NA,280,50,50,7,60,6,4,6,70,50,NA,6,2,NA,62.5
NyarmaYik,C,4,NyarmaYikC4,ratoon,NA,NA,NA,265,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,62.5
NyarmaYik,D,1,NyarmaYikD1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NyarmaYik,D,2,NyarmaYikD2,ratoon,NA,NA,NA,282,60,NA,6,35,6,3,6,68,39.7,NA,4,2,NA,42.85714286
NyarmaYik,D,3,NyarmaYikD3,ratoon,NA,NA,NA,290,61,55,6,45,5,4.5,6,73,54.8,NA,3,3,NA,28.57142857
NyarmaYik,D,4,NyarmaYikD4,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NyarmaYik,E,1,NyarmaYikE1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NyarmaYik,E,2,NyarmaYikE2,ratoon,NA,NA,NA,270,68,40,8,39,6,6.5,7,82,74.4,NA,6,1,NA,50
NyarmaYik,E,3,NyarmaYikE3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NyarmaYik,E,4,NyarmaYikE4,ratoon,NA,NA,NA,280,NA,50,9,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,66.66666667
FrenchSombre,A,1,FrenchSombreA1,ratoon,NA,NA,NA,315,63,NA,7,50,1,12.5,6,66,177.2,NA,5,1,NA,57.14285714
FrenchSombre,A,2,FrenchSombreA2,ratoon,NA,NA,NA,296,NA,140,8,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,75
FrenchSombre,A,3,FrenchSombreA3,ratoon,NA,NA,NA,345,NA,100,9,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,66.66666667
FrenchSombre,A,4,FrenchSombreA4,ratoon,NA,NA,NA,345,72,200,6,240,3,14,7,80,162.5,NA,6,2,NA,62.5
FrenchSombre,B,1,FrenchSombreB1,ratoon,NA,NA,NA,285,NA,110,8,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,66.66666667
FrenchSombre,B,2,FrenchSombreB2,ratoon,NA,NA,NA,335,NA,133,7,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,62.5
