Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Number of standing leaves (shooting),Height of following sucker (cm) (harvest),Number of standing leaves (harvest),Bunch weight (kg),Number of hands,Number of fruits in the bunch,Weight of fruit (g),Disease development time (growing phase),Youngest leaf spotted (shooting),Youngest leaf spotted (harvest),Leaf emission rate (new leaves/week) (growing phase),Index of non-spotted leaves (shooting)
BurroCemsa,A,1,BurroCemsaA1,ratoon,NA,NA,NA,354,78,249,12,355,5,29,10,143,189.5,NA,8,2,NA,58.33333333
BurroCemsa,A,2,BurroCemsaA2,ratoon,NA,NA,NA,320,69,190,10,230,5,16,6,74,209.4,NA,9,3,NA,72.72727273
BurroCemsa,A,3,BurroCemsaA3,ratoon,NA,NA,NA,337,71,275,13,380,6,22,8,114,177.2,NA,11,2,NA,71.42857143
BurroCemsa,A,4,BurroCemsaA4,ratoon,NA,NA,NA,340,76,133,11,250,6,23,7,98,224.5,NA,8,3,NA,58.33333333
BurroCemsa,B,1,BurroCemsaB1,ratoon,NA,NA,NA,372,78,180,13,290,6,26,7,96,245.8,NA,10,1,NA,69.23076923
BurroCemsa,B,2,BurroCemsaB2,ratoon,NA,NA,NA,350,75,200,12,310,6,20,6,81,234.5,NA,10,4,NA,75
BurroCemsa,B,3,BurroCemsaB3,ratoon,NA,NA,NA,360,NA,260,12,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,61.53846154
BurroCemsa,B,4,BurroCemsaB4,ratoon,NA,NA,NA,330,75,100,12,205,5,26.5,7,88,271.6,NA,9,1,NA,66.66666667
BurroCemsa,C,1,BurroCemsaC1,ratoon,NA,NA,NA,367,74,220,13,310,7,26,10,138,203.6,NA,11,3,NA,66.66666667
BurroCemsa,C,2,BurroCemsaC2,ratoon,NA,NA,NA,360,80,245,13,305,7,30,10,138,203.6,NA,10,2,NA,69.23076923
BurroCemsa,C,3,BurroCemsaC3,ratoon,NA,NA,NA,353,81,210,13,390,5,31,9,136,211.7,NA,11,2,NA,76.92307692
BurroCemsa,C,4,BurroCemsaC4,ratoon,NA,NA,NA,362,86,230,14,400,6,35,10,147,224.5,NA,11,2,NA,66.66666667
BurroCemsa,D,1,BurroCemsaD1,ratoon,NA,NA,NA,380,84,285,13,395,5,37.5,10,146,236.3,NA,10,2,NA,69.23076923
BurroCemsa,D,2,BurroCemsaD2,ratoon,NA,NA,NA,340,75,225,15,350,5,29,9,112,242.8,NA,12,1,NA,73.33333333
BurroCemsa,D,3,BurroCemsaD3,ratoon,NA,NA,NA,335,72,112,12,204,8,18,6,71,223,NA,10,3,NA,69.23076923
BurroCemsa,D,4,BurroCemsaD4,ratoon,NA,NA,NA,402,83,85,14,128,7,30,11,144,188.3,NA,12,5,NA,73.33333333
