Cultivar,Block,Plant,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Weight of fruit (g),Weight of fruit (g),Average weight of fruit (g),Fruit length (cm),Fruit length (cm),Average fruit length (cm),Fruit diameter (cm),Fruit diameter (cm),Average fruit diameter (cm),Number of functional leaves (shooting),Number of functional leaves (harvest),Distance of vascular discolouration in the pseudostem (cm) (harvest),Distance of vascular discolouration in the pseudostem of the following sucker (cm) (harvest of the mother plant),"Scale of vascular discolouration in the corm of the following sucker, slice 1","Scale of vascular discolouration in the corm of the following sucker, slice 2","Scale of vascular discolouration in the corm of the following sucker, slice 3","Scale of vascular discolouration in the corm of the following sucker, slice 4","Scale of vascular discolouration in the corm of the following sucker, slice 5"
YangambiKm5,2,29,8/22/2002,8/31/2004,11/12/2004,350,60,102,2,4,69,37.7,NA,NA,37.7,NA,NA,NA,10.63,NA,NA,8,4,0,0,1,1,1,1,1
YangambiKm5,3,56,8/22/2002,9/8/2004,12/9/2004,386,57.5,301,4.6,7,133,27.1,NA,NA,27.1,NA,NA,NA,10.64,NA,NA,10,3,0,0,1,1,1,1,1
YangambiKm5,4,91,8/22/2002,10/12/2004,1/12/2005,416,66.5,392,7.4,8,161,37.3,NA,NA,37.3,NA,NA,NA,10.65,NA,NA,8,3,0,0,1,1,1,1,1
YangambiKm5,5,101,8/22/2002,10/12/2004,1/12/2005,417,56,228,3.6,5,85,28.2,NA,NA,28.2,NA,NA,NA,10.66,NA,NA,7,4,0,0,1,1,1,1,1
YangambiKm5,6,186,8/22/2002,9/8/2004,12/9/2004,426,67,363,7.8,8,167,38.3,NA,NA,38.3,NA,NA,NA,10.67,NA,NA,11,4,0,0,1,1,1,1,1
YangambiKm5,7,218,8/22/2002,5/30/2005,7/5/2005,389,52,313,3,6,105,21,NA,NA,21,NA,NA,NA,10.68,NA,NA,8,4,0,0,1,1,1,1,1
YangambiKm5,8,267,8/22/2002,5/18/2004,8/18/2004,364,62,365,5.6,6,109,40.4,NA,NA,40.4,NA,NA,NA,10.69,NA,NA,8,6,0,0,1,1,1,1,1
YangambiKm5,9,337,8/22/2002,6/10/2005,8/10/2005,331,56,296,1.6,7,72,13.9,NA,NA,13.9,NA,NA,NA,10.70,NA,NA,8,4,0,0,1,1,1,1,1
YangambiKm5,10,348,8/22/2002,6/3/2004,9/14/2004,409,71,374,9.2,9,184,39.1,NA,NA,39.1,NA,NA,NA,10.71,NA,NA,11,4,0,0,1,1,1,1,1
FHIA17,1,44,8/22/2002,7/2/2004,10/13/2004,352,60,132,20,13,215,81.9,NA,NA,81.9,NA,NA,NA,10.72,NA,NA,12,4,0,0,1,1,1,1,1
FHIA17,2,47,8/22/2002,5/3/2004,NA,315,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.73,NA,NA,12,4,0,0,1,1,1,1,1
FHIA17,3,86,8/22/2002,7/30/2003,9/25/2003,300,66,192,19.8,11,176,90.9,108.8,99.1,99.6,17.5,16.7,17.1,10.74,11.5,11.55,13,8,0,0,1,1,1,1,1
FHIA17,4,121,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.75,NA,NA,NA,NA,135,NA,1,1,1,1,1
FHIA17,5,134,8/22/2002,9/4/2003,11/11/2003,295,70.5,140,27.4,12,184,131.5,144.7,122.3,132.833333333333,20.2,17.9,19.05,10.76,12.4,12.45,13,4,0,230,3,3,4,4,5
FHIA17,6,141,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.77,NA,NA,NA,NA,300,NA,1,1,1,1,1
FHIA17,7,152,8/22/2002,9/12/2003,12/15/2003,314,72,182,33,12,206,139.8,148.1,131.2,139.7,19.5,17.9,18.7,10.78,12.6,12.65,11,6,0,0,1,1,1,1,1
FHIA17,8,173,8/22/2002,7/30/2003,10/30/2003,322,66,184,32.4,11,170,167.1,184.9,135.4,162.466666666667,21.3,18.2,19.75,10.79,12.8,13.2,14,3,0,250,3,3,4,4,5
FHIA17,9,185,8/22/2002,8/13/2003,11/21/2003,296,69,233,34.4,11,157,196.2,211.6,162,189.933333333333,21.9,19,20.45,10.80,13.4,13.7,10,5,0,0,1,1,1,1,1
FHIA17,10,193,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.81,NA,NA,NA,NA,268,0,1,1,1,1,1
FHIA17,11,202,8/22/2002,7/30/2003,10/10/2003,290,64,203,26.8,11,181,127.1,154.6,114.5,132.066666666667,19.9,19.2,19.55,10.82,12.1,12.35,16,5,0,0,1,1,1,1,1
FHIA17,12,230,8/22/2002,8/13/2003,11/11/2003,303,76,143,34.8,12,187,163.6,199.3,144.7,169.2,21.9,18.8,20.35,10.83,12.8,13.2,14,6,0,0,1,1,1,1,1
FHIA17,13,238,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.84,NA,NA,NA,NA,125,NA,1,1,1,1,1
FHIA17,14,263,8/22/2002,10/16/2003,1/12/2004,340,80,125,27.2,12,185,133,149.3,117.4,133.233333333333,19.5,17.1,18.3,10.85,12.6,12.75,12,7,0,0,1,1,1,1,1
FHIA17,15,276,8/22/2002,7/30/2003,10/16/2003,305,55,200,32.2,11,178,160.7,182.1,143.6,162.133333333333,21.1,19.3,20.2,10.86,12.8,13.05,15,2,0,0,1,1,1,1,1
FHIA17,16,292,8/22/2002,8/13/2003,10/30/2003,300,67,287,31,10,160,171.2,165,128,154.733333333333,21.4,18.3,19.85,10.87,12.5,12.95,10,8,0,0,1,1,1,1,1
FHIA17,17,299,8/22/2002,8/13/2003,10/30/2003,320,71,200,35,11,179,175.4,178.4,145.6,166.466666666667,20.7,18.8,19.75,10.88,13.1,13.3,12,7,0,0,1,1,1,1,1
FHIA17,18,335,8/22/2002,8/13/2003,11/11/2003,300,66,230,36.2,12,178,182.6,215,149.2,182.266666666667,21.5,18.7,20.1,10.89,13.1,13.8,14,4,0,0,1,1,1,1,1
FHIA17,19,384,8/22/2002,6/5/2003,8/20/2003,269,72,186,31.2,10,164,167.1,172.1,132.7,157.3,20.6,17.4,19,10.90,12.7,13,13,10,0,0,1,1,1,1,1
FHIA17,20,391,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.91,NA,NA,NA,NA,250,NA,1,1,1,1,1
FHIA23,1,13,8/22/2002,NA,NA,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.92,NA,NA,NA,NA,0,0,1,1,1,1,1
FHIA23,2,17,8/22/2002,1/6/2004,3/31/2004,285,73,40,26.8,13,199,NA,116.7,116.1,116.4,17.9,17.6,17.75,10.93,9.1,10,5,5,0,0,1,1,1,1,1
FHIA23,3,21,8/22/2002,10/8/2003,11/28/2003,257,59.5,163,10,12,170,48.2,48.9,49.5,48.8666666666667,13,12.2,12.6,10.94,9.4,9.2,9,4,0,0,1,1,1,1,1
FHIA23,4,42,8/22/2002,11/11/2003,1/30/2004,285,77,150,24.4,15,255,83.9,95,79.6,86.1666666666667,16.2,14.9,15.55,10.95,10.4,10.6,10,5,0,0,1,1,1,1,1
FHIA23,5,87,8/22/2002,2/17/2004,NA,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.96,NA,NA,NA,NA,0,0,1,1,1,1,1
FHIA23,6,98,8/22/2002,10/16/2003,1/21/2004,286,73.6,53,20,14,230,73.9,89.9,79.6,81.1333333333333,15.2,14.6,14.9,10.97,10.7,10.95,9,3,0,0,1,1,1,1,1
FHIA23,7,110,8/22/2002,11/6/2003,1/30/2004,297,72,202,17.6,12,249,43.6,71.9,53.9,56.4666666666667,14.5,12.9,13.7,10.98,9.4,9.7,8,3,0,0,1,1,1,1,1
FHIA23,8,124,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.99,NA,NA,NA,NA,NA,NA,1,1,1,1,1
FHIA23,9,172,8/22/2002,10/30/2003,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.100,NA,NA,9,NA,0,0,1,1,1,1,1
FHIA23,10,182,8/22/2002,10/16/2003,1/12/2004,314,78.5,72,20.6,16,289,63,62.4,60.6,62,14.7,13.9,14.3,10.101,9.6,9.45,10,4,0,0,1,1,1,1,1
FHIA23,11,196,8/22/2002,9/30/2003,11/21/2003,290,80,215,22.4,14,241,80.5,94.3,72.1,82.3,16.6,14.6,15.6,10.102,10,10.25,9,4,0,0,1,1,1,1,1
FHIA23,12,216,8/22/2002,1/6/2004,3/31/2004,300,79,64,25.4,12,197,114.7,103.6,102.7,107,17.2,16.6,16.9,10.103,11.7,11.45,10,5,0,0,1,1,1,1,1
FHIA23,13,255,8/22/2002,9/24/2003,NA,293,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.104,NA,NA,11,NA,0,0,1,1,1,1,1
FHIA23,14,273,8/22/2002,7/30/2003,10/30/2003,296,72,163,24.8,12,199,110.6,113.2,112.6,112.133333333333,17.3,16.4,16.85,10.105,11.3,11.2,12,5,0,0,1,1,1,1,1
FHIA23,15,281,8/22/2002,11/6/2003,NA,282,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.106,NA,NA,NA,NA,0,0,1,1,1,1,1
FHIA23,16,330,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.107,NA,NA,NA,NA,380,NA,1,1,1,1,1
FHIA23,17,355,8/22/2002,9/12/2003,11/28/2003,275,74,162,21.2,15,272,65.4,69.4,74.2,69.6666666666667,14.7,14.2,14.45,10.108,10.1,9.9,12,5,0,0,1,1,1,1,1
FHIA23,18,363,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.109,NA,NA,NA,NA,245,NA,1,1,1,1,1
FHIA23,19,369,8/22/2002,9/12/2003,11/28/2003,265,72,66,16,13,216,64.8,86.8,41.1,64.2333333333333,16.2,11.4,13.8,10.110,8.6,9.55,10,3,450,0,1,1,1,1,1
FHIA23,20,374,8/22/2002,7/24/2003,10/30/2003,367,74,230,16.2,13,214,67.3,89.4,80.6,79.1,15.8,15.8,15.8,10.111,10.3,10.55,12,1,0,0,1,1,1,1,1
SH34369,1,8,8/22/2002,9/29/2004,11/12/2004,326,74,108,16,9,160,83.8,NA,NA,83.8,NA,NA,NA,10.112,NA,NA,9,4,0,NA,1,1,1,1,1
SH34369,2,11,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.113,NA,NA,NA,NA,0,NA,1,1,1,1,1
SH34369,3,26,8/22/2002,11/17/2004,2/8/2005,342,78.7,71,12.8,7,113,95.6,NA,NA,95.6,NA,NA,NA,10.114,NA,NA,8,4,0,0,1,1,1,1,1
SH34369,4,28,8/22/2002,7/14/2004,10/13/2004,236,45,NA,24.2,8,128,173.4,NA,NA,173.4,NA,NA,NA,10.115,NA,NA,10,4,0,NA,1,1,1,1,1
SH34369,5,43,8/22/2002,7/14/2004,9/30/2004,308,82,NA,13.6,9,150,77.3,NA,NA,77.3,NA,NA,NA,10.116,NA,NA,10,6,0,NA,1,1,1,1,1
SH34369,6,50,8/22/2002,8/17/2004,11/9/2004,318,80,55,13.8,8,131,91.6,NA,NA,91.6,NA,NA,NA,10.117,NA,NA,8,5,0,0,1,1,1,1,1
SH34369,7,62,8/22/2002,5/3/2004,7/2/2004,418,74,83,11.2,8,136,69.1,NA,NA,69.1,NA,NA,NA,10.118,NA,NA,10,6,0,0,1,1,1,1,1
SH34369,8,89,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.119,NA,NA,NA,NA,NA,0,1,1,1,1,1
SH34369,9,125,8/22/2002,12/22/2003,3/31/2004,300,66,190,19.2,8,125,134.4,157.7,87.2,126.433333333333,18.2,13.9,16.05,10.120,11.8,13,8,3,0,0,1,1,1,1,1
SH34369,10,177,8/22/2002,12/11/2003,3/18/2004,300,70.5,270,16.3,8,139,102.9,110,96.8,103.233333333333,17.8,17.1,17.45,10.121,10.9,11.1,7,1,0,0,1,1,1,1,1
SH34369,11,180,8/22/2002,12/4/2003,2/18/2004,300,73.5,230,20.4,8,107,179.4,151.1,123.8,151.433333333333,20.4,19.9,20.15,10.122,11.8,12.05,10,8,0,0,1,1,1,1,1
SH34369,12,199,8/22/2002,8/6/2003,10/30/2003,310,87,154,27.6,9,171,140.4,155,101,132.133333333333,21.6,18.2,19.9,10.123,10.8,11.3,12,3,0,0,1,1,1,1,1
SH34369,13,225,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.124,NA,NA,NA,NA,NA,0,1,1,1,1,1
SH34369,14,229,8/22/2002,5/18/2004,7/28/2004,336,77,40,14.8,8,132,95.4,NA,NA,95.4,NA,NA,NA,10.125,NA,NA,9,6,0,0,1,1,1,1,1
SH34369,15,287,8/22/2002,10/8/2003,NA,375,NA,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.126,NA,NA,9,NA,0,0,1,1,1,1,1
SH34369,16,307,8/22/2002,11/6/2003,2/18/2004,325,75,240,27,11,195,123.1,144.5,105.2,124.266666666667,16.7,14.7,15.7,10.127,12.7,13.2,9,4,0,0,1,1,1,1,1
SH34369,17,315,8/22/2002,1/12/2004,3/31/2004,340,78.2,227,22.6,11,197,97.5,112.3,78.5,96.1,16.7,14.4,15.55,10.128,11.1,11.7,8,5,0,0,1,1,1,1,1
SH34369,18,317,8/22/2002,11/9/2004,1/27/2005,290,78,70,10.2,7,113,77.9,NA,NA,77.9,NA,NA,NA,10.129,NA,NA,8,5,0,0,1,1,1,1,1
SH34369,19,360,8/22/2002,12/22/2003,3/2/2004,290,74,120,21,11,189,96.3,115.7,82.1,98.0333333333333,16.8,14,15.4,10.130,11,11.4,9,4,0,0,1,1,1,1,1
SH34369,20,383,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.131,NA,NA,NA,NA,350,0,1,1,1,1,1
BITA2,1,4,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.132,NA,NA,NA,NA,NA,NA,1,1,1,1,1
BITA2,2,23,8/22/2002,7/30/2003,10/30/2003,360,78,342,19.2,10,155,95.5,109.8,80.1,95.1333333333333,13.2,11.3,12.25,10.133,13,13.5,13,8,0,0,1,1,1,1,1
BITA2,3,34,8/22/2002,8/13/2003,10/30/2003,317,62,133,17.4,8,114,140.4,184.8,118.6,147.933333333333,23.8,19.6,21.7,10.134,11.7,12.2,10,2,0,0,1,1,1,1,1
BITA2,4,40,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.135,NA,NA,NA,NA,NA,NA,1,1,1,1,1
BITA2,5,49,8/22/2002,9/24/2003,1/12/2004,364,76,325,20,9,148,113.5,120.4,105.8,113.233333333333,13.5,11.9,12.7,10.136,14.1,14.25,12,6,0,0,1,1,1,1,1
BITA2,6,52,8/22/2002,9/12/2003,1/21/2004,383,72,292,24,8,122,173.8,157.6,102.6,144.666666666667,14.3,11.7,13,10.137,14.1,14.95,13,4,0,0,1,1,1,1,1
BITA2,7,55,8/22/2002,8/13/2003,10/30/2003,350,62,215,25,8,108,211.1,230,150.7,197.266666666667,25.4,21.7,23.55,10.138,12.4,12.95,10,3,0,0,1,1,1,1,1
BITA2,8,73,8/22/2002,6/25/2003,9/10/2003,320,58.5,200,23.8,8,113,152.9,227.7,152.4,177.666666666667,25.3,20.9,23.1,10.139,12.6,13.1,14,5,0,0,1,1,1,1,1
BITA2,9,111,8/22/2002,7/2/2003,9/25/2003,363,65,242,24.2,7,98,220.4,230.1,182.6,211.033333333333,25.5,22.9,24.2,10.140,12.8,13.1,13,4,0,0,1,1,1,1,1
BITA2,10,116,8/22/2002,8/28/2003,11/11/2003,324,57,218,15.8,6,85,169.4,176.1,128.7,158.066666666667,22.8,21.2,22,10.141,11.9,12.35,9,1,0,0,1,1,1,1,1
BITA2,11,133,8/22/2002,9/3/2003,11/21/2003,388,77,340,17.4,8,133,108.3,NA,NA,108.3,NA,NA,NA,10.142,NA,NA,10,3,0,0,1,1,1,1,1
BITA2,12,140,8/22/2002,6/20/2003,9/4/2003,301,60,210,24,6,98,222.4,225.4,190.5,212.766666666667,24.5,22.6,23.55,10.143,12.9,13.25,12,4,0,0,1,1,1,1,1
BITA2,13,217,8/22/2002,8/28/2003,11/21/2003,371,73,340,16.8,9,148,93.2,102.6,68.9,88.2333333333333,13.2,10.7,11.95,10.144,12.4,12.95,12,6,0,0,1,1,1,1,1
BITA2,14,239,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.145,NA,NA,NA,NA,NA,NA,1,1,1,1,1
BITA2,15,262,8/22/2002,10/16/2003,1/21/2004,402,77.5,343,13,8,127,85,92.4,70.2,82.5333333333333,12.5,11.1,11.8,10.146,12.1,12.6,12,5,0,0,1,1,1,1,1
BITA2,16,291,8/22/2002,9/4/2003,11/21/2003,341,65.5,287,8.6,6,82,80.5,79.5,75.1,78.3666666666667,11.9,11,11.45,10.147,12.7,12.7,7,5,0,0,1,1,1,1,1
BITA2,17,318,8/22/2002,8/28/2003,11/21/2003,375,77,345,17.3,9,150,96.7,106.3,75.8,92.9333333333333,13.2,11.1,12.15,10.148,12.5,13,12,8,0,364,1,1,1,1,1
BITA2,18,336,8/22/2002,6/25/2003,9/25/2003,276,55,171,19.2,7,95,183.2,200.1,153.6,178.966666666667,24.5,21.2,22.85,10.149,12.3,12.55,13,2,0,0,1,1,1,1,1
BITA2,19,347,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.150,NA,NA,NA,NA,NA,NA,1,1,1,1,1
BITA2,20,395,8/22/2002,12/9/2003,11/11/2003,333,66,200,20.8,9,132,137.9,161.4,98.8,132.7,22.3,18.2,20.25,10.151,10.9,11.55,8,2,0,0,1,1,1,1,1
BITA3,1,10,8/22/2002,5/18/2004,8/18/2004,276,36,NA,7,4,32,206.2,NA,NA,206.2,NA,NA,NA,10.152,NA,NA,9,1,0,0,1,1,1,1,1
BITA3,2,24,8/22/2002,10/16/2003,1/12/2004,300,38.5,NA,18.4,7,80,215,249.1,173.1,212.4,25,19.9,22.45,10.153,13.1,13.3,10,2,0,0,1,1,1,1,1
BITA3,3,27,8/22/2002,10/8/2003,1/12/2004,265,37,NA,18,7,90,186.7,202.4,145.3,178.133333333333,22,17.3,19.65,10.154,13,13.35,10,0,0,0,1,1,1,1,1
BITA3,4,58,8/22/2002,7/30/2003,10/16/2003,348,54,70,17,6,68,232.4,266.7,178.7,225.933333333333,26,21.5,23.75,10.155,13.2,13.7,13,8,0,0,1,1,1,1,1
BITA3,5,60,8/22/2002,7/2/2003,9/17/2003,350,56,77,18.4,7,81,212.3,233.2,174,206.5,25.2,20,22.6,10.156,13.2,13.4,19,9,0,0,1,1,1,1,1
BITA3,6,112,8/22/2002,4/30/2003,7/25/2003,246,53,195,21,8,115,161.7,161.8,145.3,156.266666666667,20.4,18.2,19.3,10.157,12.9,13.23,17,9,0,0,1,1,1,1,1
BITA3,7,136,8/22/2002,6/5/2003,9/4/2003,228,51.3,153,18,8,94,163.8,153.8,135.5,151.033333333333,19.8,17.9,18.85,10.158,13.3,13.3,15,5,0,0,1,1,1,1,1
BITA3,8,153,8/22/2002,5/8/2003,8/13/2003,217,49,172,22.8,7,99,210.1,227.5,198,211.866666666667,22.5,20.4,21.45,10.159,14.7,14.8,15,7,0,0,1,1,1,1,1
BITA3,9,154,8/22/2002,7/30/2003,10/30/2003,345,53.3,268,11.8,7,81,129.6,229.8,200,186.466666666667,21.6,NA,21.6,10.160,14.9,15.1,12,4,0,0,1,1,1,1,1
BITA3,10,158,8/22/2002,5/26/2003,9/4/2003,235,49.2,103,21.2,7,94,206.4,176,217,199.8,20.2,21,20.6,10.161,14.9,14.25,15,10,0,0,1,1,1,1,1
BITA3,11,159,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.162,NA,NA,NA,NA,NA,NA,1,1,1,1,1
BITA3,12,251,8/22/2002,5/8/2003,8/13/2003,230,48.5,171,21,8,103,182.5,192.5,157.5,177.5,21.5,17.5,19.5,10.163,13.9,14.05,15,7,0,0,1,1,1,1,1
BITA3,13,295,8/22/2002,9/12/2003,11/28/2003,300,44,80,7.6,5,45,146.7,146,148.8,147.166666666667,20.6,19.7,20.15,10.164,12.4,12.3,9,3,0,0,1,1,1,1,1
BITA3,14,321,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.165,NA,NA,NA,NA,NA,NA,1,1,1,1,1
BITA3,15,326,8/22/2002,6/5/2003,8/28/2003,252,51,89,16,8,94,151.1,147.3,145.4,147.933333333333,20.9,17.7,19.3,10.166,13.3,13.05,13,5,0,0,1,1,1,1,1
BITA3,16,333,8/22/2002,8/13/2003,11/11/2003,282,48,48,7.2,6,56,114.3,170.5,136.4,140.4,18.9,17.1,18,10.167,13.4,13.55,13,3,0,0,1,1,1,1,1
BITA3,17,356,8/22/2002,9/12/2003,11/21/2003,273,47,44,9.6,5,50,172,168,141,160.333333333333,22.1,19.5,20.8,10.168,12.4,12.65,11,3,0,0,1,1,1,1,1
BITA3,18,372,8/22/2002,7/16/2003,10/10/2003,276,59,154,23.2,8,159,124.5,135.1,102.7,120.766666666667,19.6,16.7,18.15,10.169,11.2,11.5,13,5,0,0,1,1,1,1,1
BITA3,19,379,8/22/2002,5/8/2003,5/8/2003,260,50,95,23.6,9,118,183.1,215.7,144.8,181.2,22.6,18,20.3,10.170,13.5,14.05,12,7,0,0,1,1,1,1,1
BITA3,20,397,8/22/2002,8/20/2003,11/11/2003,320,49.5,120,12.8,5,56,207.1,214.5,147.9,189.833333333333,22,17.6,19.8,10.171,13.1,13.5,10,4,0,0,1,1,1,1,1
SH3640,1,35,8/22/2002,6/18/2003,9/10/2003,253,52,83,19.6,8,96,185.4,185.6,174.2,181.733333333333,22,19.6,20.8,10.172,14,13.8,16,7,0,0,1,1,1,1,1
SH3640,2,37,8/22/2002,5/26/2003,9/4/2003,243,49.5,100,20.4,8,97,195.9,215.8,195.2,202.3,23.4,21.7,22.55,10.173,14.2,14.15,13,8,0,0,1,1,1,1,1
SH3640,3,41,8/22/2002,5/23/2003,8/13/2003,228,47,160,21,8,107,181.3,215.4,151.3,182.666666666667,22.8,18,20.4,10.174,13.7,13.65,13,6,0,0,1,1,1,1,1
SH3640,4,59,8/22/2002,5/3/2003,8/13/2003,240,49,150,21,8,116,170.7,183.8,148.8,167.766666666667,21.1,17.5,19.3,10.175,13.5,13.65,14,7,0,0,1,1,1,1,1
SH3640,5,72,8/22/2002,6/5/2003,6/5/2003,260,53,150,23.6,8,113,187.6,197.6,166.3,183.833333333333,22.1,19.9,21,10.176,13.5,13.7,15,9,0,0,1,1,1,1,1
SH3640,6,104,8/22/2002,5/30/2003,8/28/2003,234,52,120,20,7,95,189.5,180.9,193.3,187.9,20.1,22.5,21.3,10.177,14.3,14.15,13,8,0,0,1,1,1,1,1
SH3640,7,130,8/22/2002,5/8/2003,9/4/2003,245,49,172,21.4,7,84,231,191.9,167.7,196.866666666667,20.4,18,19.2,10.178,14,14.1,16,7,0,0,1,1,1,1,1
SH3640,8,132,8/22/2002,5/14/2003,9/4/2003,235,49,160,12.8,7,92,117.4,178.5,158.8,151.566666666667,18.6,17.4,18,10.179,13.7,13.95,14,6,0,0,1,1,1,1,1
SH3640,9,181,8/22/2002,4/24/2003,7/25/2003,236,50,233,22,7,100,198,210.6,177.7,195.433333333333,22.2,20,21.1,10.180,14,14.1,13,10,0,0,1,1,1,1,1
SH3640,10,188,8/22/2002,5/30/2003,9/10/2003,226,52.5,161,18.6,6,91,184.6,201,199.9,195.166666666667,20.6,21,20.8,10.181,14.6,14.5,14,5,0,0,1,1,1,1,1
SH3640,11,190,8/22/2002,6/25/2003,9/10/2003,245,51,153,15.8,8,95,145.3,153.1,133.7,144.033333333333,19.4,17.6,18.5,10.182,13.1,13.05,16,4,0,0,1,1,1,1,1
SH3640,12,215,8/22/2002,7/2/2003,10/10/2003,267,52,140,17.4,8,115,132.2,163.7,124.2,140.033333333333,19.8,17.6,18.7,10.183,12.8,13,16,4,0,0,1,1,1,1,1
SH3640,13,227,8/22/2002,5/26/2003,9/4/2003,220,46,157,9.2,7,91,79.1,179.1,168.8,142.333333333333,20.5,17.7,19.1,10.184,14.1,14.1,14,6,0,0,1,1,1,1,1
SH3640,14,279,8/22/2002,5/16/2003,8/28/2003,223,49,149,23.2,8,112,191.1,179.4,157.3,175.933333333333,21.1,18.3,19.7,10.185,13.5,13.5,15,8,0,0,1,1,1,1,1
SH3640,15,285,8/22/2002,5/8/2003,8/13/2003,240,49,145,20,8,101,180.2,153.9,143.5,159.2,19.9,17.5,18.7,10.186,13.4,13.3,15,6,0,0,1,1,1,1,1
SH3640,16,303,8/22/2002,4/24/2003,8/13/2003,210,46,194,14,7,95,132.6,165.6,173.1,157.1,19.6,18.1,18.85,10.187,14,13.6,15,6,0,0,1,1,1,1,1
SH3640,17,313,8/22/2002,5/20/2003,8/28/2003,241,56,174,15.2,7,92,145.7,192.5,167.9,168.7,20.1,18.8,19.45,10.188,13.7,13.85,15,8,0,0,1,1,1,1,1
SH3640,18,323,8/22/2002,5/20/2003,8/13/2003,226,47,122,8.1,9,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5,0,0,1,1,1,1,1
SH3640,19,327,8/22/2002,5/26/2003,8/28/2003,234,50,132,22.6,9,119,173.1,184.4,164.4,173.966666666667,21.2,18.6,19.9,10.190,13.7,13.7,13,8,0,0,1,1,1,1,1
SH3640,20,345,8/22/2002,5/20/2003,8/28/2003,245,50,192,18,8,94,170.2,193.4,163.9,175.833333333333,21.3,18.3,19.8,10.191,13.9,13.85,14,7,0,0,1,1,1,1,1
FHIA18,1,3,8/22/2002,6/5/2003,9/4/2003,232,48,146,13.8,8,118,105.1,103.3,79.1,95.8333333333333,16.9,15,15.95,10.192,11.4,11.55,13,5,0,0,1,1,1,1,1
FHIA18,2,33,8/22/2002,5/30/2003,9/4/2003,216,46.5,155,15.4,8,118,115.3,126.5,100.6,114.133333333333,16.7,16.1,16.4,10.193,12,11.65,13,4,0,0,1,1,1,1,1
FHIA18,3,57,8/22/2002,7/24/2003,10/30/2003,240,47,92,13.8,9,132,90.9,108.4,84,94.4333333333333,16,14.9,15.45,10.194,11.1,11.55,15,3,0,0,1,1,1,1,1
FHIA18,4,61,8/22/2002,4/30/2003,8/20/2003,226,50,144,10,9,131,62.6,109.8,64.9,79.1,12.3,13.2,12.75,10.195,10.3,11.4,11,5,0,0,1,1,1,1,1
FHIA18,5,68,8/22/2002,5/23/2003,9/14/2003,228,49,141,18.6,8,114,142.1,140.7,108.5,130.433333333333,18.9,16.3,17.6,10.196,12.3,12.65,16,3,0,0,1,1,1,1,1
FHIA18,6,75,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.197,NA,NA,NA,NA,253,NA,1,1,1,1,1
