Cultivar,Block,Plant,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Weight of fruit (g),Weight of fruit (g),Average weight of fruit (g),Fruit length (cm),Fruit length (cm),Average fruit length (cm),Fruit diameter (cm),Fruit diameter (cm),Average fruit diameter (cm),Number of functional leaves (shooting),Number of functional leaves (harvest),Distance of vascular discolouration in the pseudostem (cm) (harvest),Distance of vascular discolouration in the pseudostem of the following sucker (cm) (harvest of the mother plant),"Scale of vascular discolouration in the corm of the following sucker, slice 1","Scale of vascular discolouration in the corm of the following sucker, slice 2","Scale of vascular discolouration in the corm of the following sucker, slice 3","Scale of vascular discolouration in the corm of the following sucker, slice 4","Scale of vascular discolouration in the corm of the following sucker, slice 5"
FHIA02,18,371,8/22/2002,9/24/2003,1/21/2004,254,40.5,140,7,8,99,64.6,120.1,89,91.2333333333333,16.5,13.5,15,12.3,11.9,12.1,10,5,0,0,1,1,1,1,1
FHIA02,19,385,8/22/2002,6/5/2003,10/10/2003,196,39,92,5.4,6,83,53,59.3,56.5,56.2666666666667,12.6,11.6,12.1,10.2,10.3,10.25,12,5,0,0,1,1,1,1,1
FHIA02,20,387,8/22/2002,4/30/2003,9/10/2003,167,39.3,158,13.4,8,101,122.8,68.9,59.8,83.8333333333333,13,11.8,12.4,10.6,10.6,10.6,12,5,0,0,1,1,1,1,1
FHIA03,1,65,8/22/2002,8/6/2003,10/30/2003,344,70,174,30.2,9,154,170.1,178.7,132.3,160.366666666667,18.4,15.9,17.15,14.6,14.3,14.45,13,7,0,0,1,1,1,1,1
FHIA03,2,67,8/22/2002,6/5/2003,9/17/2003,260,60,163,22,8,131,143,155.6,142.2,146.933333333333,17.1,15.7,16.4,14,14.6,14.3,15,6,0,0,1,1,1,1,1
FHIA03,3,142,8/22/2002,10/30/2003,NA,312,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,1,1,1
FHIA03,4,175,8/22/2002,9/4/2003,11/28/2003,312,66,170,23.2,9,152,127,147.3,106.6,126.966666666667,16.7,13.5,15.1,14,13.5,13.75,10,5,0,0,1,1,1,1,1
FHIA03,5,211,8/22/2002,6/5/2003,9/4/2003,243,68,140,26.8,8,132,168.2,167.1,147.2,160.833333333333,16.6,15,15.8,15.3,14.8,15.05,16,8,0,0,1,1,1,1,1
FHIA03,6,223,8/22/2002,5/30/2003,9/14/2003,275,62,150,27.4,8,136,175,189.8,151.5,172.1,17.8,15,16.4,15.4,15,15.2,15,6,0,0,1,1,1,1,1
FHIA03,7,308,8/22/2002,7/2/2003,9/25/2003,300,64.5,132,16.2,9,158,83.5,79.7,65.2,76.1333333333333,15,12.8,13.9,11.6,11.4,11.5,17,4,0,0,1,1,1,1,1
FHIA03,8,340,8/22/2002,7/2/2003,10/10/2003,258,59.2,197,12.8,9,169,65.1,89.3,62.2,72.2,14.1,11.9,13,12.4,11.6,12,13,2,340,0,1,1,1,1,1
FHIA03,9,344,8/22/2002,5/8/2003,8/20/2003,268,61,240,26,9,155,153.5,159.8,136.9,150.066666666667,16.9,14.5,15.7,14.5,14.3,14.4,14,9,0,0,1,1,1,1,1
FHIA03,10,389,8/22/2002,6/18/2003,9/25/2003,290,64,153,30,10,169,152.7,165.7,135.8,151.4,16.3,15,15.65,14.7,14.3,14.5,17,7,0,0,1,1,1,1,1
Williams,1,70,8/22/2002,6/5/2003,9/4/2003,170,49,124,20,9,151,119.2,136.4,89.6,115.066666666667,20.7,16.2,18.45,12.1,11.1,11.6,15,3,0,0,1,1,1,1,1
Williams,2,80,8/22/2002,11/6/2003,1/21/2004,175,52,57,11.2,9,146,68.5,108.2,85.9,87.5333333333333,18.1,15.7,16.9,11.4,11,11.2,9,4,0,0,1,1,1,1,1
Williams,3,85,8/22/2002,5/30/2003,8/28/2003,161,44,83,18,10,152,106.6,137.7,90.2,111.5,20.2,16.1,18.15,12.2,11.2,11.7,13,2,0,0,1,1,1,1,1
