Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Bunch weight (kg),Number of hands,Number of functional leaves (shooting),Number of Meloidogyne spp. per 30 g fresh root (harvest),Number of Helicotylenchus multicinctus per 30 g fresh root (harvest),Number of Pratylenchus coffea per 30 g fresh root (harvest),Number of Radopholus similis per 30 g fresh root (harvest)
Bluggoe,E,27,BluggoeE27,ratoon1,NA,NA,NA,NA,NA,12.9,6,NA,13.33333333,1.666666667,0,95
Bluggoe,E,38,BluggoeE38,ratoon1,NA,NA,NA,NA,NA,16.8,8,NA,NA,NA,NA,NA
Bluggoe,E,52,BluggoeE52,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,F,40,BluggoeF40,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,F,62,BluggoeF62,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,446.6666667,0,0,0
Bluggoe,F,70,BluggoeF70,ratoon1,NA,NA,NA,NA,NA,10.8,8,NA,115,0,35,0
Bluggoe,G,35,BluggoeG35,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,G,62,BluggoeG62,ratoon1,NA,NA,NA,NA,NA,8.9,5,NA,41.66666667,0,36.66666667,0
Ducasse,A,1,DucasseA1,ratoon1,NA,NA,NA,356,70,NA,NA,13,NA,NA,NA,NA
Ducasse,A,18,DucasseA18,ratoon1,NA,NA,NA,380,89,13.6,7,13,41.66666667,0,0,0
Ducasse,A,22,DucasseA22,ratoon1,NA,NA,NA,364,86,NA,NA,14,108.3333333,0,0,0
Ducasse,A,51,DucasseA51,ratoon1,NA,NA,NA,347,87,13.9,10,13,110,0,143.3333333,0
Ducasse,B,11,DucasseB11,ratoon1,NA,NA,NA,NA,NA,12.6,8,NA,131.6666667,0,23.33333333,0
Ducasse,B,32,DucasseB32,ratoon1,NA,NA,NA,348,90,24,12,13,28.33333333,86.66666667,0,0
Ducasse,B,45,DucasseB45,ratoon1,NA,NA,NA,289,72,NA,NA,11,NA,NA,NA,NA
Ducasse,C,5,DucasseC5,ratoon1,NA,NA,NA,372,89,18.7,12,14,75,0,0,73.33333333
Ducasse,C,22,DucasseC22,ratoon1,NA,NA,NA,295,72,10.1,7,10,NA,NA,NA,NA
Ducasse,C,66,DucasseC66,ratoon1,NA,NA,NA,364,89,21.7,10,13,NA,NA,NA,NA
Ducasse,D,7,DucasseD7,ratoon1,NA,NA,NA,400,87,22.9,12,14,41.66666667,0,25,0
Ducasse,D,24,DucasseD24,ratoon1,NA,NA,NA,354,75,13.1,9,14,58.33333333,0,45,0
Ducasse,D,48,DucasseD48,ratoon1,NA,NA,NA,340,79,18.3,7,11,70,0,0,33.33333333
Ducasse,D,65,DucasseD65,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,51.66666667,0,0,0
Ducasse,E,17,DucasseE17,ratoon1,NA,NA,NA,NA,NA,11.3,10,NA,45,0,50,0
Ducasse,E,47,DucasseE47,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0,76.66666667
Ducasse,E,58,DucasseE58,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ducasse,F,54,DucasseF54,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ducasse,F,66,DucasseF66,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,420.3333333,5,0,0
Ducasse,G,34,DucasseG34,ratoon1,NA,NA,NA,370,90,29.4,12,15,NA,NA,NA,NA
Ducasse,G,66,DucasseG66,ratoon1,NA,NA,NA,NA,NA,9,8,NA,31.66666667,0,0,0
Ducasse,G,73,DucasseG73,ratoon1,NA,NA,NA,NA,NA,18.9,8,NA,NA,NA,NA,NA
FHIA01,A,4,FHIA01A4,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,60,6.666666667,0,0
FHIA01,A,20,FHIA01A20,ratoon1,NA,NA,NA,NA,NA,38.1,12,NA,51.66666667,0,26.66666667,0
FHIA01,A,33,FHIA01A33,ratoon1,NA,NA,NA,269,62,NA,NA,13,63.33333333,0,0,0
FHIA01,A,45,FHIA01A45,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA01,B,16,FHIA01B16,ratoon1,NA,NA,NA,345,106,9.3,8,13,13.33333333,0,33.33333333,0
FHIA01,B,36,FHIA01B36,ratoon1,NA,NA,NA,370,104,9.4,7,14,15,0,0,0
FHIA01,C,9,FHIA01C9,ratoon1,NA,NA,NA,346,103,27.9,10,12,NA,NA,NA,NA
FHIA01,C,46,FHIA01C46,ratoon1,NA,NA,NA,NA,NA,18,9,NA,NA,NA,NA,NA
FHIA01,C,52,FHIA01C52,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA01,C,75,FHIA01C75,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA01,D,25,FHIA01D25,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,95,0,0,0
FHIA01,D,39,FHIA01D39,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,40,0,0,0
FHIA01,D,60,FHIA01D60,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,103.3333333,0,0,0
FHIA01,E,3,FHIA01E3,ratoon1,NA,NA,NA,275,57,NA,NA,8,NA,NA,NA,NA
FHIA01,E,25,FHIA01E25,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA01,E,34,FHIA01E34,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA01,E,48,FHIA01E48,ratoon1,NA,NA,NA,NA,NA,19.5,11,NA,13.66666667,0,36.33333333,0
FHIA01,E,72,FHIA01E72,ratoon1,NA,NA,NA,396,64,NA,NA,12,NA,NA,NA,NA
FHIA01,F,38,FHIA01F38,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA01,F,50,FHIA01F50,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA01,G,49,FHIA01G49,ratoon1,NA,NA,NA,294,84,22.7,9,11,NA,NA,NA,NA
FHIA01,G,63,FHIA01G63,ratoon1,NA,NA,NA,325,94,NA,NA,10,390,0,1.666666667,0
FHIA03,A,44,FHIA03A44,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA03,B,3,FHIA03B3,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA03,B,17,FHIA03B17,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA03,C,2,FHIA03C2,ratoon1,NA,NA,NA,402,90,15.8,6,11,NA,NA,NA,NA
FHIA03,C,43,FHIA03C43,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA03,C,60,FHIA03C60,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,100,0,14.33333333,0
FHIA03,D,11,FHIA03D11,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA03,D,21,FHIA03D21,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA03,D,50,FHIA03D50,ratoon1,NA,NA,NA,NA,NA,5.6,7,NA,NA,NA,NA,NA
FHIA03,D,67,FHIA03D67,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA03,E,14,FHIA03E14,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA03,E,33,FHIA03E33,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA03,E,63,FHIA03E63,ratoon1,NA,NA,NA,270,86,NA,NA,7,NA,NA,NA,NA
FHIA03,F,39,FHIA03F39,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA03,F,51,FHIA03F51,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA03,F,73,FHIA03F73,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA03,G,36,FHIA03G36,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA03,G,60,FHIA03G60,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,A,9,FHIA25A9,ratoon1,NA,NA,NA,NA,NA,39,11,NA,38.33333333,0,28.33333333,0
FHIA25,A,35,FHIA25A35,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,128.5666667,0,0,0
FHIA25,A,41,FHIA25A41,ratoon1,NA,NA,NA,250,77,20.6,8,7,NA,NA,NA,NA
FHIA25,A,50,FHIA25A50,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,B,2,FHIA25B2,ratoon1,NA,NA,NA,284,86,NA,NA,14,NA,NA,NA,NA
FHIA25,B,40,FHIA25B40,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,18.33333333,0,86.66666667,0
FHIA25,B,43,FHIA25B43,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,C,6,FHIA25C6,ratoon1,NA,NA,NA,NA,NA,20.4,10,NA,NA,NA,NA,NA
FHIA25,C,38,FHIA25C38,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,C,64,FHIA25C64,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,D,5,FHIA25D5,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,D,18,FHIA25D18,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,D,54,FHIA25D54,ratoon1,NA,NA,NA,NA,NA,8.2,12,NA,330,0,140,0
FHIA25,E,21,FHIA25E21,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,E,46,FHIA25E46,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,E,53,FHIA25E53,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,F,42,FHIA25F42,ratoon1,NA,NA,NA,275,78,13.3,9,13,36.66666667,0,0,0
FHIA25,F,47,FHIA25F47,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,F,74,FHIA25F74,ratoon1,NA,NA,NA,272,80,NA,NA,11,NA,NA,NA,NA
FHIA25,G,41,FHIA25G41,ratoon1,NA,NA,NA,325,104,35,13,13,1020,0,3.333333333,0
FHIA25,G,53,FHIA25G53,ratoon1,NA,NA,NA,286,96,NA,NA,12,NA,NA,NA,NA
Foconah,A,14,FoconahA14,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,76.66666667,0,0,0
Foconah,A,34,FoconahA34,ratoon1,NA,NA,NA,NA,NA,11.5,9,NA,NA,NA,NA,NA
Foconah,B,34,FoconahB34,ratoon1,NA,NA,NA,402,83,NA,NA,12,35,0,0,0
Foconah,B,56,FoconahB56,ratoon1,NA,NA,NA,409,84,NA,NA,12,46.66666667,0,0,0
Foconah,C,10,FoconahC10,ratoon1,NA,NA,NA,470,89,18.4,8,14,NA,NA,NA,NA
Foconah,C,23,FoconahC23,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,123.3333333,0,0,0
Foconah,C,53,FoconahC53,ratoon1,NA,NA,NA,403,83,NA,NA,12,141.6666667,20,0,0
Foconah,C,74,FoconahC74,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,34.33333333,103,0,0
Foconah,D,19,FoconahD19,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,76.66666667,0,0,0
Foconah,D,32,FoconahD32,ratoon1,NA,NA,NA,377,78,NA,NA,10,60,0,0,15
Foconah,D,68,FoconahD68,ratoon1,NA,NA,NA,456,93,20.8,9,16,NA,NA,NA,NA
Foconah,E,7,FoconahE7,ratoon1,NA,NA,NA,NA,NA,20.7,11,NA,36.66666667,0,0,0
Foconah,E,16,FoconahE16,ratoon1,NA,NA,NA,NA,NA,8,7,NA,115,0,0,0
Foconah,E,41,FoconahE41,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,48.33333333,0,0,0
Foconah,E,60,FoconahE60,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foconah,E,69,FoconahE69,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foconah,F,36,FoconahF36,ratoon1,NA,NA,NA,400,84,NA,NA,14,143.3333333,0,0,0
Foconah,F,60,FoconahF60,ratoon1,NA,NA,NA,NA,NA,4.4,6,NA,68.33333333,0,0,0
Foconah,G,39,FoconahG39,ratoon1,NA,NA,NA,NA,NA,10.1,8,NA,166.6666667,0,0,0
Foconah,G,57,FoconahG57,ratoon1,NA,NA,NA,NA,NA,10.3,8,NA,46.66666667,0,0,0
Goldfinger,A,16,GoldfingerA16,ratoon1,NA,NA,NA,326,108,33.8,11,15,40,0,0,73.33333333
Goldfinger,A,24,GoldfingerA24,ratoon1,NA,NA,NA,363,111,NA,NA,14,NA,NA,NA,NA
Goldfinger,A,38,GoldfingerA38,ratoon1,NA,NA,NA,NA,NA,25.6,11,NA,63.33333333,0,0,0
Goldfinger,B,6,GoldfingerB6,ratoon1,NA,NA,NA,NA,NA,32.4,11,NA,NA,NA,NA,NA
Goldfinger,B,20,GoldfingerB20,ratoon1,NA,NA,NA,346,106,35.5,12,14,136.6666667,0,0,0
Goldfinger,B,57,GoldfingerB57,ratoon1,NA,NA,NA,NA,NA,23.5,10,NA,40,0,8.333333333,0
Goldfinger,C,15,GoldfingerC15,ratoon1,NA,NA,NA,NA,NA,28.9,9,NA,48.33333333,0,0,10
Goldfinger,C,47,GoldfingerC47,ratoon1,NA,NA,NA,280,92,20.3,9,14,56.66666667,0,0,36.66666667
Goldfinger,C,54,GoldfingerC54,ratoon1,NA,NA,NA,NA,NA,22.7,11,NA,48.33333333,0,0,10
Goldfinger,D,17,GoldfingerD17,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0,0
Goldfinger,D,33,GoldfingerD33,ratoon1,NA,NA,NA,NA,NA,21.6,9,NA,39,0,0,0
Goldfinger,D,64,GoldfingerD64,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,136.6666667,0,0,18.33333333
Goldfinger,E,4,GoldfingerE4,ratoon1,NA,NA,NA,NA,NA,19.2,8,NA,53.33333333,0,0,11.66666667
Goldfinger,E,26,GoldfingerE26,ratoon1,NA,NA,NA,281,86,13.9,8,10,NA,NA,NA,NA
Goldfinger,E,40,GoldfingerE40,ratoon1,NA,NA,NA,NA,NA,22.6,9,NA,58.33333333,0,0,0
Goldfinger,E,49,GoldfingerE49,ratoon1,NA,NA,NA,200,43,NA,NA,5,26.66666667,0,0,0
Goldfinger,E,71,GoldfingerE71,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goldfinger,F,52,GoldfingerF52,ratoon1,NA,NA,NA,275,90,14.1,9,13,NA,NA,NA,NA
Goldfinger,G,37,GoldfingerG37,ratoon1,NA,NA,NA,NA,NA,24,8,NA,55,0,0,0
Goldfinger,G,65,GoldfingerG65,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,73.33333333,0,0,0
Goldfinger,G,70,GoldfingerG70,ratoon1,NA,NA,NA,314,97,21.9,9,12,15,0,0,0
GrandeNaine,A,2,GrandeNaineA2,ratoon1,NA,NA,NA,210,68,21.2,9,10,56.66666667,0,20,0
GrandeNaine,A,19,GrandeNaineA19,ratoon1,NA,NA,NA,230,66,17.6,8,10,530,0,0,0
GrandeNaine,A,36,GrandeNaineA36,ratoon1,NA,NA,NA,NA,NA,30,8,NA,6.666666667,0,0,0
GrandeNaine,B,12,GrandeNaineB12,ratoon1,NA,NA,NA,250,62,11.7,6,9,47.83333333,0,43.66666667,0
GrandeNaine,C,20,GrandeNaineC20,ratoon1,NA,NA,NA,NA,NA,25.8,10,NA,46.66666667,0,38.33333333,0
GrandeNaine,C,59,GrandeNaineC59,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GrandeNaine,C,71,GrandeNaineC71,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GrandeNaine,D,12,GrandeNaineD12,ratoon1,NA,NA,NA,274,81,NA,NA,14,10,0,0,0
GrandeNaine,D,26,GrandeNaineD26,ratoon1,NA,NA,NA,NA,NA,3.3,5,NA,NA,NA,NA,NA
GrandeNaine,D,47,GrandeNaineD47,ratoon1,NA,NA,NA,243,61,17.8,9,13,61.66666667,0,8.333333333,0
GrandeNaine,D,73,GrandeNaineD73,ratoon1,NA,NA,NA,217,65,16.5,10,9,NA,NA,NA,NA
GrandeNaine,E,22,GrandeNaineE22,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GrandeNaine,E,44,GrandeNaineE44,ratoon1,NA,NA,NA,260,67,15,7,8,111.3333333,0,0,0
GrandeNaine,E,55,GrandeNaineE55,ratoon1,NA,NA,NA,208,64,10.5,7,10,NA,NA,NA,NA
GrandeNaine,F,43,GrandeNaineF43,ratoon1,NA,NA,NA,200,59,NA,NA,8,NA,NA,NA,NA
GrandeNaine,F,63,GrandeNaineF63,ratoon1,NA,NA,NA,246,79,NA,NA,13,NA,NA,NA,NA
GrandeNaine,F,68,GrandeNaineF68,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,53,0,0,0
GrandeNaine,G,33,GrandeNaineG33,ratoon1,NA,NA,NA,NA,NA,28.6,9,NA,56.66666667,0,0,0
GrandeNaine,G,58,GrandeNaineG58,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GrandeNaine,G,76,GrandeNaineG76,ratoon1,NA,NA,NA,220,66,12.3,7,12,NA,NA,NA,NA
GrandeNaine,G,77,GrandeNaineG77,ratoon1,NA,NA,NA,228,73,19.1,9,13,NA,NA,NA,NA
Igitsiri,B,47,IgitsiriB47,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Igitsiri,C,3,IgitsiriC3,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Igitsiri,C,39,IgitsiriC39,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Igitsiri,C,67,IgitsiriC67,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Igitsiri,C,69,IgitsiriC69,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Igitsiri,D,16,IgitsiriD16,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Igitsiri,D,52,IgitsiriD52,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Igitsiri,D,69,IgitsiriD69,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Igitsiri,E,9,IgitsiriE9,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Igitsiri,E,20,IgitsiriE20,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Igitsiri,E,35,IgitsiriE35,ratoon1,NA,NA,NA,NA,NA,7.9,5,NA,NA,NA,NA,NA
Igitsiri,E,66,IgitsiriE66,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Igitsiri,F,45,IgitsiriF45,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Igitsiri,F,59,IgitsiriF59,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Igitsiri,G,64,IgitsiriG64,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kunnan,A,13,KunnanA13,ratoon1,NA,NA,NA,216,48,NA,NA,12,70,0,0,0
Kunnan,A,54,KunnanA54,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kunnan,B,9,KunnanB9,ratoon1,NA,NA,NA,254,54,NA,NA,9,86.66666667,0,0,0
Kunnan,B,41,KunnanB41,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kunnan,B,46,KunnanB46,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kunnan,C,37,KunnanC37,ratoon1,NA,NA,NA,230,52,NA,NA,12,NA,NA,NA,NA
Kunnan,C,57,KunnanC57,ratoon1,NA,NA,NA,378,63,NA,NA,13,88.33333333,0,0,36.66666667
Kunnan,D,3,KunnanD3,ratoon1,NA,NA,NA,NA,NA,4.8,7,NA,120,0,0,0
Kunnan,D,23,KunnanD23,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,116.6666667,0,0,0
Kunnan,D,49,KunnanD49,ratoon1,NA,NA,NA,NA,NA,4.7,4,NA,58.33333333,0,38.33333333,0
Kunnan,D,61,KunnanD61,ratoon1,NA,NA,NA,300,60,NA,NA,15,10,0,0,0
Kunnan,D,75,KunnanD75,ratoon1,NA,NA,NA,NA,NA,6.3,6,NA,NA,NA,NA,NA
Kunnan,E,6,KunnanE6,ratoon1,NA,NA,NA,350,55,NA,NA,10,NA,NA,NA,NA
Kunnan,E,10,KunnanE10,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kunnan,E,45,KunnanE45,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kunnan,E,57,KunnanE57,ratoon1,NA,NA,NA,353,81,NA,NA,12,65,0,61.66666667,0
Kunnan,E,59,KunnanE59,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,406.3333333,0,0,0
Kunnan,F,57,KunnanF57,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,208.3333333,0,0,0
Kunnan,G,44,KunnanG44,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kunnan,G,68,KunnanG68,ratoon1,NA,NA,NA,260,52,NA,NA,10,140,13.33333333,23.33333333,0
Kunnan,G,75,KunnanG75,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,103.3333333,0,0,0
MBalbisianaHonduras,A,15,MBalbisianaHondurasA15,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBalbisianaHonduras,A,25,MBalbisianaHondurasA25,ratoon1,NA,NA,NA,272,50,7.8,8,12,25,6.833333333,120.3333333,0
MBalbisianaHonduras,A,42,MBalbisianaHondurasA42,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBalbisianaHonduras,B,38,MBalbisianaHondurasB38,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBalbisianaHonduras,B,42,MBalbisianaHondurasB42,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBalbisianaHonduras,C,16,MBalbisianaHondurasC16,ratoon1,NA,NA,NA,344,60,NA,NA,5,NA,NA,NA,NA
MBalbisianaHonduras,C,42,MBalbisianaHondurasC42,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBalbisianaHonduras,C,65,MBalbisianaHondurasC65,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBalbisianaHonduras,C,72,MBalbisianaHondurasC72,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBalbisianaHonduras,D,22,MBalbisianaHondurasD22,ratoon1,NA,NA,NA,365,81,NA,NA,10,75,0,0,55
MBalbisianaHonduras,D,53,MBalbisianaHondurasD53,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBalbisianaHonduras,D,70,MBalbisianaHondurasD70,ratoon1,NA,NA,NA,289,54,NA,NA,7,NA,NA,NA,NA
MBalbisianaHonduras,E,18,MBalbisianaHondurasE18,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBalbisianaHonduras,E,30,MBalbisianaHondurasE30,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBalbisianaHonduras,E,62,MBalbisianaHondurasE62,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBalbisianaHonduras,E,68,MBalbisianaHondurasE68,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBalbisianaHonduras,F,41,MBalbisianaHondurasF41,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBalbisianaHonduras,F,64,MBalbisianaHondurasF64,ratoon1,NA,NA,NA,291,49,NA,NA,9,111.6666667,0,85,0
MBalbisianaHonduras,F,67,MBalbisianaHondurasF67,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBalbisianaHonduras,G,42,MBalbisianaHondurasG42,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBalbisianaHonduras,G,59,MBalbisianaHondurasG59,ratoon1,NA,NA,NA,296,49,NA,NA,9,23.66666667,0,58,0
