Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Bunch weight (kg),Number of hands,Number of functional leaves (shooting),Number of Meloidogyne spp. per 30 g fresh root (harvest),Number of Helicotylenchus multicinctus per 30 g fresh root (harvest),Number of Pratylenchus coffea per 30 g fresh root (harvest),Number of Radopholus similis per 30 g fresh root (harvest)
Bluggoe,A,17,BluggoeA17,ratoon1,NA,NA,NA,NA,NA,9.7,5,NA,125,0,0,0
Bluggoe,A,31,BluggoeA31,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,A,49,BluggoeA49,ratoon1,NA,NA,NA,299,58,NA,NA,9,8.333333333,0,0,23.33333333
Bluggoe,B,7,BluggoeB7,ratoon1,NA,NA,NA,348,64,NA,NA,14,33.33333333,0,0,0
Bluggoe,B,15,BluggoeB15,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,316.6666667,10,0,0
Bluggoe,B,31,BluggoeB31,ratoon1,NA,NA,NA,NA,NA,6.5,5,NA,61.66666667,0,36.66666667,0
Bluggoe,B,58,BluggoeB58,ratoon1,NA,NA,NA,260,52,NA,NA,12,NA,NA,NA,NA
Bluggoe,C,11,BluggoeC11,ratoon1,NA,NA,NA,NA,NA,9.1,5,NA,301.6666667,0,0,0
Bluggoe,C,48,BluggoeC48,ratoon1,NA,NA,NA,370,68,NA,NA,12,143.3333333,0,93,0
Bluggoe,C,49,BluggoeC49,ratoon1,NA,NA,NA,NA,NA,8.1,6,NA,40,7.5,57.5,0
Bluggoe,D,2,BluggoeD2,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,D,20,BluggoeD20,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,156.5,0,0,0
Bluggoe,D,42,BluggoeD42,ratoon1,NA,NA,NA,NA,NA,12.3,8,NA,NA,NA,NA,NA
Bluggoe,D,71,BluggoeD71,ratoon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
