Cultivar,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Crop cycle (days),Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Bunch weight (kg),Number of fruits in hand,Weight of fruit (g),Number of functional leaves (shooting)
Selangor,10,Selangor10,mother,17/08/2002,19/09/2003,NA,172,54.5,8.2,16,71,10
PisangCeylan,1,PisangCeylan1,mother,17/08/2002,23/09/2003,NA,211,60.5,16.8,20,70.5,10
PisangCeylan,2,PisangCeylan2,mother,17/08/2002,15/09/2003,NA,214,62,17,17,70.5,10
PisangCeylan,3,PisangCeylan3,mother,17/08/2002,20/09/2003,NA,221,59,15.7,16,70,9
PisangCeylan,4,PisangCeylan4,mother,17/08/2002,22/09/2003,NA,230,62.5,15,15,68.5,9
PisangCeylan,5,PisangCeylan5,mother,17/08/2002,16/09/2003,NA,211,59,14.6,19,69,10
PisangCeylan,6,PisangCeylan6,mother,17/08/2002,21/09/2003,NA,212,58.5,14.4,19,69.5,10
PisangCeylan,7,PisangCeylan7,mother,17/08/2002,26/09/2003,NA,230,61.5,15.3,17,69.5,10
PisangCeylan,8,PisangCeylan8,mother,17/08/2002,11/9/2003,NA,220,60.5,15.3,20,69.5,9
PisangCeylan,9,PisangCeylan9,mother,17/08/2002,18/09/2003,NA,213.5,60,15,19,70,9
PisangCeylan,10,PisangCeylan10,mother,17/08/2002,13/09/2003,NA,215.5,57.5,15.2,19,70,10
SH3640,1,SH36401,mother,17/08/2002,10/9/2003,NA,209.5,63.5,10.5,20,64.5,10
SH3640,2,SH36402,mother,17/08/2002,4/9/2003,NA,205,58,13.4,20,64,10
SH3640,3,SH36403,mother,17/08/2002,16/09/2003,NA,203,56.5,11.8,19,65,10
SH3640,4,SH36404,mother,17/08/2002,7/9/2003,NA,209,64,12,19,64.5,11
SH3640,5,SH36405,mother,17/08/2002,13/09/2003,NA,197,58,12.6,18,65,10
SH3640,6,SH36406,mother,17/08/2002,13/09/2003,NA,213,59,11.1,18,65.5,10
