Cultivar,Plant,Mat ID,Plant cycle,Time period,Infection index
YangambiKm5,2,YangambiKm52,mother,13map,NA
YangambiKm5,3,YangambiKm53,mother,13map,NA
YangambiKm5,4,YangambiKm54,mother,13map,NA
YangambiKm5,5,YangambiKm55,mother,13map,NA
YangambiKm5,6,YangambiKm56,mother,13map,NA
YangambiKm5,7,YangambiKm57,mother,13map,NA
YangambiKm5,8,YangambiKm58,mother,13map,NA
YangambiKm5,9,YangambiKm59,mother,13map,NA
YangambiKm5,10,YangambiKm510,mother,13map,NA
PITA16,1,PITA161,mother,13map,8.5
PITA16,2,PITA162,mother,13map,8.5
PITA16,3,PITA163,mother,13map,12.5
PITA16,4,PITA164,mother,13map,12
PITA16,5,PITA165,mother,13map,12
PITA16,6,PITA166,mother,13map,12
PITA16,7,PITA167,mother,13map,10.5
PITA16,8,PITA168,mother,13map,10
PITA16,9,PITA169,mother,13map,8.5
PITA16,10,PITA1610,mother,13map,7.5
TMBx91283,1,TMBx912831,mother,13map,8
TMBx91283,2,TMBx912832,mother,13map,12.5
TMBx91283,3,TMBx912833,mother,13map,15.5
TMBx91283,4,TMBx912834,mother,13map,14.5
TMBx91283,5,TMBx912835,mother,13map,15
TMBx91283,6,TMBx912836,mother,13map,12
TMBx91283,7,TMBx912837,mother,13map,10
TMBx91283,8,TMBx912838,mother,13map,11.5
TMBx91283,9,TMBx912839,mother,13map,10
TMBx91283,10,TMBx9128310,mother,13map,15
PisangLemakManis,1,PisangLemakManis1,mother,13map,11
PisangLemakManis,2,PisangLemakManis2,mother,13map,12
PisangLemakManis,3,PisangLemakManis3,mother,13map,11.5
PisangLemakManis,4,PisangLemakManis4,mother,13map,14
PisangLemakManis,5,PisangLemakManis5,mother,13map,4.5
PisangLemakManis,6,PisangLemakManis6,mother,13map,12.5
PisangLemakManis,7,PisangLemakManis7,mother,13map,8.5
PisangLemakManis,8,PisangLemakManis8,mother,13map,13
PisangLemakManis,9,PisangLemakManis9,mother,13map,10
PisangLemakManis,10,PisangLemakManis10,mother,13map,11
Foconah,1,Foconah1,mother,13map,14
Foconah,2,Foconah2,mother,13map,10
Foconah,3,Foconah3,mother,13map,10
Foconah,4,Foconah4,mother,13map,12
Foconah,5,Foconah5,mother,13map,11
Foconah,6,Foconah6,mother,13map,12
Foconah,7,Foconah7,mother,13map,12
Foconah,8,Foconah8,mother,13map,13
Foconah,9,Foconah9,mother,13map,12
Foconah,10,Foconah10,mother,13map,10
Selangor,1,Selangor1,mother,13map,9.5
Selangor,2,Selangor2,mother,13map,14
Selangor,3,Selangor3,mother,13map,15
Selangor,4,Selangor4,mother,13map,16
Selangor,5,Selangor5,mother,13map,8.5
Selangor,6,Selangor6,mother,13map,15.5
Selangor,7,Selangor7,mother,13map,16
Selangor,8,Selangor8,mother,13map,14
Selangor,9,Selangor9,mother,13map,15
Selangor,10,Selangor10,mother,13map,14.5
PisangCeylan,1,PisangCeylan1,mother,13map,0
PisangCeylan,2,PisangCeylan2,mother,13map,2.5
PisangCeylan,3,PisangCeylan3,mother,13map,4
PisangCeylan,4,PisangCeylan4,mother,13map,4
PisangCeylan,5,PisangCeylan5,mother,13map,0
PisangCeylan,6,PisangCeylan6,mother,13map,1
PisangCeylan,7,PisangCeylan7,mother,13map,2
PisangCeylan,8,PisangCeylan8,mother,13map,4.5
PisangCeylan,9,PisangCeylan9,mother,13map,2
PisangCeylan,10,PisangCeylan10,mother,13map,0
SH3640,1,SH36401,mother,13map,2.5
SH3640,2,SH36402,mother,13map,2
SH3640,3,SH36403,mother,13map,0
SH3640,4,SH36404,mother,13map,4
SH3640,5,SH36405,mother,13map,1.5
SH3640,6,SH36406,mother,13map,1.5
SH3640,7,SH36407,mother,13map,0
SH3640,8,SH36408,mother,13map,3
SH3640,9,SH36409,mother,13map,2.5
SH3640,10,SH364010,mother,13map,3
TMBx52951,1,TMBx529511,mother,13map,0
TMBx52951,2,TMBx529512,mother,13map,0
TMBx52951,3,TMBx529513,mother,13map,0
TMBx52951,4,TMBx529514,mother,13map,0
TMBx52951,5,TMBx529515,mother,13map,0
TMBx52951,6,TMBx529516,mother,13map,0
TMBx52951,7,TMBx529517,mother,13map,0
TMBx52951,8,TMBx529518,mother,13map,0
TMBx52951,9,TMBx529519,mother,13map,0
TMBx52951,10,TMBx5295110,mother,13map,0
CRBP39,1,CRBP391,mother,13map,0
CRBP39,2,CRBP392,mother,13map,0
CRBP39,3,CRBP393,mother,13map,0
CRBP39,4,CRBP394,mother,13map,0
CRBP39,5,CRBP395,mother,13map,0
CRBP39,6,CRBP396,mother,13map,0
CRBP39,7,CRBP397,mother,13map,0
CRBP39,8,CRBP398,mother,13map,0
CRBP39,9,CRBP399,mother,13map,0
CRBP39,10,CRBP3910,mother,13map,0
WilliamsBell,1,WilliamsBell1,mother,13map,NA
WilliamsBell,2,WilliamsBell2,mother,13map,NA
WilliamsBell,3,WilliamsBell3,mother,13map,NA
WilliamsBell,4,WilliamsBell4,mother,13map,NA
WilliamsBell,5,WilliamsBell5,mother,13map,NA
WilliamsBell,6,WilliamsBell6,mother,13map,NA
WilliamsBell,7,WilliamsBell7,mother,13map,NA
WilliamsBell,8,WilliamsBell8,mother,13map,NA
WilliamsBell,9,WilliamsBell9,mother,13map,NA
