Number_K,Number_H,Country_ID,Envnt,Env_ID,plot_name.y,accession_name.y,plot_number.y,plot_id,block_number,is_a_control,rep_number,row_number,col_number,Number_G,location_name.y,which_cycle.y,Block_ID.y,Plot_ID.y,New_Genotype,Genotype_ID.y,New_Geno,Geno_ID,Number_of_functional_leaves_count_at_harvesting_COMP_0000296_mean,harvest_sucker_functional_leaves.CO_325.0000676_mean,Tallest_sucker_height_in_cm_at_harvesting_COMP.0000306_mean,Rank_of_oldest_standing_leaf_count_at_harvesting_COMP.0000310_mean,harvest_leafspot_number_standing_leaves.CO_325.0000759_mean,Black_Sigatoka_disease_infection_index_at_harvesting_COMP.0000281_mean,Youngest_leaf_spotted_rank_at_harvesting_COMP.0000307_mean,Index_of_non_spotted_leaves_calculation_at_harvesting_COMP.0000294_mean,harvest_youngest_leaf_with_BLS_symptoms_mean,harvest_fusarium_rating_external.CO_325.0000750_mean,Bunch_weight_in_kg_at_harvesting_COMP.0000282_mean,Number_of_hands_in_bunch_count_at_harvesting_COMP.0000297_mean,Multiple_hand_weight_in_kg_at_harvesting_COMP.0000308_mean,Average_hand_weight_in_kg_at_harvesting_COMP.0000279_mean,harvest_rachis_weight.CO_325.0000670_mean,harvest_number_fingers_bunch.CO_325.0000717_mean,Average_number_of_fingers_in_hand_calculation_at_harvesting_COMP.0000309_mean,Days_planting_to_shooting_mean,Days_planting_to_harvest_mean,Days_shooting_harvest_mean,harvest_average_finger_weight.CO_325.0000335_mean,Average_finger_external_length_in_cm_CO_325.0000338_mean,harvest_average_finger_circumf.CO_325.0000345_mean,harvest_average_finger_diameter.CO_325.0000349_mean,Average_fruit_pulp_lateral_diameter_in_cm_CO_325.0000353_mean,Average_finger_peel_thickness_in_mm_CO_325.0000356_mean,Previous_Cycle_Days_planting_to_harvest_mean,Cycle_Length,Days_Year,Annual_Crop_Cycle_Proportion,Plants_per_Ha,Bunch_Yield_t_per_Ha_per_Yr,MHW_Yield_tons_per_Ha_per_Yr,REMOVE_FROM_ANALYSIS_BWT_0,Dup_Plot_Remove,Data_Del
532,32,Uganda,Mb_fp,4,2016_Mbarara_35,NARITA 23,35,126609,2,NA,1,2,11,36,Mbarara,firstplant,2,35,NARITA_23    ,23,NARITA_23    ,23,4.666666667,12.11111111,256.7777778,4.777777778,4.777777778,34.21516889,2.111111111,21.69312222,2.111111111,1,22.02222222,11.33333333,21.83333333,1.930600881,0.188888889,171.1111111,14.66666667,373.5555556,520.7777778,147.2222222,0.163148148,16.15925926,12.32592593,3.587037037,3.018518519,2.888888889,0,520.7777778,365,0.70087476,1111,17.1480847,17.00100224,No,,
533,33,Uganda,Mb_fp,4,2016_Mbarara_36,Gros michel,36,126668,2,1,1,2,12,37,Mbarara,firstplant,2,36,Gros_Michel  ,33,Gros_Michel  ,33,3.5,8.5,332.5,3.5,3.5,43.055555,1,0,0.5,1,10,6.5,9.55,1.471428572,0.45,69,10.5,512.5,647.5,135,50.075,18.90833334,12.075,3.541666667,2.983333333,3,0,647.5,365,0.563706564,1111,6.262779923,5.980954826,No,,
534,34,Uganda,Mb_fp,4,2016_Mbarara_37,NARITA 7,37,126677,2,NA,1,2,13,38,Mbarara,firstplant,2,37,NARITA_07    ,7,NARITA_07    ,7,6.75,10.25,359.5,6.75,6.75,27.33382875,2.75,9.87103125,1.375,1,21.6375,8,20.725,2.609474206,0.9125,119.25,14.375,483.625,624.375,140.75,56.3625,19.58125,13.66666667,3.983333333,3.364583333,3,0,624.375,365,0.584584585,1111,14.05298228,13.46033774,No,,
535,35,Uganda,Mb_fp,4,2016_Mbarara_38,Nakitembe,38,126674,2,1,1,2,14,39,Mbarara,firstplant,2,38,Nakitembe    ,35,Nakitembe    ,35,1.714285714,8.857142857,279.7142857,1.714285714,1.714285714,12.50000143,1,10.71428571,1,1,11.31428571,6.714285714,10.37142857,1.546428572,0.942857143,95.14285714,13.85714286,430.1428571,563.5714286,133.4285714,0.106785714,16.0952381,11.57857143,3.373809524,2.778571429,2.904761905,0,563.5714286,365,0.64765526,1111,8.141137639,7.462709504,No,,
536,36,Uganda,Mb_fp,4,2016_Mbarara_39,NARITA 14,39,126620,2,NA,1,2,15,40,Mbarara,firstplant,2,39,NARITA_14    ,14,NARITA_14    ,14,8.625,12.625,236.375,8.625,8.625,27.37080625,3.625,4.16666625,0.5,1,14.5375,7.875,14.0875,1.792906746,0.45,115.25,14.125,394.25,587.5,193.25,90.5125,19.18125,12.0375,3.541666667,3.0375,2.375,0,587.5,365,0.621276596,1111,10.03433926,9.723732021,No,,
537,38,Uganda,Mb_fp,4,2016_Mbarara_40,NARITA 13,40,126651,2,NA,1,2,16,41,Mbarara,firstplant,2,40,NARITA_13    ,13,NARITA_13    ,13,2.75,11,274.25,2.75,2.75,31.0416675,1.5,0,0.25,1,14.5,8.75,13.775,1.589375,0.725,128.5,14.25,363.5,539,175.5,5.0575,16.35,10.48333334,3.145833333,2.708333333,2.333333333,0,539,365,0.677179963,1111,10.90903061,10.36357908,No,,
538,39,Uganda,Mb_fp,4,2016_Mbarara_41,NARITA 16,41,126623,2,NA,1,3,9,42,Mbarara,firstplant,2,41,NARITA_16    ,16,NARITA_16    ,16,2.555555556,9,301.1111111,2.555555556,2.555555556,22.99382667,0.777777778,0,0.333333333,1,10.53333333,5.888888889,9.622222222,1.610599647,0.911111111,86.11111111,14,449.5555556,651.1111111,163.4444444,31.68444444,21.33518519,9.54074074,2.777777778,2.312962963,2.333333333,0,651.1111111,365,0.560580205,1111,6.56020853,5.992764334,No,,
539,40,Uganda,Mb_fp,4,2016_Mbarara_42,NARITA 4,42,126660,2,NA,1,3,10,43,Mbarara,firstplant,2,42,NARITA_04    ,4,NARITA_04    ,4,5.909090909,11.72727273,303.9090909,5.909090909,5.909090909,21.10389364,2.909090909,15.75757545,1.363636364,1,22.42727273,7.454545455,21.42727273,2.869642857,1,133.0909091,17.45454545,444.2727273,640.7272727,196.4545455,66.76969697,20.51212121,12.27424242,3.531818182,2.998484849,2.863636364,0,640.7272727,365,0.569665153,1111,14.19417573,13.56127774,No,,
540,41,Uganda,Mb_fp,4,2016_Mbarara_43,Pisang Ceylan,43,126678,2,1,1,3,11,44,Mbarara,firstplant,2,43,Pisang_Ceylan,31,Pisang_Ceylan,31,11.63636364,14.36363636,319.0909091,11.63636364,11.63636364,13.96553718,7.090909091,23.83172364,3.454545455,1,18.28181818,11.72727273,17.86363636,1.531389065,0.418181818,175.3636364,14.54545455,437,618.6363636,181.6363636,49.86151515,15.22424243,11.66515151,3.401515152,2.8,2.848484848,0,618.6363636,365,0.590007348,1111,11.98369824,11.70958082,No,,
541,42,Uganda,Mb_fp,4,2016_Mbarara_44,NARITA 22,44,126596,2,NA,1,3,12,0,Mbarara,firstplant,2,44,.,.,NARITA_22    ,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,YES,,
542,43,Uganda,Mb_fp,4,2016_Mbarara_45,NARITA 12,45,126632,2,NA,1,3,13,45,Mbarara,firstplant,2,45,NARITA_12    ,12,NARITA_12    ,12,7.2,11.6,315.3,7.2,7.2,27.35119,3.2,6.428571,0.8,1,22.59,8.9,21.74,2.451972222,0.85,168.1,18.5,424.7,615,190.3,66.54,21.405,11.23,3.245,2.79,2,0,615,365,0.593495935,1111,14.89525829,14.33479041,No,,
543,44,Uganda,Mb_fp,4,2016_Mbarara_46,Mbwazirume,46,126661,2,1,1,3,14,46,Mbarara,firstplant,2,46,Mbwazirume   ,29,Mbwazirume   ,29,3.8,8.4,287,3.8,3.8,41.210316,0.8,0,0.4,1,18.28,7.6,17.24,2.268412698,1.04,122.4,15.8,488.8,598.8,110,50.08,19.28333333,13.45,3.84,3.236666667,3,0,598.8,365,0.609552438,1111,12.37944923,11.67514796,No,,
544,45,Uganda,Mb_fp,4,2016_Mbarara_47,NARITA 11,47,126672,2,NA,1,3,15,47,Mbarara,firstplant,2,47,NARITA_11    ,11,NARITA_11    ,11,9,9,302.3333333,9,9,23.54938333,4,32.31481333,4,1,25.83333333,8.666666667,25.83333333,2.996666667,9.25E-18,159,18,489.3333333,644.6666667,155.3333333,0.15,23.02777778,11.47222222,3.238888889,2.805555555,2,0,644.6666667,365,0.566184074,1111,16.24995475,16.24995475,No,,
545,46,Uganda,Mb_fp,4,2016_Mbarara_48,NARITA 18,48,126613,2,NA,1,3,16,48,Mbarara,firstplant,2,48,NARITA_18    ,18,NARITA_18    ,18,6.4,9,239,6.6,6.6,41.52778,1.8,9.166666,1.4,1,28.26,10,27.84,2.76240404,0.42,184.4,17.8,448.4,606.8,158.4,18.11053333,17.97,12.71,3.656666667,3.106666667,2.966666667,0,606.8,365,0.60151615,1111,18.88571836,18.60503889,No,,
547,48,Uganda,Mb_fp,4,2016_Mbarara_49,NARITA 12,49,126655,3,NA,1,1,17,49,Mbarara,firstplant,3,49,NARITA_12    ,12,NARITA_12    ,12,7.5,9.75,270.25,7.5,7.5,18.7301575,5,25.714285,2.75,1,20.775,9.25,19.975,2.153611111,0.8,167.75,17.75,422.75,603.75,181,61.0625,20.29166667,10.75,3.158333333,2.716666667,2,0,603.75,365,0.604554865,1111,13.95374596,13.4164176,No,,
548,50,Uganda,Mb_fp,4,2016_Mbarara_50,NARITA 6,50,126619,3,NA,1,1,18,0,Mbarara,firstplant,3,50,.,.,NARITA_06    ,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,YES,,
549,51,Uganda,Mb_fp,4,2016_Mbarara_51,Mbwazirume,51,126671,3,1,1,1,19,51,Mbarara,firstplant,3,51,Mbwazirume   ,29,Mbwazirume   ,29,3.5,8.5,279.3333333,3.666666667,3.666666667,50.925925,1.333333333,8.333333333,1.166666667,1,14.41666667,6.666666667,13.48333333,1.999603175,0.933333333,101.3333333,14.66666667,535.25,675.3333333,106.25,16.77316667,17.54444445,12.83055556,3.655555556,3.105555556,2.833333333,0,675.3333333,365,0.54047384,1111,8.656724459,8.096289115,No,,
550,52,Uganda,Mb_fp,4,2016_Mbarara_52,NARITA 14,52,126627,3,NA,1,1,20,52,Mbarara,firstplant,3,52,NARITA_14    ,14,NARITA_14    ,14,7.333333333,11.33333333,246.3333333,7.333333333,7.333333333,23.14814667,4,13.33333333,1.666666667,1,13.26666667,7.333333333,12.43333333,1.708928571,0.833333333,109,14.66666667,413.3333333,608.3333333,195,66.72222222,19.35555556,11.90555556,3.45,2.994444444,2.055555556,0,608.3333333,365,0.6,1111,8.843560003,8.288059998,No,,
