Number_K,Number_H,Country_ID,Envnt,Env_ID,plot_name.y,accession_name.y,plot_number.y,plot_id,block_number,is_a_control,rep_number,row_number,col_number,Number_G,location_name.y,which_cycle.y,Block_ID.y,Plot_ID.y,New_Genotype,Genotype_ID.y,New_Geno,Geno_ID,Number_of_functional_leaves_count_at_harvesting_COMP_0000296_mean,harvest_sucker_functional_leaves.CO_325.0000676_mean,Tallest_sucker_height_in_cm_at_harvesting_COMP.0000306_mean,Rank_of_oldest_standing_leaf_count_at_harvesting_COMP.0000310_mean,harvest_leafspot_number_standing_leaves.CO_325.0000759_mean,Black_Sigatoka_disease_infection_index_at_harvesting_COMP.0000281_mean,Youngest_leaf_spotted_rank_at_harvesting_COMP.0000307_mean,Index_of_non_spotted_leaves_calculation_at_harvesting_COMP.0000294_mean,harvest_youngest_leaf_with_BLS_symptoms_mean,harvest_fusarium_rating_external.CO_325.0000750_mean,Bunch_weight_in_kg_at_harvesting_COMP.0000282_mean,Number_of_hands_in_bunch_count_at_harvesting_COMP.0000297_mean,Multiple_hand_weight_in_kg_at_harvesting_COMP.0000308_mean,Average_hand_weight_in_kg_at_harvesting_COMP.0000279_mean,harvest_rachis_weight.CO_325.0000670_mean,harvest_number_fingers_bunch.CO_325.0000717_mean,Average_number_of_fingers_in_hand_calculation_at_harvesting_COMP.0000309_mean,Days_planting_to_shooting_mean,Days_planting_to_harvest_mean,Days_shooting_harvest_mean,harvest_average_finger_weight.CO_325.0000335_mean,Average_finger_external_length_in_cm_CO_325.0000338_mean,harvest_average_finger_circumf.CO_325.0000345_mean,harvest_average_finger_diameter.CO_325.0000349_mean,Average_fruit_pulp_lateral_diameter_in_cm_CO_325.0000353_mean,Average_finger_peel_thickness_in_mm_CO_325.0000356_mean,Previous_Cycle_Days_planting_to_harvest_mean,Cycle_Length,Days_Year,Annual_Crop_Cycle_Proportion,Plants_per_Ha,Bunch_Yield_t_per_Ha_per_Yr,MHW_Yield_tons_per_Ha_per_Yr,REMOVE_FROM_ANALYSIS_BWT_0,Dup_Plot_Remove,Data_Del
1633,63,Tanzania,Ta_fp,10,2016_TaCRI_62,Cachaco,62,129132,3,1,1,5,6,57,TaCRI,firstplant,3,62,Cachaco      ,32,Cachaco      ,32,6.25,9.25,332.25,5.5,5.5,0,0,-30,0,1,30.95,4.75,28.25,6.0725,2.7,52.25,10.75,461.5,665.5,204,275.2583333,16.17916667,16.58333333,4.6625,3.695833334,2,0,665.5,365,0.548459805,1111,18.85903719,17.21382231,No,,
1634,64,Tanzania,Ta_fp,10,2016_TaCRI_63,NARITA 19,63,129083,3,NA,1,5,7,58,TaCRI,firstplant,3,63,NARITA_19    ,19,NARITA_19    ,19,6,10,282.2,6,6,0,0,-23.00865801,0,1,18.02,5.4,16.82,3.098666667,1.2,88,15.8,346,586.4,173,0.203333333,13.23666667,11.48333333,3.093333333,2.283333333,2,0,586.4,365,0.622442019,1111,12.46142616,11.63158646,No,,
1635,65,Tanzania,Ta_fp,10,2016_TaCRI_64,Gros michel,64,129117,3,1,1,5,8,59,TaCRI,firstplant,3,64,Gros_Michel  ,33,Gros_Michel  ,33,3.333333333,10,333,2.333333333,2.333333333,0,0,-11.11111,0,1,58.13333333,9.333333333,54.53333333,5.853333333,3.6,151.3333333,15.66666667,486,658.6666667,159,266.8,19.11111111,12.08333333,3.172222222,2.311111111,2,0,658.6666667,365,0.554149798,1111,35.79039271,33.57401518,No,,
1636,66,Tanzania,Ta_fp,10,2016_TaCRI_65,Ndizi Uganda,65,129113,3,1,1,6,1,60,TaCRI,firstplant,3,65,Ndizi_Uganda ,30,Ndizi_Uganda ,30,5,9,257,4,4,0,0,-25,0,1,23.2,8,62.8,7.85,-39.6,133,16,.,594,.,0.4,17.33333333,13.83333333,3.85,2.833333333,2,0,594,365,0.614478114,1111,15.8382963,42.87262963,No,,
1637,67,Tanzania,Ta_fp,10,2016_TaCRI_66,NARITA 15,66,129127,3,NA,1,6,2,61,TaCRI,firstplant,3,66,NARITA_15    ,15,NARITA_15    ,15,5.625,8.5,208.25,5.625,5.625,0,0,-22.96626984,0,1,17.125,5.75,16.1,2.784166667,1.025,64,10.875,321,523,196,0.1625,14.06666667,11.6,3.070833333,2.275,1.895833333,0,523,365,0.69789675,1111,13.27809632,12.48334895,No,,
1638,68,Tanzania,Ta_fp,10,2016_TaCRI_67,NARITA 10,67,129134,3,NA,1,6,3,62,TaCRI,firstplant,3,67,NARITA_10    ,10,NARITA_10    ,10,3.666666667,8.333333333,296,3.166666667,3.166666667,0,0,-33.88888833,0,1,32.43333333,6.666666667,26.9,4.07473545,5.533333333,88.5,13.16666667,.,624,.,0.366666667,16.58333333,12.45833333,3.133333333,2.219444445,1.833333333,0,624,365,0.584935897,1111,21.07724866,17.48133574,No,,
1639,69,Tanzania,Ta_fp,10,2016_TaCRI_68,NARITA 14,68,129136,3,NA,1,6,4,0,TaCRI,firstplant,3,68,.,.,NARITA_14    ,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,YES,,
1641,71,Tanzania,Ta_fp,10,2016_TaCRI_69,NARITA 13,69,129149,3,NA,1,6,5,64,TaCRI,firstplant,3,69,NARITA_13    ,13,NARITA_13    ,13,5,10.33333333,253.2222222,4.555555556,4.555555556,0,0,-22.22703223,0,1,31.44444444,7.666666667,30.23333333,3.891710758,1.211111111,110.5555556,13.77777778,341,533.4444444,176,0.251851852,16.9537037,10.93148148,2.751851852,1.946296296,2.055555555,0,533.4444444,365,0.684232452,1111,23.90350864,22.98284347,No,,
1642,73,Tanzania,Ta_fp,10,2016_TaCRI_70,NARITA 6,70,129135,3,NA,1,6,6,65,TaCRI,firstplant,3,70,NARITA_06    ,6,NARITA_06    ,6,5,12,274,5,5,0,0,-20,0,1,32,8,29,3.625,3,117,14,.,566,.,0.4,13.83333333,12,3.033333333,2.15,2,0,566,365,0.644876325,1111,22.92664311,20.77727032,No,,
1643,74,Tanzania,Ta_fp,10,2016_TaCRI_71,NARITA 4,71,129085,3,NA,1,6,7,66,TaCRI,firstplant,3,71,NARITA_04    ,4,NARITA_04    ,4,3.75,7.5,338.75,3.25,3.25,0,0,-31.24999917,0,1,44.05,7.25,40.625,5.592857143,3.425,122,16.5,498,603.25,188,0.4,18.62083334,12.4375,2.991666667,2.15,2,0,603.25,365,0.605055947,1111,29.61116577,27.30882201,No,,
