Number_K,Number_H,Country_ID,Envnt,Env_ID,plot_name.y,accession_name.y,plot_number.y,plot_id,block_number,is_a_control,rep_number,row_number,col_number,Number_G,location_name.y,which_cycle.y,Block_ID.y,Plot_ID.y,New_Genotype,Genotype_ID.y,New_Geno,Geno_ID,Number_of_functional_leaves_count_at_harvesting_COMP_0000296_mean,harvest_sucker_functional_leaves.CO_325.0000676_mean,Tallest_sucker_height_in_cm_at_harvesting_COMP.0000306_mean,Rank_of_oldest_standing_leaf_count_at_harvesting_COMP.0000310_mean,harvest_leafspot_number_standing_leaves.CO_325.0000759_mean,Black_Sigatoka_disease_infection_index_at_harvesting_COMP.0000281_mean,Youngest_leaf_spotted_rank_at_harvesting_COMP.0000307_mean,Index_of_non_spotted_leaves_calculation_at_harvesting_COMP.0000294_mean,harvest_youngest_leaf_with_BLS_symptoms_mean,harvest_fusarium_rating_external.CO_325.0000750_mean,Bunch_weight_in_kg_at_harvesting_COMP.0000282_mean,Number_of_hands_in_bunch_count_at_harvesting_COMP.0000297_mean,Multiple_hand_weight_in_kg_at_harvesting_COMP.0000308_mean,Average_hand_weight_in_kg_at_harvesting_COMP.0000279_mean,harvest_rachis_weight.CO_325.0000670_mean,harvest_number_fingers_bunch.CO_325.0000717_mean,Average_number_of_fingers_in_hand_calculation_at_harvesting_COMP.0000309_mean,Days_planting_to_shooting_mean,Days_planting_to_harvest_mean,Days_shooting_harvest_mean,harvest_average_finger_weight.CO_325.0000335_mean,Average_finger_external_length_in_cm_CO_325.0000338_mean,harvest_average_finger_circumf.CO_325.0000345_mean,harvest_average_finger_diameter.CO_325.0000349_mean,Average_fruit_pulp_lateral_diameter_in_cm_CO_325.0000353_mean,Average_finger_peel_thickness_in_mm_CO_325.0000356_mean,Previous_Cycle_Days_planting_to_harvest_mean,Cycle_Length,Days_Year,Annual_Crop_Cycle_Proportion,Plants_per_Ha,Bunch_Yield_t_per_Ha_per_Yr,MHW_Yield_tons_per_Ha_per_Yr,REMOVE_FROM_ANALYSIS_BWT_0,Dup_Plot_Remove,Data_Del
995,79,Tanzania,Mt_fp,7,2016_Mitalula_73,NARITA 25,73,NA,3,NA,NA,NA,NA,73,Mitalula,firstplant,4,73,NARITA_25    ,25,NARITA_25    ,25,3.5,11,340,3.5,3.5,29.86111,1.5,0,0.5,1,18.75,7,17.5,2.5,1.25,118,16.5,468,630.5,162.5,75.075,16.5,12.75,3.506666667,2.5525,4.916666667,0,630.5,365,0.57890563,1111,12.05932791,11.25537272,No,,
997,81,Tanzania,Mt_fp,7,2016_Mitalula_74,NARITA 15,74,130343,4,NA,1,4,10,74,Mitalula,firstplant,4,74,NARITA_15    ,15,NARITA_15    ,15,3.166666667,9.5,239.1666667,2.5,2.5,33.33333,1,0,1,1,10.85,6.333333333,9.983333333,1.572619048,0.866666667,86.83333333,13,427,586.8333333,159.8333333,0.119444445,14.69444444,12.18055556,3.571111111,2.641111111,4.75,0,586.8333333,365,0.621982391,1111,7.49759344,6.898707328,No,,
998,82,Tanzania,Mt_fp,7,2016_Mitalula_75,NARITA 10,75,130394,4,NA,1,4,11,75,Mitalula,firstplant,4,75,NARITA_10    ,10,NARITA_10    ,10,1.6,9.2,294,1.6,1.6,17.222222,1,0,0.2,1,21.78,7.6,20.32,2.677142857,1.46,138.8,17.8,445,625.8,181.75,60.06,16.86666667,11.9,3.404,2.413666667,4.966666666,0,625.8,365,0.583253436,1111,14.11332167,13.1672496,No,,
999,83,Tanzania,Mt_fp,7,2016_Mitalula_76,Williams,76,130378,4,1,1,4,12,76,Mitalula,firstplant,4,76,Williams     ,34,Williams     ,34,3,9.714285714,205,2.857142857,2.857142857,27.77777714,1.142857143,0,0.142857143,1,22.15714286,7.857142857,21.95714286,2.792602041,0.2,134.4285714,16.57142857,453.1428571,637.5714286,184.4285714,100.0440476,17.16666667,12.35714286,3.543809524,2.485,5.214285714,0,637.5714286,365,0.572484876,1111,14.09262301,13.96541687,No,,
1000,84,Tanzania,Mt_fp,7,2016_Mitalula_77,NARITA 19,77,130360,4,NA,1,4,13,77,Mitalula,firstplant,4,77,NARITA_19    ,19,NARITA_19    ,19,0.4,8.2,225,0.4,0.4,10,0.2,0,0.2,1,6.26,5.6,6.5,1.206,-0.24,85.2,14.6,444.8,595.4,150.6,0.1,11.93333333,11,2.938333334,2.048666667,4.533333333,0,595.4,365,0.613033255,1111,4.263560464,4.427019651,No,,
1001,85,Tanzania,Mt_fp,7,2016_Mitalula_78,NARITA 4,78,130356,4,NA,1,4,14,78,Mitalula,firstplant,4,78,NARITA_04    ,4,NARITA_04    ,4,3.333333333,11.66666667,306.6666667,3.333333333,3.333333333,33.33333,1,0,0.666666667,1,20,8,18.83333333,2.354166667,1.166666667,145.3333333,18,500.3333333,667.6666667,167.3333333,50.08333333,17.55555555,12.11111111,3.493888889,2.426111111,5.222222222,0,667.6666667,365,0.54667998,1111,12.14722916,11.43864079,No,,
1002,86,Tanzania,Mt_fp,7,2016_Mitalula_79,NARITA 26,79,130402,4,NA,1,4,15,79,Mitalula,firstplant,4,79,NARITA_26    ,26,NARITA_26    ,26,3.555555556,11.11111111,266.1111111,3.444444444,3.444444444,29.01234444,1.222222222,3.703703333,0.666666667,1,22.02222222,7.555555556,21.1,2.787698413,0.922222222,145,18.66666667,486.1428571,650.2222222,154.2857143,61.17944444,17.18518519,12.16666667,3.473518518,2.416296297,5.166666667,0,650.2222222,365,0.561346548,1111,13.73429135,13.15914192,No,,
1003,88,Tanzania,Mt_fp,7,2016_Mitalula_80,NARITA 18,80,130335,4,NA,1,4,16,80,Mitalula,firstplant,4,80,NARITA_18    ,18,NARITA_18    ,18,7.2,6.2,98,6,6,34.999998,1,0,1,1,19.18,8,17.98,2.2475,1.2,143.6,17.4,510,698.2,157,0.11,16.6,11.93333333,3.511333333,2.484333333,5.133333334,0,698.2,365,0.522772844,1111,11.13975609,10.44279533,No,,
1004,89,Tanzania,Mt_fp,7,2016_Mitalula_81,NARITA 14,81,130370,4,NA,1,5,9,81,Mitalula,firstplant,4,81,NARITA_14    ,14,NARITA_14    ,14,3.6,10.6,268,5.4,5.4,37.777776,1,0,1,1,18.62,8.2,17.42,2.127222222,1.2,141.2,16.8,525.4,690.2,164.8,0.11,17.5,11.7,3.543,2.513333333,5.066666666,0,690.2,365,0.528832223,1111,10.939857,10.23481788,No,,
1006,91,Tanzania,Mt_fp,7,2016_Mitalula_82,NARITA 27,82,130390,4,NA,1,5,10,83,Mitalula,firstplant,4,82,NARITA_27    ,27,NARITA_27    ,27,3.2,8,307,3.3,3.3,36.222221,1.1,0,0.7,1,24.53,7.3,23.12,3.169464286,1.41,147.4,19.7,408.8571429,595.6,182.1428571,25.105,19.63333333,11.73333333,3.3875,2.515833333,4.483333333,0,595.6,365,0.612827401,1111,16.70128098,15.74128073,No,,
1007,92,Tanzania,Mt_fp,7,2016_Mitalula_83,NARITA 8,83,130393,4,NA,1,5,11,84,Mitalula,firstplant,4,83,NARITA_08    ,8,NARITA_08    ,8,6.636363636,9.272727273,374.5454545,2.818181818,2.818181818,34.39393727,1,0,1,1,28.19090909,6.727272727,24.74545455,3.664253247,3.445454545,105.9090909,15.27272727,366,529.6363636,162.2222222,0.236363636,22.23484849,14.01515151,3.966515151,3.316060606,3.848484848,0,529.6363636,365,0.689152077,1111,21.58431196,18.94630673,No,,
1008,93,Tanzania,Mt_fp,7,2016_Mitalula_84,NARITA 22,84,130342,4,NA,1,5,12,85,Mitalula,firstplant,4,84,NARITA_22    ,22,NARITA_22    ,22,5,15,375,6,6,44.44444,1,0,1,1,17.7,7,15.9,2.271428571,1.8,102,14,.,515,.,0.15,20.83333333,12.5,3.85,3.11,4,0,515,365,0.708737864,1111,13.93711748,12.5197835,No,,
1010,95,Tanzania,Mt_fp,7,2016_Mitalula_85,NARITA 20,85,130410,4,NA,1,5,13,87,Mitalula,firstplant,4,85,NARITA_20    ,20,NARITA_20    ,20,5.2,9.7,322.5,4.6,4.6,29.509259,0.9,1.111111,0.9,1,17.36,7.7,17.14,2.246845238,0.22,117.5,14.8,372.2222222,549.6,178.8888889,0.1135,16.9,11.9,3.414666667,2.660166667,3.933333333,0,549.6,365,0.66411936,1111,12.80884352,12.64651947,No,,
1011,96,Tanzania,Mt_fp,7,2016_Mitalula_86,NARITA 2,86,130377,4,NA,1,5,14,88,Mitalula,firstplant,4,86,NARITA_02    ,2,NARITA_02    ,2,1,8.777777778,345.5555556,1,1,23.14814778,0.555555556,0,0.555555556,1,17.64444444,7.444444444,18.45555556,2.47627866,-0.811111111,120.5555556,15.55555556,415.2857143,588,169.5714286,0.144444444,17.43518519,12.84259259,3.48037037,2.550185185,4.722222222,0,588,365,0.620748299,1111,12.16851511,12.727899,No,,
