Number_K,Number_H,Country_ID,Envnt,Env_ID,plot_name.y,accession_name.y,plot_number.y,plot_id,block_number,is_a_control,rep_number,row_number,col_number,Number_G,location_name.y,which_cycle.y,Block_ID.y,Plot_ID.y,New_Genotype,Genotype_ID.y,New_Geno,Geno_ID,Number_of_functional_leaves_count_at_harvesting_COMP_0000296_mean,harvest_sucker_functional_leaves.CO_325.0000676_mean,Tallest_sucker_height_in_cm_at_harvesting_COMP.0000306_mean,Rank_of_oldest_standing_leaf_count_at_harvesting_COMP.0000310_mean,harvest_leafspot_number_standing_leaves.CO_325.0000759_mean,Black_Sigatoka_disease_infection_index_at_harvesting_COMP.0000281_mean,Youngest_leaf_spotted_rank_at_harvesting_COMP.0000307_mean,Index_of_non_spotted_leaves_calculation_at_harvesting_COMP.0000294_mean,harvest_youngest_leaf_with_BLS_symptoms_mean,harvest_fusarium_rating_external.CO_325.0000750_mean,Bunch_weight_in_kg_at_harvesting_COMP.0000282_mean,Number_of_hands_in_bunch_count_at_harvesting_COMP.0000297_mean,Multiple_hand_weight_in_kg_at_harvesting_COMP.0000308_mean,Average_hand_weight_in_kg_at_harvesting_COMP.0000279_mean,harvest_rachis_weight.CO_325.0000670_mean,harvest_number_fingers_bunch.CO_325.0000717_mean,Average_number_of_fingers_in_hand_calculation_at_harvesting_COMP.0000309_mean,Days_planting_to_shooting_mean,Days_planting_to_harvest_mean,Days_shooting_harvest_mean,harvest_average_finger_weight.CO_325.0000335_mean,Average_finger_external_length_in_cm_CO_325.0000338_mean,harvest_average_finger_circumf.CO_325.0000345_mean,harvest_average_finger_diameter.CO_325.0000349_mean,Average_fruit_pulp_lateral_diameter_in_cm_CO_325.0000353_mean,Average_finger_peel_thickness_in_mm_CO_325.0000356_mean,Previous_Cycle_Days_planting_to_harvest_mean,Cycle_Length,Days_Year,Annual_Crop_Cycle_Proportion,Plants_per_Ha,Bunch_Yield_t_per_Ha_per_Yr,MHW_Yield_tons_per_Ha_per_Yr,REMOVE_FROM_ANALYSIS_BWT_0
2155,61,Tanzania,Ma_fp,1,2016_Maruku_61,NARITA 19,61,127851,3,NA,1,5,5,24,Maruku,firstplant,3,61,NARITA_19    ,19,NARITA_19    ,19,0,8,161.6666667,8,8,14.53924,6.666666667,70.56878333,6.666666667,1,6.7,6.666666667,6.5,0.973809524,0.2,93,13.66666667,.,581.6666667,.,0.058333333,12.38888889,10.46111111,3.15,2.727777778,4.055555556,0,581.6666667,365,0.627507163,1111,4.670975071,4.53154298,No
2158,64,Tanzania,Ma_fp,1,2016_Maruku_64,NARITA 12,64,127869,3,NA,1,5,8,25,Maruku,firstplant,3,64,NARITA_12    ,12,NARITA_12    ,12,0,8,235,8,8,11.4583315,7.5,81.25,7.5,1,11,7.5,10.8,1.424107143,0.2,126,16.5,.,575.5,.,0.0625,17.24166667,10.25,2.908333334,2.475,4.416666667,0,575.5,365,0.634231103,1111,7.750938315,7.610012163,No
2160,66,Tanzania,Ma_fp,1,2016_Maruku_66,Cachaco,66,127879,3,1,1,6,2,26,Maruku,firstplant,3,66,Cachaco      ,32,Cachaco      ,32,0,7,180,7,7,9.52381,7,85.71429,7,1,7,4,7.9,1.975,-0.9,45,11,.,596,.,0.25,16.33333333,14.25,4.233333333,3.766666667,4.5,0,596,365,0.612416107,1111,4.762760067,5.375114933,No
2161,67,Tanzania,Ma_fp,1,2016_Maruku_66,NARITA 9,66,NA,3,NA,NA,NA,NA,27,Maruku,firstplant,3,66,NARITA_09    ,9,NARITA_09    ,9,0,6,310,6,6,0,0,-16.66667,0,1,14,7,13.6,1.942857143,0.4,113,16,.,596,.,0.075,15.91666667,11.58333333,3.3,2.8,5,0,596,365,0.612416107,1111,9.525520134,9.253362416,No
2162,68,Tanzania,Ma_fp,1,2016_Maruku_67,NARITA 7,67,127886,3,NA,1,6,3,28,Maruku,firstplant,3,67,NARITA_07    ,7,NARITA_07    ,7,3.5,9,275,9,9,5.833335,4.5,-6.25,0,1,18.2,8,17.25,2.115079365,0.95,123.5,15,.,604.5,.,75.075,17.08333333,12.45833334,3.791666667,3.391666667,4,0,604.5,365,0.603804797,1111,12.20905376,11.57176799,No
2164,70,Tanzania,Ma_fp,1,2016_Maruku_69,NARITA 27,69,127901,3,NA,1,6,5,29,Maruku,firstplant,3,69,NARITA_27    ,27,NARITA_27    ,27,0.25,4.25,111.25,4.25,4.25,5.7539675,2.5,20.59524,2.5,1,15.825,7.25,14.225,1.945089286,1.6,136.75,18.5,402,564.5,172,0.075,17.69166667,10.97916667,3.166666667,2.708333334,4.25,0,564.5,365,0.646589903,1111,11.36806887,10.21869066,No
2167,74,Tanzania,Ma_fp,1,2016_Maruku_72,NARITA 13,72,127842,3,NA,1,6,8,30,Maruku,firstplant,3,72,NARITA_13    ,13,NARITA_13    ,13,0,5,172.5,5,5,9.576719,3.5,42.30158833,3.5,1,13.05,8.5,13.7,1.59119709,-0.65,133.5,15.16666667,381.8333333,549.6666667,167.8333333,0.079166667,17.18611111,11.19444444,3.411111111,2.933333333,4.472222222,0,549.6666667,365,0.664038811,1111,9.627599908,10.10713554,No
2168,75,Tanzania,Ma_fp,1,2016_Maruku_73,NARITA 8,73,127878,4,NA,1,4,9,31,Maruku,firstplant,4,73,NARITA_08    ,8,NARITA_08    ,8,1,7.5,342.5,7.5,7.5,7.440477,5.5,59.97024,5.5,1,19.1,8.75,18.15,2.032986111,0.95,147.25,16.25,.,646.5,.,37.72875,16.3125,9.979166669,3.116666667,2.670833334,4.375,0,646.5,365,0.5645785,1111,11.98041222,11.38452784,No
2169,76,Tanzania,Ma_fp,1,2016_Maruku_74,NARITA 7,74,127846,4,NA,1,4,10,32,Maruku,firstplant,4,74,NARITA_07    ,7,NARITA_07    ,7,2.5,8,347.5,8,8,5.208335,3.5,31.25,3.5,1,20.65,9.5,20.25,2.149444445,0.4,154.5,16,.,656.5,.,0.15,16.125,12.7,3.95,3.525,4.166666667,0,656.5,365,0.555978675,1111,12.75534615,12.50826923,No
2171,78,Tanzania,Ma_fp,1,2016_Maruku_76,Enyoya,76,127882,4,1,1,4,12,33,Maruku,firstplant,4,76,Enyoya       ,30,Enyoya       ,30,2.8,6.2,316,4.6,4.6,0,0,-3.333334,0,1,17.92,6.8,17.4,2.557142857,0.52,99,14,.,646.6,.,136.6966667,17.62666667,13.43333333,4.143333333,3.726666667,4.166666667,0,646.6,365,0.564491185,1111,11.23852273,10.91240489,No
2172,79,Tanzania,Ma_fp,1,2016_Maruku_77,Gros michel,77,127864,4,1,1,4,13,34,Maruku,firstplant,4,77,Gros_Michel  ,33,Gros_Michel  ,33,0,11,320,11,11,4.545455,11,90.90909,11,1,21.6,7,20.7,2.957142857,0.9,103,14,.,760,.,0.15,20.16666667,12.5,3.366666667,2.95,4.166666667,0,760,365,0.480263158,1111,11.52516316,11.04494803,No
2173,80,Tanzania,Ma_fp,1,2016_Maruku_78,NARITA 15,78,127860,4,NA,1,4,14,35,Maruku,firstplant,4,78,NARITA_15    ,15,NARITA_15    ,15,0.333333333,8.333333333,216.6666667,8.333333333,8.333333333,12.272726,6.166666667,47.954545,4.833333333,1,7.8,6.166666667,7.816666667,1.244206349,-0.016666667,85.5,13.5,.,583.6666667,.,8.383333333,14.04166667,10.86111111,3.269444445,2.802777778,4.361111111,0,583.6666667,365,0.625356939,1111,5.419218161,5.430797687,No
2174,81,Tanzania,Ma_fp,1,2016_Maruku_79,NARITA 21,79,127906,4,NA,1,4,15,36,Maruku,firstplant,4,79,NARITA_21    ,21,NARITA_21    ,21,1.75,10.25,216.25,10.25,10.25,10.7007575,6.75,52.90404,6.75,1,13.725,7.5,12.925,1.677083333,0.8,111,14.25,.,656.5,.,0.065,16.42083333,11.92083333,3.075,2.65,4.291666667,0,656.5,365,0.555978675,1111,8.477826923,7.983673077,No
2176,84,Tanzania,Ma_fp,1,2016_Maruku_80,NARITA 25,80,NA,4,NA,NA,NA,NA,37,Maruku,firstplant,4,80,NARITA_25    ,25,NARITA_25    ,25,1,6,310,6,6,0,0,-16.66667,0,1,10.9,8,9.9,1.2375,1,111,13,.,565,.,0.05,15.91666667,10.83333333,3.266666667,2.783333333,4.166666667,0,565,365,0.646017699,1111,7.823209735,7.105484071,No
2177,85,Tanzania,Ma_fp,1,2016_Maruku_81,Williams,81,127874,4,1,1,5,9,38,Maruku,firstplant,4,81,Williams     ,34,Williams     ,34,2.571428571,7.571428571,176.4285714,7.571428571,7.571428571,13.09523843,6,40.67460429,3.857142857,1,13.01428571,7.142857143,12.18571429,1.718367347,0.828571429,108.2857143,15,.,619.8571429,.,53.62380952,16.38095238,11.49285714,3.378571429,2.933333333,4.30952381,0,619.8571429,365,0.588845356,1111,8.514039291,7.971981911,No
2178,86,Tanzania,Ma_fp,1,2016_Maruku_82,Mbwazirume,82,127894,4,1,1,5,10,39,Maruku,firstplant,4,82,Mbwazirume   ,29,Mbwazirume   ,29,0,7,135,7,7,0,7,85.71429,0,1,17.8,10,16.3,1.63,1.5,152,15,.,559,.,0.2,17.08333333,13.58333333,4.75,4.283333333,4.333333333,0,559,365,0.652951699,1111,12.91264222,11.82449821,No
2179,87,Tanzania,Ma_fp,1,2016_Maruku_83,NARITA 20,83,127897,4,NA,1,5,11,40,Maruku,firstplant,4,83,NARITA_20    ,20,NARITA_20    ,20,0,7.25,246.25,7.25,7.25,1.85185175,2.25,10.9127,2.25,1,10.35,7.25,9.5,1.308482143,0.85,102.25,13.5,392.75,550.75,158,0.05625,15.55416667,11.04166667,3.2875,2.85,4.5,0,550.75,365,0.662732637,1111,7.620663187,6.994811621,No
2180,88,Tanzania,Ma_fp,1,2016_Maruku_84,NARITA 27,84,127848,4,NA,1,5,12,41,Maruku,firstplant,4,84,NARITA_27    ,27,NARITA_27    ,27,0,4.6,153,4.6,4.6,7.2222226,2.6,40,2.6,1,15.04,7.8,13.78,1.752777778,1.26,150.2,18.8,380,559.2,158.75,15.045,17.47333333,10.87,3.17,2.66,4.966666667,0,559.2,365,0.652718169,1111,10.90655508,9.992841023,No
2182,90,Tanzania,Ma_fp,1,2016_Maruku_86,NARITA 26,86,127881,4,NA,1,5,14,42,Maruku,firstplant,4,86,NARITA_26    ,26,NARITA_26    ,26,0,6.6,334,6.6,6.6,0,1.6,4.333332,0,1,18.16,8.4,17.58,2.101666667,0.58,129.6,15,.,507,.,0.1,17.90666667,12.00333333,3.83,3.286666667,4.666666667,0,507,365,0.719921105,1111,14.52495542,14.06105266,No
2183,91,Tanzania,Ma_fp,1,2016_Maruku_87,NARITA 19,87,127862,4,NA,1,5,15,43,Maruku,firstplant,4,87,NARITA_19    ,19,NARITA_19    ,19,0,6.555555556,228.8888889,6.555555556,6.555555556,4.563492111,3,27.07672111,3,1,8.255555556,6.111111111,7.75,1.22912037,0.505555556,86.33333333,13.77777778,332,526,150,0.056666667,13.4537037,11.12037037,3.411111111,2.912962963,4.722222222,0,526,365,0.69391635,1111,6.36454679,5.974793251,No
2184,92,Tanzania,Ma_fp,1,2016_Maruku_88,NARITA 13,88,127892,4,NA,1,5,16,44,Maruku,firstplant,4,88,NARITA_13    ,13,NARITA_13    ,13,1.166666667,6.333333333,232.5,5,5,9.920635,4.666666667,53.17460333,3.166666667,1,23.6,10,22.55,2.226401515,1.05,166.5,16.16666667,315.5,497.8333333,140.5,12.60586111,22.36666667,11.33055556,3.436111111,2.822222222,2.361111111,0,497.8333333,365,0.733177101,1111,19.22361031,18.36832257,No
2185,93,Tanzania,Ma_fp,1,2016_Maruku_89,NARITA 18,89,127854,4,NA,1,6,9,45,Maruku,firstplant,4,89,NARITA_18    ,18,NARITA_18    ,18,0.4,0,29,0,0,0,0,0,0,1,19.5,9.2,18.12,1.979555556,1.38,171.4,18.4,407.25,560.2,149.5,0.26,15.80666666,11.82,3.55,3.076666667,4.7,0,560.2,365,0.651553017,1111,14.11557033,13.11662228,No
2187,96,Tanzania,Ma_fp,1,2016_Maruku_90,NARITA 6,90,NA,4,NA,NA,NA,NA,46,Maruku,firstplant,4,90,NARITA_06    ,6,NARITA_06    ,6,0,8,175,8,8,0,0,-12.5,0,1,10.9,7,9.6,1.371428571,1.3,104,14,395,587,192,0.075,14.58333333,10.91666667,3.283333333,2.85,4,0,587,365,0.621805792,1111,7.530005963,6.631931857,No
2188,97,Tanzania,Ma_fp,1,2016_Maruku_91,NARITA 12,91,127859,4,NA,1,6,11,47,Maruku,firstplant,4,91,NARITA_12    ,12,NARITA_12    ,12,0.6,8.6,264,6.6,6.6,0,0,-9.722222,0,1,18.48,8.2,17.78,2.164722222,0.7,144,17,399.25,566,148.75,15.105,19.89666667,11.75333333,3.656666667,3.17,4.833333333,0,566,365,0.644876325,1111,13.2401364,12.73861608,No
