Number_K,Number_H,Country_ID,Envnt,Env_ID,plot_name.y,accession_name.y,plot_number.y,plot_id,block_number,is_a_control,rep_number,row_number,col_number,Number_G,location_name.y,which_cycle.y,Block_ID.y,Plot_ID.y,New_Genotype,Genotype_ID.y,New_Geno,Geno_ID,Number_of_functional_leaves_count_at_harvesting_COMP_0000296_mean,harvest_sucker_functional_leaves.CO_325.0000676_mean,Tallest_sucker_height_in_cm_at_harvesting_COMP.0000306_mean,Rank_of_oldest_standing_leaf_count_at_harvesting_COMP.0000310_mean,harvest_leafspot_number_standing_leaves.CO_325.0000759_mean,Black_Sigatoka_disease_infection_index_at_harvesting_COMP.0000281_mean,Youngest_leaf_spotted_rank_at_harvesting_COMP.0000307_mean,Index_of_non_spotted_leaves_calculation_at_harvesting_COMP.0000294_mean,harvest_youngest_leaf_with_BLS_symptoms_mean,harvest_fusarium_rating_external.CO_325.0000750_mean,Bunch_weight_in_kg_at_harvesting_COMP.0000282_mean,Number_of_hands_in_bunch_count_at_harvesting_COMP.0000297_mean,Multiple_hand_weight_in_kg_at_harvesting_COMP.0000308_mean,Average_hand_weight_in_kg_at_harvesting_COMP.0000279_mean,harvest_rachis_weight.CO_325.0000670_mean,harvest_number_fingers_bunch.CO_325.0000717_mean,Average_number_of_fingers_in_hand_calculation_at_harvesting_COMP.0000309_mean,Days_planting_to_shooting_mean,Days_planting_to_harvest_mean,Days_shooting_harvest_mean,harvest_average_finger_weight.CO_325.0000335_mean,Average_finger_external_length_in_cm_CO_325.0000338_mean,harvest_average_finger_circumf.CO_325.0000345_mean,harvest_average_finger_diameter.CO_325.0000349_mean,Average_fruit_pulp_lateral_diameter_in_cm_CO_325.0000353_mean,Average_finger_peel_thickness_in_mm_CO_325.0000356_mean,Previous_Cycle_Days_planting_to_harvest_mean,Cycle_Length,Days_Year,Annual_Crop_Cycle_Proportion,Plants_per_Ha,Bunch_Yield_t_per_Ha_per_Yr,MHW_Yield_tons_per_Ha_per_Yr,REMOVE_FROM_ANALYSIS_BWT_0
2189,98,Tanzania,Ma_fp,1,2016_Maruku_92,NARITA 10,92,127853,4,NA,1,6,12,48,Maruku,firstplant,4,92,NARITA_10    ,10,NARITA_10    ,10,0.2,5.8,239,5.8,5.8,9.7222232,4.8,59.333332,4.8,1,15.26,7.8,17.06,2.221071429,-1.8,149.6,19,383,560.8,177.8,0.07,16.51333333,11.09666666,3.32,2.863333333,4.433333333,0,560.8,365,0.65085592,1111,11.03452015,12.33610182,No
2190,99,Tanzania,Ma_fp,1,2016_Maruku_93,NARITA 22,93,127863,4,NA,1,6,13,49,Maruku,firstplant,4,93,NARITA_22    ,22,NARITA_22    ,22,3,9,290,9,9,0,0,-11.20370333,0,1,17.63333333,8,16.7,2.079761905,0.933333333,122.6666667,15,.,552.3333333,.,0.133333333,19.38888889,12.39444444,3.622222222,3.138888889,3.611111111,0,552.3333333,365,0.66083283,1111,12.94613367,12.26089409,No
2191,100,Tanzania,Ma_fp,1,2016_Maruku_94,NARITA 23,94,NA,4,NA,NA,NA,NA,51,Maruku,firstplant,4,94,NARITA_23    ,23,NARITA_23    ,23,2,9.5,310,9.5,9.5,4.1666665,4.5,34.444445,4.5,1,23.7,11.5,22.7,1.98030303,1,176.5,15,.,476,.,0.095833334,16.5,13.34166667,4.01125,3.483333334,2,0,476,365,0.766806723,1111,20.19055777,19.3386355,No
2192,101,Tanzania,Ma_fp,1,2016_Maruku_94,NARITA 4,94,127917,4,NA,1,6,14,50,Maruku,firstplant,4,94,NARITA_04    ,4,NARITA_04    ,4,0.75,8.25,285,8.25,8.25,1.85185175,2.25,12.7480175,2.25,1,25.575,8.5,23.95,2.818402778,1.625,162.75,18.5,.,548.25,.,0.1375,19.60833334,12.12083334,3.85,3.3625,4.5,0,548.25,365,0.665754674,1111,18.9166368,17.71469995,No
2193,102,Tanzania,Ma_fp,1,2016_Maruku_95,NARITA 2,95,127849,4,NA,1,6,15,52,Maruku,firstplant,4,95,NARITA_02    ,2,NARITA_02    ,2,1.25,6.5,336.25,6.5,6.5,1.388889,1.5,9.136905,1.5,1,18.8,8,17.9,2.249652778,0.9,124,15,.,525.25,.,0.1125,17.52916667,12.1875,3.879166667,3.391666667,4.625,0,525.25,365,0.694907187,1111,14.51438743,13.81954974,No
2194,103,Tanzania,Ma_fp,1,2016_Maruku_96,Cachaco,96,127912,4,1,1,6,16,53,Maruku,firstplant,4,96,Cachaco      ,32,Cachaco      ,32,0.666666667,8.333333333,286.6666667,8.333333333,8.333333333,2.083333333,2.666666667,21.29629667,2.666666667,1,14.63333333,6.333333333,13.66666667,2.116190476,0.966666667,66.33333333,9.666666667,.,559,.,0.233333333,17.58333333,16.41666667,4.977777778,4.427777778,5.222222222,0,559,365,0.652951699,1111,10.61544931,9.914200957,No
2197,12,Tanzania,Ma_rt1,2,2016_Maruku_2,Enyoya,2,127889,1,1,1,1,2,1,Maruku,ratoon1,1,2,Enyoya       ,30,Enyoya       ,30,0.666666667,6,250,6,6,0,0,-16.98412699,0,1,22.93333333,9.666666667,22.23333333,2.301111111,0.7,161.6666667,16,.,754,.,0.15,19.58333333,12.52777778,3.344444444,2.927777778,4.166666667,.,.,365,.,1111,.,.,No
2203,70,Tanzania,Ma_rt1,2,2016_Maruku_7,NARITA 6,7,NA,1,NA,NA,NA,NA,2,Maruku,ratoon1,1,7,NARITA_06    ,6,NARITA_06    ,6,0,8,180,8,8,16.66666667,7,75,7,1,11.2,6,11,1.833333333,0.2,90,15,.,968,.,0.05,15,10.41666667,2.833333333,2.45,4.333333333,.,.,365,.,1111,.,.,No
2206,2,Tanzania,Ma_rt1,2,2016_Maruku_10,NARITA 15,10,127855,1,NA,1,2,2,3,Maruku,ratoon1,1,10,NARITA_15    ,15,NARITA_15    ,15,0,4.333333333,161.6666667,4,4,0,0,-26.11111111,0,1,8.6,6.333333333,9,1.341666667,-0.4,93,14,.,970,.,0.0625,14.97222222,11.33333333,2.888888889,2.45,4.388888889,.,.,365,.,1111,.,.,No
2211,7,Tanzania,Ma_rt1,2,2016_Maruku_15,NARITA 2,15,127873,1,NA,1,2,7,4,Maruku,ratoon1,1,15,NARITA_02    ,2,NARITA_02    ,2,0,6,231.6666667,6,6,0,0,-16.66666667,0,1,12.06666667,7.666666667,10.86666667,1.442857143,1.2,114,14.66666667,.,847,.,0.036666667,10.91666667,7.63888889,1.955555556,1.672222222,2.833333333,642,205,365,1.780487805,1111,23.86933822,21.49559188,No
2216,11,Tanzania,Ma_rt1,2,2016_Maruku_19,NARITA 13,19,127883,1,NA,1,3,3,5,Maruku,ratoon1,1,19,NARITA_13    ,13,NARITA_13    ,13,3,7,200,7,7,0,0,-14.28571429,0,1,19.4,9.5,18.8,2.002777778,0.6,153,15.5,733.5,992,108,0.15,17.70833334,11.58333334,3.283333333,2.841666667,4.416666667,.,.,365,.,1111,.,.,No
2217,13,Tanzania,Ma_rt1,2,2016_Maruku_20,NARITA 21,20,127852,1,NA,1,3,4,6,Maruku,ratoon1,1,20,NARITA_21    ,21,NARITA_21    ,21,1,5.5,220,5.5,5.5,0,0,-18.33333334,0,1,18.95,9.5,18.3,1.943888889,0.65,150,15.5,.,789.5,.,0.1125,17,12.70833334,3.383333333,2.975,4.083333334,754,35.5,365,10.28169014,1111,216.4650493,209.0401268,No
2220,16,Tanzania,Ma_rt1,2,2016_Maruku_23,NARITA 11,23,127910,1,NA,1,3,7,7,Maruku,ratoon1,1,23,NARITA_11    ,11,NARITA_11    ,11,2,7,230,7,7,21.42857143,5,57.14285714,5,1,18.7,10,18.1,1.81,0.6,164,16,.,793,.,0.075,17.5,12.41666667,3.25,2.833333333,4.166666667,653,140,365,2.607142857,1111,54.16521786,52.42729643,No
