Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Number of functional leaves (shooting),Number of functional leaves (harvest),Bunch weight (kg),Number of hands,Number of fruits in bunch,Average weight of fruit on 3rd and 7th hand (g),Average length of fruit on 3rd and 7th hand (cm),Average diameter of fruit on 3rd and 7th hand (cm),Youngest leaf spotted (shooting),Number standing leaves (shooting),Index of non-spotted leaves (shooting)
FHIA18,A,3,FHIA18A3,mother,07/04/02,02/01/03,30/04/03,250,53,75,13,6,18.64,7,100,153,15,4.3,11,13,76.92
FHIA18,B,1,FHIA18B1,mother,07/04/02,29/11/02,18/04/03,282,52,107,18,6,22.64,9,141,122,13,4.1,11,18,55.56
FHIA18,B,2,FHIA18B2,mother,07/04/02,08/12/02,17/04/03,238,54,81,18,6,19.46,9,132,123,13.1,4.1,12,18,61.11
FHIA18,B,3,FHIA18B3,mother,07/04/02,03/11/02,13/03/03,235,62,108,14,6,24.05,11,152,144,17.8,4.4,12,14,78.57
FHIA18,C,1,FHIA18C1,mother,07/04/02,06/11/02,24/02/03,333,62,115,12,6,25.21,8,117,165,19.5,4.3,14,15,86.67
FHIA18,C,2,FHIA18C2,mother,07/04/02,02/11/02,22/03/03,264,60,114,17,7,20.7,10,152,130,14,4.1,12,17,64.71
FHIA18,C,3,FHIA18C3,mother,07/04/02,16/11/02,15/04/03,282,64,116,16,7,20.45,10,161,128,14.5,4.1,13,16,75
B7925,A,1,B7925A1,mother,07/04/02,24/12/02,22/04/03,205,48,98,16,5,16.98,7,109,143,20,4.2,13,16,75
B7925,A,2,B7925A2,mother,07/04/02,30/12/02,27/04/03,204,48,90,17,4,19.67,8,123,140,21.5,4.1,13,17,70.59
B7925,A,3,B7925A3,mother,07/04/02,11/11/02,07/04/03,206,49,104,14,5,16.63,8,122,136,19.5,4.1,12,14,78.57
B7925,B,1,B7925B1,mother,07/04/02,09/11/02,02/04/03,218,52,89,16,5,17,7,116,140,19.2,4.1,14,16,81.25
B7925,B,2,B7925B2,mother,07/04/02,13/12/02,17/04/03,208,50,95,15,4,15.5,8,118,136,18.5,4.1,13,15,80
B7925,B,3,B7925B3,mother,07/04/02,03/12/02,12/04/03,212,55,101,17,5,16.7,8,125,132.5,19.1,4.1,12,17,64.71
B7925,C,1,B7925C1,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B7925,C,2,B7925C2,mother,07/04/02,NA,NA,210,45,96,NA,6,8.96,7,90,98,20,3.7,9,12,66.67
B7925,C,3,B7925C3,mother,07/04/02,11/11/02,14/04/03,203,51,95,16,5,16.8,8,126,130,20,3.9,10,16,56.25
FHIA25,A,1,FHIA25A1,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,A,2,FHIA25A2,mother,07/04/02,17/08/03,09/12/03,295,79,200,12,9,24.3,9,162,126,17,4.78,14,14,92.86
FHIA25,A,3,FHIA25A3,mother,07/04/02,23/06/03,27/09/03,300,74,200,13,9,39.55,16,284,132,17,4.2,13,13,92.31
FHIA25,B,1,FHIA25B1,mother,07/04/02,06/09/03,23/02/04,250,87,96,16,2,32.5,19,367,68,13,3.03,15,16,87.5
FHIA25,B,2,FHIA25B2,mother,07/04/02,04/09/03,26/02/04,248,76,90,13,0,29,15,318,110,15.6,3.2,13,13,92.31
FHIA25,B,3,FHIA25B3,mother,07/04/02,21/09/03,27/02/04,235,66,105,17,6,30.25,18,340,67.92,NA,NA,13,17,70.59
FHIA25,C,1,FHIA25C1,mother,07/04/02,20/05/03,26/08/03,253,71,105,13,8,28,14,240,102.8,NA,NA,12,13,84.62
FHIA25,C,2,FHIA25C2,mother,07/04/02,12/07/03,19/10/03,300,80,150,11,8,33.5,15,267,110,NA,NA,11,11,90.91
FHIA25,C,3,FHIA25C3,mother,07/04/02,15/05/03,07/09/03,250,67,115,12,7,18.72,14,212,72.26,NA,NA,11,12,83.33
SH34369,A,1,SH34369A1,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH34369,A,2,SH34369A2,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH34369,A,3,SH34369A3,mother,07/04/02,25/09/03,16/01/04,307,62,83,8,6,11.98,8,143,90,11.5,3.8,5,8,50
SH34369,B,1,SH34369B1,mother,NA,NA,NA,NA,NA,87,7,NA,NA,NA,NA,NA,NA,NA,6,7,71.43
SH34369,B,3,SH34369B3,mother,07/04/02,18/09/03,30/12/03,317,59,85,9,5,15.1,9,162,76,12,3.5,6,9,55.56
