GENOTYPES,Time from planting to shooting (days),Time from shooting to harvest (days),Time from planting to harvest (days),Height of pseudostem at shooting (cm),Bunch weight (kg),Number of hands per bunch (hands),Total number of fingers per bunch (fingers),Youngest leaf spotted
EMB 402,312,148,460,249.5,3.7,4.5,49.5,8.6
EMB 403,281.5,150.5,432,197.5,4.2,6.5,71.5,8.5
FHIA-23,494,112,606,301.5,13.9,8.5,117,8.3
Yangambi Km 5,388.5,163.5,552,245.5,3.7,5.5,78.5,8
Pisang Ceylan,523,44.5,567.5,286.5,6.4,9,117.5,10.3
Saba,326,71.5,397.5,259.5,10.3,5.5,67,8.7
SH-3436-9,745.5,128.5,874,332,37.1,12.5,129,8.5
Agbagba (control),477.5,85,562.5,282,7.1,6,34.5,10
Valery (control),457,99,556,233,8.3,7,91,8.9
